page,p
1,"review published: 02 august 2019 doi: 10.3389/fmars.2019.00439 on the future of argo: a global, full-depth, multi-disciplinary array dean roemmich 1* † , matthew h."
1,"alford 1† , hervé claustre 2† , kenneth johnson 3† , brian king 4† , james moum 5† , peter oke 6† , w."
1,"brechner owens 7† , sylvie pouliquen 8† , sarah purkey 1† , megan scanderbeg 1† , toshio suga 9† , susan wijffels 7† , nathalie zilberman 1† , dorothee bakker 10 , molly baringer 11 , mathieu belbeoch 12 , henry c."
1,"bittig 2 , emmanuel boss 13 , paulo calil 14 , fiona carse 15 , thierry carval 8 , fei chai 16 , diarmuid ó."
1,"conchubhair 17 , fabrizio d’ortenzio 2 , giorgio dall’olmo 18 , damien desbruyeres 8 , katja fennel 19 , ilker fer 20 , raffaele ferrari 21 , gael forget 21 , howard freeland 22 , tetsuichi fujiki 23 , marion gehlen 24 , blair greenan 25 , robert hallberg 26 , toshiyuki hibiya 27 , shigeki hosoda 23 , steven jayne 7 , markus jochum 28 , gregory c."
1,"johnson 29 , kiryong kang 30 , nicolas kolodziejczyk 31 , arne körtzinger 32 , pierre-yves le traon 33 , yueng-djern lenn 34 , guillaume maze 8 , kjell arne mork 35 , tamaryn morris 36 , takeyoshi nagai 37 , jonathan nash 5 , alberto naveira garabato 4 , are olsen 20 , rama rao pattabhi 38 , satya prakash 38 , stephen riser 39 , catherine schmechtig 40 , claudia schmid 11 , emily shroyer 5 , andreas sterl 41 , philip sutton 42 , lynne talley 1 , toste tanhua 32 , virginie thierry 8 , sandy thomalla 43 , john toole 7 , ariel troisi 44 , thomas w."
1,"trull 6 , jon turton 15 , pedro joaquin velez-belchi 45 , waldemar walczowski 46 , haili wang 47 , rik wanninkhof 11 , amy f."
1,"waterhouse 1 , stephanie waterman 48 , andrew watson 49 , cara wilson 50 , annie p."
1,"wong 39 , jianping xu 16 and ichiro yasuda 51 1 scripps institution of oceanography, la jolla, ca, united states, 2 french national center for scientific research, villefranche oceanographic laboratory, sorbonne université, villefranche-sur-mer, france, 3 monterey bay aquarium research institute, moss landing, ca, united states, 4 national oceanography centre, southampton, united kingdom, 5 college of earth, ocean, and atmospheric sciences, oregon state university, corvallis, or, united states, 6 commonwealth scientific and industrial research organisation, hobart, tas, australia, 7 woods hole oceanographic institution, woods hole, ma, united states, 8 institut français de recherche pour l’exploitation de la mer, brest, france, 9 department of geophysics, graduate school of science, tohoku university, sendai, japan, 10 school of environmental sciences, centre for ocean and atmospheric sciences, university of east anglia, norwich, united kingdom, 11 atlantic edited by: oceanographic and meteorological laboratory, national oceanic and atmospheric administration, miami, fl, united states, amos tiereyangn kabo-bah, 12 jcommops, brest, france, 13 school of marine sciences, the university of maine, orono, me, united states, 14 institute university of energy and natural of coastal research, helmholtz-zentrum geesthacht, geesthacht, germany, 15 uk met office, exeter, united kingdom, resources, ghana 16 state key laboratory of satellite ocean environment dynamics, second institute of oceanography, ministry of natural reviewed by: resources, hangzhou, china, 17 irish marine institute, galway, ireland, 18 plymouth marine laboratory, plymouth, maxime m."
1,"grand, united kingdom, 19 department of oceanography, dalhousie university, halifax, ns, canada, 20 physical oceanography, moss landing marine laboratories, geophysical institute, university of bergen, bergen, norway, 21 massachusetts institute of technology, cambridge, ma, united states united states, 22 fisheries and oceans canada, sidney, bc, canada, 23 japan agency for marine-earth science paul james durack, and technology, yokosuka, japan, 24 laboratoire des sciences du climat et de l’environnement/institut pierre simon lawrence livermore national laplace, gif-sur-yvette, france, 25 bedford institute of oceanography and fisheries and oceans canada, dartmouth, ns, laboratory (doe), united states canada, 26 national oceanic and atmospheric administration, geophysical fluid dynamics laboratory, princeton, nj, *correspondence: united states, 27 graduate school of science, department of earth and planetary science, the university of tokyo, tokyo, dean roemmich japan, 28 neils bohr institute, copenhagen, denmark, 29 national oceanic and atmospheric administration/pacific marine droemmich@ucsd.edu environmental laboratory, seattle, wa, united states, 30 korea meteorological administration, seoul, south korea, 31 † lead authors cnrs-ird-ifremer, lops laboratory, university of brest, brest, france, 32 helmholtz-zentrum für ozeanforschung kiel, kiel, germany, 33 mercator-ocean, brest, france, 34 school of ocean sciences, bangor university, bangor, united kingdom, 35 institute of marine research, bergen, norway, 36 marine research unit, south african weather service, cape town, specialty section: south africa, 37 graduate school of marine science and technology, ocean sciences, tokyo university of marine science this article was submitted to and technology, tokyo, japan, 38 indian national centre for ocean information services, hyderabad, india, 39 school of ocean observation, oceanography, college of the environment, university of washington, seattle, wa, united states, 40 french national center a section of the journal for scientific research, osu ecce terra, sorbonne université, paris, france, 41 koninklijk nederlands meteorologisch frontiers in marine science instituut, de bilt, netherlands, 42 national institute of water and atmospheric research, auckland, new zealand, 43 southern received: 15 november 2018 ocean carbon & climate observatory, cape town, south africa, 44 servício de hídrografia naval, buenos aires, argentina, 45 accepted: 05 july 2019 instituto espanol de oceanografia, canary islands, spain, 46 institute of oceanology polish academy of sciences, sopot, published: 02 august 2019 poland, 47 state key laboratory of marine environmental science, xiamen university, xiamen, china, 48 department of earth, frontiers in marine science | www.frontiersin.org 1 august 2019 | volume 6 | article 439"
2,roemmich et al.
2,"on the future of argo ocean and atmospheric sciences, the university of british columbia, vancouver, bc, canada, 49 earth system science group, college of life and environmental science, university of exeter, exeter, united kingdom, 50 national oceanic and atmospheric administration – national marine fisheries service, pacific grove, ca, united states, 51 atmosphere and ocean research institute, the university of tokyo, tokyo, japan the argo program has been implemented and sustained for almost two decades, as a global array of about 4000 profiling floats."
2,"argo provides continuous observations of ocean temperature and salinity versus pressure, from the sea surface to 2000 dbar."
2,the successful installation of the argo array and its innovative data management system arose opportunistically from the combination of great scientific need and technological innovation.
2,"through the data system, argo provides fundamental physical observations with broad societally-valuable applications, built on the cost-efficient and robust technologies of autonomous profiling floats."
2,"following recent advances in platform and sensor technologies, even greater opportunity exists now than 20 years ago to (i) improve argo’s global coverage and value beyond the original design, (ii) extend argo to span the full ocean depth, (iii) add biogeochemical sensors for improved understanding of oceanic cycles of carbon, nutrients, and ecosystems, and (iv) consider experimental sensors that might be included in the future, for example to document the spatial and temporal patterns of ocean mixing."
2,"for core argo and each of these enhancements, the past, present, and future progression along a path from experimental deployments to regional pilot arrays to global implementation is described."
2,"the objective is to create a fully global, top-to-bottom, dynamically complete, and multidisciplinary argo program that will integrate seamlessly with satellite and with other in situ elements of the global ocean observing system (legler et al., 2015)."
2,"the integrated system will deliver operational reanalysis and forecasting capability, and assessment of the state and variability of the climate system with respect to physical, biogeochemical, and ecosystems parameters."
2,"it will enable basic research of unprecedented breadth and magnitude, and a wealth of ocean-education and outreach opportunities."
2,"keywords: argo, floats, global, ocean, warming, circulation, temperature, salinity introduction argo information center (aic), following intergovernmental oceanographic commission (ioc) guidelines to protect the the argo program is a major component of both the global rights of coastal states, has enabled global coverage."
2,"presently ocean observing system (goos) and the global climate the number of functioning argo floats remains steady, with total observing system (gcos), providing near-real time data for float count around 4000."
2,"this has been possible, despite relatively ocean and atmospheric services and high quality data for climate flat funding, through a collaboration of international partners research."
2,the argo program began its implementation in 1999 and significant technological innovation.
2,the argo data system and has provided global coverage of the upper 2000 m of provides real-time data within 24 h of collection through the the oceans since 2006.
2,"by november 2018, argo had provided global telecommunications system (gts) and via the internet 2,000,000 profiles since the program began, and a comparable for use at global prediction centers."
2,the argo data management number of velocity drift estimates at 1000 m depth.
2,"although team (admt) also oversees delayed-mode quality control of the originally designed to provide temperature and salinity profiles data and the availability of argo data at the argo global data in the upper 2 km of the ice-free oceans, the array has been assembly centers. expanded into seasonal ice zones using floats equipped with ice to meet future needs, argo should (1) support continuing avoidance algorithms."
2,"argo profiling floats also are sampling innovation in float technology, (2) enhance coverage in critical in many marginal seas."
2,"in addition, ongoing regional pilot regions such as the equatorial band, where higher temporal programs have demonstrated that argo floats can now (1) resolution is needed and the western boundary regions where measure biogeochemical parameters to address oceanic uptake mesoscale ‘noise’ is high, (3) implement deep argo and of carbon, acidification and deoxygenation (biogeochemical, biogeochemical argo in the global array, (4) assess the technical bgc, argo) and (2) make measurements throughout the water readiness and scientific value of experimental measurements for column to 6000 m depth (deep argo)."
2,"notification through the possible future inclusion in argo, for example those used to frontiers in marine science | www.frontiersin.org 2 august 2019 | volume 6 | article 439"
3,roemmich et al.
3,"on the future of argo estimate small scale mixing, and (5) collaborate with our end- [ioc], 1999), while the aic1 supplied the mechanisms for user community to improve the use of argo data in prediction tracking and reporting to coastal states (pinardi et al., 2019). systems and services."
3,"this review lays out the motivation, technology advances have continued throughout argo’s 20- development, and present status of the argo program, and year history."
3,"new generation profiling floats are smaller, lighter, addresses the five issues mentioned above."
3,it is important to note and more energy efficient.
3,a profoundly important transition that core argo has reached and maintained full implementation from unidirectional to faster bidirectional communication through innovation and broad community support.
3,"only a (iridium) improves vertical resolution and shortens surface small fraction of the funding needed to support the ambitious times from 12 h to 20 min, greatly reducing bio-fouling, array community requests for an expanded argo program can be divergence due to surface drift, grounding, and other hazards. identified at present."
3,"it is important for argo to meet its ice-avoidance measures in float controllers (klatt et al., 2007) future challenges as a single integrated program."
3,"the present have extended the range of argo through the seasonal ice zones elements of argo – core, deep, and bgc – and of its data (wong and riser, 2011)."
3,"improved ctd sensors, as well as management system are not separable, and any other future procedures for delayed-mode quality control (owens and wong, enhancements will similarly be considered as contributions to 2009) have increased the accuracy and consistency of the argo the unified effort. dataset."
3,"float lifetimes have increased, to 4–5 years for most argo national programs, reducing the cost per profile while extending reseeding intervals."
3,"all of these improvements are propagated motivation, development, across the argo national programs through communication of technology best practices (pearlman et al., 2019)."
3,argo’s systematic and regular observation of the global core argo subsurface ocean has transformed ocean observing.
3,"northern during the 1990s, the world ocean circulation experiment hemisphere, near-coastal, and seasonal sampling biases of earlier brought increased understanding of important oceanic roles eras are removed."
3,"the global argo array has been sustained in climate variability and change (siedler et al., 2001)."
3,"the and improved for more than a decade, providing data for need to observe the global subsurface ocean, together with over 3000 research publications and becoming a mainstay a fit-for-purpose revolutionary autonomous technology (davis of global ocean data assimilation, modeling, and prediction et al., 2001), led to a multinational proposal for a global applications."
3,"the notable convergence, in the argo era, of subsurface ocean observing system (argo steering team, 1998). diverse estimates of historical global ocean heat content changes the proposed ‘argo program’ would be comprised of over 3000 (e.g., johnson et al., 2016) has increased the confidence that profiling floats, obtaining a snapshot of the physical state of can be placed on the reliability of national and international the ocean from 0 to 2000 m every 10 days."
3,all data would be assessments of climate change.
3,"international partners in argo freely shared in near-real time (nrt, within 24 h) to support merge their efforts to produce a seamless global array, forecasting, and with a highly quality-controlled delayed-mode providing standardized observations, and delivering near real- (dm) version delivered within 12 months for climate research time and research quality data with public access."
3,argo has and assessments.
3,"argo floats were deployed in regional arrays led the way among ocean observing networks with regard to beginning in 1999 and then globally from 2004 to the present. international cooperation, operations planning, data availability, argo has fulfilled its promise to complement and integrate and metadata quality. across many satellite and in situ elements of the goos and across many regional observational networks (deyoung et al., bgc-argo 2019; foltz et al., 2019; hermes et al., 2019; lee et al., 2019; the biogeochemical (bgc)-argo program began with the newman et al., 2019; palazov et al., 2019; smith et al., 2019; deployment of optical (bishop et al., 2002; mitchell, 2003; boss todd et al., 2019). et al., 2008) and oxygen (körtzinger et al., 2004; riser and a number of key elements that contributed to argo’s johnson, 2008) sensors on profiling floats between 2000 and 2003. success over the past 20 years are evident."
3,"the underpinning the success of these efforts was highlighted at the autonomous profiling float technology is simple, robust, and cost-effective."
3,"platforms and sensors meeting (rudnick and perry, 2003), which a strong international consensus on the high value of argo, was the founding meeting for this community."
3,"it was followed by agencies and the science community, contributed to argo’s by the development of a global vision for biogeochemical rapid roll-out."
3,"once argo was in place, a broad base of data acquisition through the inclusion of oxygen sensors on applications (see section “core argo” under the section “end argo platforms (gruber et al., 2007), and the launch the user engagement”) including basic research, assessment of the same year of a working group of the international ocean- state of the earth’s climate, tertiary and secondary education, and color coordinating group, “bio-optical sensors on argo floats” ocean modeling for reanalysis and operational prediction, drew (ioccg, 2011)."
3,"in the meantime, both the oxygen and optical strong community support."
3,"effective partnerships developed communities were promoting their vision for developing a global between argo teams and commercial suppliers, to exploit and network of profiling floats carrying oxygen and optical sensors improve float and sensor technologies."
3,"the ioc provided as part of the oceanobs09 conference (claustre et al., 2010; necessary protocols to facilitate the operation of argo floats in national waters (intergovernmental oceanographic commission 1 http://argo.jcommops.org/ frontiers in marine science | www.frontiersin.org 3 august 2019 | volume 6 | article 439"
4,roemmich et al.
4,"on the future of argo gruber et al., 2010), following a meeting in johnson et al. (2009) minimum zone processes (whitmire et al., 2009; prakash et al., that addressed the development of a global observing system 2012; stanev et al., 2018); ocean net community production using both gliders and profiling floats. over complete annual cycles throughout the ocean (riser and in 2016, a meeting was held in villefranche-sur-mer to develop johnson, 2008; bushinsky and emerson, 2015; hennon et al., an implementation plan for bgc-argo."
4,"the subsequent report 2016; plant et al., 2016); ocean ventilation (körtzinger et al., (biogeochemical-argo planning group, 2016) was the starting 2004; wolf et al., 2018); air-sea exchanges of o2 (bushinsky point of the bgc-argo program."
4,"observing system simulation et al., 2017) and co2 (williams et al., 2017; bittig et al., 2018; experiments (osses) performed for this meeting suggested that gray et al., 2018); and mesoscale/sub-mesoscale processes a 1000-float array would significantly constrain the processes (sukigara et al., 2011; kouketsu et al., 2016)."
4,"in a major advance, that control global oxygen and carbon distributions, including the data are now being assimilated into biogeochemical models air-sea fluxes and exports from the surface (kamenkovich to enable greater understanding and improved predictions et al., 2017)."
