page,p
1,"university of birmingham cloud cover and its impact on brazil's deforestation satellite monitoring program sales, vilane g."
1,"; strobl, eric; elliott, robert j.r."
1,"doi: 10.1016/j.apgeog.2022.102651 license: creative commons: attribution (cc by) document version publisher's pdf, also known as version of record citation for published version (harvard): sales, vg, strobl, e & elliott, rjr 2022, 'cloud cover and its impact on brazil's deforestation satellite monitoring program: evidence from the cerrado biome of the brazilian legal amazon', applied geography, vol."
1,"140, 102651. https://doi.org/10.1016/j.apgeog.2022.102651 link to publication on research at birmingham portal general rights unless a licence is specified above, all rights (including copyright and moral rights) in this document are retained by the authors and/or the copyright holders."
1,the express permission of the copyright holder must be obtained for any use of this material other than for purposes permitted by law.
1,•users may freely distribute the url that is used to identify this publication.
1,•users may download and/or print one copy of the publication from the university of birmingham research portal for the purpose of private study or non-commercial research.
1,"•user may use extracts from the document in line with the concept of ‘fair dealing’ under the copyright, designs and patents act 1988 (?)"
1,•users may not further distribute the material nor use it for the purposes of commercial gain.
1,"where a licence is displayed above, please note the terms and conditions of the licence govern your use of this document."
1,"when citing, please reference the published version."
1,take down policy while the university of birmingham exercises care and attention in making items available there are rare occasions when an item has been uploaded in error or has been deemed to be commercially or otherwise sensitive.
1,"if you believe that this is the case for this document, please contact ubira@lists.bham.ac.uk providing details and we will remove access to the work immediately and investigate."
1,download date: 04.
2,applied geography 140 (2022) 102651 contents lists available at sciencedirect applied geography journal homepage: www.elsevier.com/locate/apgeog cloud cover and its impact on brazil’s deforestation satellite monitoring program: evidence from the cerrado biome of the brazilian legal amazon vilane g.
2,"sales a, eric strobl a, robert j.r."
2,"elliott b, * a university of bern, switzerland b university of birmingham, uk a r t i c l e i n f o a b s t r a c t keywords: the creation of a satellite rapid alert programme (deter-a) in 2004 was a cornerstone of the brazilian gov­ remote sensing ernment’s strategy to reduce deforestation."
2,this programme allowed authorities to detect and respond rapidly to survival analysis periods of deforestation.
2,"due to the fact that the policy instrument was based on multispectral remote radar, environmental policies weather-related obstacles posed a continuous impediment to the study of deforestation."
2,this paper investigates forest disturbance to what extent cloud cover has reduced the effectiveness of the deter-a program to detect deforestation.
2,"to test this hypothesis, survival model analysis is undertaken on satellite data derived measures of local deforestation."
2,"the emphasis is on the state of maranhão, which is separated into two areas by an arbitrary line of demarcation (legal amazon delimitation) where the forest on one side is covered by the satellite monitoring program while the other is not."
2,"the results suggest that following the implementation of the satellite monitoring program, there was more deforestation in those years with more cloud persistence in the area covered by the program."
2,"coun­ terfactual simulations indicate that the absence of clouds would have prevented deforestation equivalent to almost 7% of the study region, which is equivalent to 73 million tonnes of co2 with a value of us$ 366 million."
2,"if the current monitoring system was replaced with the experimental policy instrument deter-c/deter intenso, cloud cover would be less of an impediment to deforestation detection."
2,"introduction more specifically, in 2004, the brazilian government created the action plan for the prevention and control of deforestation in the legal the clear-cutting of forests plays a central role in many of the envi­ amazon (ppcdam in portuguese), the purpose of which was to pay ronmental threats of our time, including global climate change, habitat closer attention to development planning, land use control, environ­ degradation, and species extinction."
2,"although a global problem, no­ mental law compliance, and the promotion of sustainable practices."
2,"to where are these issues more clearly on display than in the brazilian control land use and prevent further deforestation, the ppcdam amazon that has seen the loss of 19 percent of its forest over the last 50 implemented two complementary satellite-based monitoring programs: years."
2,"one bright spot has been the decline in deforestation rates in (i) pro-des (programa de cálculo do desflorestamento da amazônia in brazil over the last decade, although there has been a resurgence in portuguese) (inpe, 2020) which records the annual rate of deforestation recent years."
2,"it is generally believed that the reduction in deforestation within the policy area using a high (30m) resolution; and (ii) deter rates has been driven by a series of environmental policies that (sistema de detecção de desmatamento em tempo real in portuguese), encouraged both forest preservation and the enforcement of existing which is a system that supports the supervision and control of defores­ regulations (assunção et al., 2020; celentano et al., 2017; lovejoy & tation and forest degradation within the environmental policy area of nobre, 2018; nepstad et al., 2014; rajão et al., 2021; richards, 2015; the legal amazon throughout the year but at a more moderate (250m) richards & vanwey, 2015). resolution."
2,"arguably, the policy that has received the greatest plaudits is the the deter system works by providing alerts when certain areas of satellite monitoring program that, through the use of remote detection, the legal amazon are in the process of being deforested from relatively was able to considerably increase the speed by which the brazilian mild degradation to the total deforestation of an area (clear-cut)."
2,all environmental enforcement officers could punish clear-cutting agents. data gathered by deter and prodes are available to the brazilian * corresponding author.
2,e-mail address: r.j.elliott@bham.ac.uk (r.j.r.
2,elliott). https://doi.org/10.1016/j.apgeog.2022.102651 received 29 august 2020; received in revised form 28 december 2021; accepted 21 january 2022 available online 10 february 2022 0143-6228/© 2022 the authors.
2,published by elsevier ltd.
2,this is an open access article under the cc by license (http://creativecommons.org/licenses/by/4.0/).
3,sales et al.
3,"applied geography 140 (2022) 102651 government to enforce the pppcdam, which includes the issuing of fines pixel level (250m × 250m) for the period of 2001–2016."
3,"survival esti­ for agents who clear or damage the forest, embargoes on produce from mation methods are then employed to quantify the role of cloud cover areas that are in the process of being cleared, confiscation of equipment, on local deforestation events in both regions."
3,"finally, the estimates from and restrictions on access to subsidised credit (aubertin, 2015). the survival analysis are used to simulate the effects of the monitoring while deter has certainly allowed for much quicker detection of programme and cloud cover under a number of different counterfactual deforestation, a potentially important impediment to its success has scenarios. been the local climate."
3,"more specifically, because the satellite used as part of deter is incapable of detecting land cover changes when its 2."
3,"environmental policy: deter-a monitoring system view of the land surface is obscured by clouds, detection is necessarily delayed until the skies are clear again."
3,"the existing literature has already deter, which was established in 2004, is a support system for the highlighted concerns regarding cloud cover."
3,"for example, butler and inspection and control of deforestation and degradation in the brazilian moser (2007) showed that estimates of deforestation and studies that legal amazon and part of the action plan for the prevention and control use deforestation data from satellite images could potentially be biased of deforestation in the legal amazon (ppcdam) (west & fearnside, without the proper corrections for cloud cover."
3,"in addition, hansen and 2021)."
3,"the warnings indicate areas that have been completely defor­ loveland (2012) and leinenkugel et al. (2014) confirmed that season­ ested (clean cut) as well as areas that are experiencing forest degrada­ ality and cloud cover reduce the viability of annual land cover updates, tion (e.g. logging, mining, and fires)."
3,"the deter system development and, consequently, systematic monitoring."
3,"likewise, dupuis et al. plan (near real-time deforestation detection) may be divided into (2020) discusses how new satellite technologies can help with moni­ three phases based on the resolution sensors deployed over time."
