page,p
1,"land article multi-decadal assessment of soil loss in a mediterranean region characterized by contrasting local climates caterina samela , vito imbrenda * , rosa coluzzi , letizia pace, tiziana simoniello and maria lanfredi institute of methodologies for environmental analysis, national research council of italy (imaa-cnr), 85050 tito scalo, italy; caterina.samela@imaa.cnr.it (c.s.); rosa.coluzzi@imaa.cnr.it (r.c.); letizia.pace@imaa.cnr.it (l.p.); tiziana.simoniello@imaa.cnr.it (t.s.); maria.lanfredi@imaa.cnr.it (m.l.)"
1,* correspondence: vito.imbrenda@imaa.cnr.it abstract: soil erosion is one of the most widespread soil degradation phenomena worldwide.
1,"mediter- ranean landscapes, due to some peculiar characteristics, such as fragility of soils, steep slopes, and rainfall distribution during the year, are particularly subject to this phenomenon, with severe and complex issues for agricultural production and biodiversity protection."
1,"in this paper, we present a diachronic approach to the analysis of soil loss, which aims to account for climate variability and land cover dynamics by using remote data about rainfall and land cover to guarantee sufficient observational continuity."
1,"the study area (basilicata, southern italy) is characterized by different local climates and ecosystems (temperate, csa and csb; arid steppic, bsk; and cold, dsb and dsc), and is particularly suited to represent the biogeographical complexity of the mediterranean italy."
1,"the well-known revised universal soil loss equation (rusle) was applied by integrating information from remote sensing to carry out decadal assessments (1994, 2004, 2014, and 2021) of the annual soil loss."
1,"changes in the rainfall regime and vegetation cover activity were derived from chirps and landsat data, respectively, to obtain updated information useful for dynamical studies."
1,"for the analyzed region, soil loss shows a slight reduction (albeit always remarkable) over the whole citation: samela, c."
1,"; imbrenda, v.; period, and distinct spatial patterns between lowland bsk and mediterranean mountain dsb and dsc coluzzi, r."
1,"; pace, l."
1,"; simoniello, t.; climate areas."
1,"the most alarming fact is that most of the study area showed soil erosion rates in 2021 lanfredi, m."
1,"multi-decadal assessment of soil loss in a greater than 11 t/ha*y, which is considered by the oecd (organization for economic cooperation mediterranean region characterized and development) the threshold for identifying severe erosion phenomena."
1,a final comparison with by contrasting local climates.
1,"land local studies shows, on average, differences of about 5 t ha−1 y−1 (minimum 2.5 and maximum 7) 2022, 11, 1010. https://doi.org/ with respect to the local estimates obtained with the rusle model."
1,the assessment at a regional 10.3390/land11071010 scale provided an average 9.5% of soil loss difference for the arable lands and about 10% for all cultivated areas.
1,"the spatial-temporal patterns enhance the relevance of using the cover management academic editor: deirdre dragovich factor c derived from satellite data rather than land cover maps, as remote observations are able to received: 2 may 2022 highlight the heterogeneity in vegetation density within the same vegetation cover class, which is accepted: 26 june 2022 particularly relevant for agricultural areas."
1,"for mountain areas, the adoption of a satellite-gridded published: 2 july 2022 rainfall dataset allowed the detection of erosion rate fluctuations due to rainfall variability, also in the publisher’s note: mdpi stays neutral case of sparse or absent ground pluviometric stations."
1,the use of remote data represents a precious with regard to jurisdictional claims in added value to obtain a dynamic picture of the spatial-temporal variability of soil loss and new published maps and institutional affil- insights into the sustainability of soil use in a region whose economy is mostly based on agriculture iations. and the exploitation of natural resources.
1,keywords: water erosion; soil degradation; rusle; basilicata; agricultural areas; land management; climate variability; remote sensing; chirps; biogeographical complexity copyright: © 2022 by the authors.
1,"licensee mdpi, basel, switzerland."
1,this article is an open access article distributed under the terms and conditions of the creative commons 1.
1,"introduction attribution (cc by) license (https:// the issue of soil protection is gaining increasing attention from scientists, policymak- creativecommons.org/licenses/by/ ers, land managers, and citizens [1]."
