page,p
1,"sustainability article landscape design as a tool to reduce soil salinization: the study case of keriya oasis (nw china) jumeniyaz seydehmet , guang-hui lv * and abdugheni abliz ministry of education key laboratory of oasis ecology and college of resources and environmental sciences, xinjiang university, urumqi, shengli road 666, 830046 xinjiang, china; jumeniyaz@xju.edu.cn (j.s.); abdugheni.abliz@xju.edu.cn (a.a.)"
1,"* correspondence: ler@xju.edu.cn  received: 14 march 2019; accepted: 29 april 2019; published: 5 may 2019  abstract: irrational use and management of water and land are associated with poor hydro-geological conditions causing water logging and salinization problems, possibly leading to farmland abandonment and economic loss."
1,"this poses a great challenge to the sustainability of oasis’ and requires desalinization through reasonable landscape design by multiple crossing studies so we collected traditional knowledge by field interviews and literature schemes, except for the modern desalinization approaches by literature, and we found that the salinization problem has been solved by traditional land reclamation, traditional drainage, natural drainage and flood irrigation, locally."
1,"it is worth mentioning that the traditional reclamation in salinized areas requires flood water, sand dunes and a salinized pit area; the sand dunes are used to elevate the pit surface, and water is used to leach salt from the soil."
1,"natural drainage (the depth and width are 4–10 m and 50–100 m, respectively) caused by flash flooding has significant benefits to some salinized villages in the range of 3000–5000 m and ancient groundwater drainage systems, such as karez are supporting the oasis with drainage water for centuries."
1,"in addition landscape characteristics, salinization and hydro-geological conditions of the oasis were studied from landsat image, dem, literature and field photos."
1,"then based on the gathered information above, a desalinization model was developed to decrease the groundwater table and salt leaching in the water logging landscape."
1,"then according to landscape characteristics, different desalinization approaches were recommended for different landscapes."
1,"to address environmental uncertainties, an adaptive landscape management and refinement approach was developed, and acceptance of the model was validated by stakeholder opinion."
1,the results provide guidelines for sustainable desalinization design and highlight the importance of combining traditional knowledge and modern ecological principles in sustainable landscape design.
1,keywords: traditional knowledge; scientific knowledge; landscape ecology; adaptive management; interdisciplinary principle 1.
1,"introduction interactive zones between irrigated farmland and the natural desert ecosystem, known as eco-tone areas, can develop secondary salinization as a result of irrational management of land and water resources with inherent flat geo-topological problems [1]."
1,"under the complex interaction of anthropogenic and natural factors, salinization in the keriya oasis has shown a fluctuating trend, with salinized areas covering 1670 ha, 1554 ha and 1833 ha in 1991, 2002 and 2008, respectively [2–6]."
1,"in particular, farmland has been subjected to salinization and abandonment."
1,"the keriya oasis has populated about 250,000 people, whose sustaining life mostly depend on agriculture: the main crops are wheat, maize, cotton, rice and grapes."
