page,p
1,"artificial satellites, vol."
1,2 – 2015 doi: 10.1515/arsa-2015-0007 mesoscale convective systems monitoring on the basis of msg data – case studies k.
1,"szafranek1),3), b."
1,"jakubiak1), r."
1,"lech2), m."
1,"tomczuk2) (1) university of warsaw, interdisciplinary centre for mathematical and computational modelling, poland (2) hydrometeorological service of the polish armed forces, poland (3) military university of technology, faculty of civil engineering and geodesy, poland abstract analysis described in the paper were made in the frame of the proza (operational decision- making based on atmospheric conditions, http://projekt-proza.pl/) project co-financed by the european union through the european regional development fund."
1,"one of its tasks was to develop an operational forecast system, which is going to support different economies branches like forestry or fruit farming by reducing the risk of economic decisions with taking into consideration weather conditions."
1,the main purpose of the paper is to describe the method of the mcss (mesoscale convective systems) tracking on the basis of the msg (meteosat second generation) data.
1,until now several tests were performed.
1,the meteosat satellite images in selected spectral channels collected for central europe region for may 2010 were used to detect and track cloud systems recognized as mcss in poland.
1,the isis tracking method was applied here.
1,first the cloud objects are defined using the temperature threshold and next the selected cells are tracked using principle of overlapping position on consecutive images.
1,the main benefit of using a temperature threshold to define cells is its efficiency.
1,during the tracking process the algorithm links the cells of the image at time t to the one of the following image at time t+dt that correspond to the same cloud system.
1,"selected cases present phenomena, which appeared at the territory of poland."
1,they were compared to the weather radar data and ukmo um (united kingdom metoffice unified model) forecasts.
1,the paper presents analysis of exemplary mcss in the context of near real- time prediction system development and proves that developed tool can be helpful in mcss monitoring.
1,"keywords: mcs, tracking, msg, radar data, ukmo um 1."
1,"main goals analysis described in this paper were performed in the frame of proza (operational decision-making based on atmospheric conditions, http://projekt-proza.pl/) project."
1,"one of its main purposes was to forecast severe weather conditions, which can be crucial for agriculture, forestry and fruit-farming."
1,the main goal of the analysis presented in this paper is to take full advantage of various source of data to track possibly dangerous meteorological phenomena.
2,"92 nowadays, this problem has a very significant, practical meaning, because of many damages caused by severe weather in poland."
2,use of different types of data increases reliability of tracking and forecasting and decreases risk of huge damages.
2,the paper refers to the proza’s 1st tasks - development of the operational weather forecasts.
2,"system of sudden convective phenomena forecasting, detection and monitoring is one of the subject investigated in the frame of this task."
2,sudden storms generated during mesoscale convective systems (mcss) evolution are one of the most dangerous atmospheric phenomena.
2,several case studies are being used for convective system classification and to define convection development precursors.
2,"the goal was to create a system, which could track (and forecast in a future) mcs occurrence on a territory of the eastern europe in a real time based on msg data."
