page,p
1,animal conservation.
1,print issn 1367-9430 remotely sensed vegetation productivity predicts breeding activity and drought refuges for a threatened bird in semi-arid australia a.
1,"young1 , k."
1,"selwood1,2 , j."
1,"benshemesh3, j."
1,wright4 & d.
1,"southwell1,5 1 quantitative and applied ecology group, school of ecosystem and forestry science, university of melbourne, parkville, vic, australia 2 wildlife conservation and science, zoos victoria, parkville, vic, australia 3 national malleefowl recovery team, melbourne, vic, australia 4 parks victoria, melbourne, vic, australia 5 national environmental science program threatened species recovery hub, university of melbourne, parkville, vic, australia keywords abstract climate change; drought refuges; satellite imagery; vegetation indices; ndvi; remote refuges play a critical role protecting species against the effects of climate change. sensing; malleefowl; semi-arid."
1,managing high priority refuges could improve species resilience and facilitate dis- persal during periods of environmental change.
1,"in this study, we identiﬁed drought correspondence refuges in semi-arid australia for a threatened bird, the malleefowl leipoa ocellata."
1,alys r.
1,"young, quantitative and applied using a poisson regression model, we quantiﬁed the effect of remotely sensed veg- ecology group, school of ecosystem and etation indices, rainfall, soil moisture and site characteristics on malleefowl breed- forestry science, university of melbourne, ing activity at 144 sites surveyed from 2000 to 2017 during and after drought."
1,"we parkville, vic 3010, australia. tested the effect of two vegetation productivity indices on malleefowl breeding email: alysrhiannon.young@unimelb.edu.au activity – the normalized difference vegetation index (ndvi) and the enhanced vegetation index (evi) – averaged across three temporal and three spatial scales editor: karl evans during the mound building and incubation stage of the breeding cycle."
1,we found associate editor: aldina franco that ndvi and evi were better predictors of malleefowl breeding activity than soil moisture and winter rainfall.
1,the model with the lowest akaike information crite- received 11 september 2020; accepted 01 rion value contained ndvi averaged over 3 months (june–august) and a 1-km december 2021 radius.
1,malleefowl breeding activity had a strong positive association with ndvi (0.42  se 0.03) and a negative association with slope (−0.34  se 0.03) and veg- doi:10.1111/acv.12763 etation patch size (−0.23  se 0.02).
1,"we found the proportion of refugia (top 20% of predicted breeding activity) in protected areas was highly variable, decreasing from 42% in an extreme wet year (2011) to 14% in an extreme drought year (2007)."
1,expanding the reserve network to include refugia predicted to occur in the south of semi-arid victoria could improve resilience of malleefowl to climate change.
1,"we demonstrate how remotely sensed vegetation indices combined with citizen science data can identify where to protect native vegetation with high, stable productivity."
1,"our approach could be applied to a broad range of species in semi-arid regions vulnerable to climate change. et al., 2007; selwood, cunningham & mac nally, 2019) introduction might help improve the resilience of species to future global dubbed the anthropocene era, biodiversity declines charac- environmental change (keppel & wardell-johnson, 2012; terize the 21st century (butchart et al., 2010)."
1,"threats to bio- keppel et al., 2012; morelli et al., 2016). diversity continue to escalate with climate change expected habitat refuges facilitate the persistence of biota by pro- to add additional pressure on species and ecosystems viding conditions buffered against the impacts of threats or (steffen et al., 2009)."
1,"the risk of climate change to biodiver- disturbances (selwood & zimmer, 2020)."
1,"climate refuges, in sity is both pertinent and challenging for conservation practi- particular, maintain more favourable abiotic conditions (e.g. tioners to manage directly at both landscape and local levels. microclimate) and/or greater resource availability (e.g. food, however, identifying and protecting places that facilitate spe- water, habitat) compared to the broader landscape during cli- cies persistence during periods of historical drought (bennett matic disturbances (bennett & provan, 2008; keppel et al., & provan, 2008) or extreme weather events (e.g."
1,"milstead 2012) or changing conditions (bennett & provan, 2008; 566 animal conservation 25 (2022) 566–581 ª 2022 the zoological society of london"
2,"14691795, 2022, 4, downloaded from https://zslpublications.onlinelibrary.wiley.com/doi/10.1111/acv.12763 by university of california, wiley online library on [04/10/2024]."
2,see the terms and conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on wiley online library for rules of use; oa articles are governed by the applicable creative commons license a.
2,young et al.
2,"drought refuges of malleefowl breeding activity ashcroft, 2010)."
2,"in the current changing climate, areas that rainfall initiates the exothermic decay of the vegetative mate- have provided a climate refuge for species in the past may rial within the mounds (frith, 1956)."
2,"rainfall also inﬂuences represent high conservation value areas to target future man- vegetation condition, which may in turn affect the direct pro- agement (keppel & wardell-johnson, 2012)."
2,"identifying vision of food, shelter from predators and nesting material potential refuges can inform the optimization of conservation (frith, 1959; gillam, 2008; parsons, short & roberts, 2009). actions, which is especially important given disturbances are given the frequency and severity of drought is expected to expected to increase in frequency and intensity due to cli- increase across much of the species range, identifying proxi- mate change (steffen et al., 2009; garnett et al., 2013; mal drivers of breeding activity and where high levels of morelli et al., 2016; reside et al., 2019). breeding activity are maintained through periods of drought species in arid and semi-arid regions of the world may be is crucial for future management (brereton, bennett & more vulnerable to climate change due to a reliance on mansergh, 1995). already low levels of water availability (collins et al., 2013; speciﬁcally, we identiﬁed drought refuges for malleefowl dai, 2013)."
2,"remotely sensed vegetation indices are increas- by modelling the inﬂuence of remotely sensed vegetation ingly being used to identify areas with higher and more productivity, rainfall, soil moisture and other environmental stable vegetation productivity and water availability (mackey variables using an 18-year dataset of breeding activity from et al., 2012; gould et al., 2015)."
2,"for example, recent studies 144 sites in southern australia."
2,"we investigated the follow- have identiﬁed refuges using such methods in australia ing questions: (1) what spatially mapped site covariates drive (selwood et al., 2015b; nimmo et al., 2016), the mediter- malleefowl breeding activity?"
2,"; (2) is ndvi, evi, soil mois- ranean (dubinin et al., 2018; marcelino et al., 2020), south ture or rainfall a better predictor of breeding activity?"
2,"; (3) america (marengo & bernasconi, 2015; bozkurt et al., which temporal and spatial scales of ndvi, evi, rainfall, 2017), west africa (sarr, 2012), the united states of amer- and soil moisture explain the most variation in breeding ica and mexico (seager et al., 2007; wehner et al., 2011). activity?"
2,; and (4) what proportion of potential drought remotely sensed vegetation indices provide great potential refuges for malleefowl intersected with protected areas dur- for identifying refuges across a variety of taxa because: they ing an extreme drought from 1997 to 2009?
2,"this study is are likely to provide more proximal measures of factors driv- one of the ﬁrst to explore the inﬂuence and predictive ability ing populations compared with measures such as rainfall; of vegetation productivity indices on the breeding activity of they are relatively easy to access online, and; they have high wide-ranging semi-arid species."
2,"with drought predicted to spatial and temporal resolution (andrew & warrener, 2017). increase across the malleefowl range (brereton et al., 1995), two remotely sensed vegetation indices commonly used locating and protecting potential refuges is important for to assess ecological responses to environmental change are managing the species in the face of climate change."
2,"our the normalized difference vegetation index (ndvi) and approach will become increasingly relevant to taxa in semi- enhanced vegetation index (evi) (pettorelli et al., 2005). arid regions around the world."
