page,p
1,laws article vermont global warming solutions act: the costs of inaction from land conversions grayson l.
1,"younts 1 , elena a."
1,"mikhailova 2, * , lili lin 3 , zhenbang hao 4 , hamdi a."
1,"zurqani 5 , christopher j."
1,"post 2 , mark a."
1,schlautman 6 and george b.
1,"shepherd 7 1 department of plant and environmental sciences, clemson university, clemson, sc 29634, usa; graysoy@g.clemson.edu 2 department of forestry and environmental conservation, clemson university, clemson, sc 29634, usa; cpost@clemson.edu 3 department of biological science and biotechnology, minnan normal university, zhangzhou 363000, china; lll2639@mnnu.edu.cn 4 university key lab for geomatics technology and optimized resources utilization in fujian province, fuzhou 350002, china; zhenbanghao@fafu.edu.cn 5 university of arkansas agricultural experiment station, arkansas forest resources center, university of arkansas at monticello, monticello, ar 71655, usa; zurqani@uamont.edu 6 department of environmental engineering and earth sciences, clemson university, anderson, sc 29625, usa; mschlau@clemson.edu 7 school of law, emory university, atlanta, ga 30322, usa; gshep@law.emory.edu * correspondence: eleanam@clemson.edu abstract: the vermont (vt) global warming solutions act (gwsa, 2020) sets greenhouse gas (ghg) emissions reduction targets at 26% below 2005 by 2025, 40% below 1990 by 2030 and 80% below 1990 by 2050 for energy-related emissions only."
1,"vermont’s omission of ghg emissions from land conversions could result in significant costs of inaction (coi), which could hinder the state’s mitigation and adaptation plans and result in climate crisis-related risks (e.g., credit downgrade)."
1,"citation: younts, grayson l., elena science-based spatio-temporal data of ghg emissions from soils because of land conversions can be a."
1,"mikhailova, lili lin, zhenbang integrated into the conceptual framework of “action” versus “inaction” to prevent ghg emissions."
1,"hao, hamdi a."
1,"zurqani, christopher the application of soil information data and remote sensing analysis can identify the ghg emissions j."
1,"post, mark a."
1,"schlautman, and from land conversions, which can be expressed as “realized” social costs of “inaction”."
1,this study george b.
1,shepherd.
1,"vermont demonstrates the rapid assessment of the value of regulating ecosystems services (es) from soil global warming solutions act: the organic carbon (soc), soil inorganic carbon (sic), and total soil carbon (tsc) stocks, based on costs of inaction from land the concept of the avoided social cost of carbon dioxide (co2 ) emissions for vt by soil order and conversions."
1,laws 11: 48. https:// county using remote sensing and information from the state soil geographic (statsgo) and soil doi.org/10.3390/laws11030048 survey geographic database (ssurgo) databases.
1,classified land cover data for 2001 and 2016 were received: 7 february 2022 downloaded from the multi-resolution land characteristics consortium (mrlc) website.
1,"these accepted: 16 may 2022 results provide accurate and quantitative spatio-temporal information about likely ghg emissions, published: 7 june 2022 which can be linked to vt’s climate action plan."
