page,p
1,"geojournal (2018) 83:1361–1372 https://doi.org/10.1007/s10708-017-9840-5 (0123456789().,-volv) (0123456789().,-volv) cooperation in earth observation missions in africa: a role for afrigeoss ganiy i."
1,agbaje .
1,olusoji n.
1,"john published online: 30 december 2017  springer science+business media b.v., part of springer nature 2017 abstract this paper is aimed at examining the role natural resources management."
1,"consequently, the of african global earth observation system of paper argued that the numerous benefits from space systems (afrigeoss) in earth observation (eo) assets have driven countries within the continent of mission cooperation on the continent of africa."
1,it africa to either acquire or develop capabilities in discusses the importance of earth observation pro- space systems which is devoted to improving quality grams for developing countries as well as the benefits of life in general.
1,the paper concluded that while of international cooperative efforts.
1,"the paper further space systems are expensive, there is need for examined some collaborative projects on earth obser- continuity and sustainability as a result of its numerous vation in africa and their associated problems."
1,"it advantages to the human’s society. specifically looked at the eo data coordination initiatives such as the spatial data infrastructure keywords sustainable development  spatial data (sdi), geoss, africa discovery broker, etc."
1,it then infrastructure (sdi)  geo  geoss  afrigeoss  situates afrigeoss in the context of african space earth observation  capacity building  satellite agenda (asa) with recommendations especially to the africa union commission for the realization of asa set goals.
1,"the paper reiterated that regardless of whether developed or developing, earth observation introduction information provides substantial benefit supporting economic development, decision making and policy located mostly within the tropical region of the world, implementation of all countries of the world."
1,"this is as africa stands out to be one of the most richly endowed a result of its multifarious benefits to humans in areas continents in the world in terms of abundant natural like agriculture, forestry, risk management, disaster resources and population size."
1,"unlike in america, monitoring, maritime, defence and security and europe and part of asia, despite all the abundant resources (or wealth) present in africa, the continent has not been able to translate it to providing efficient g."
1,agbaje (&)  o.
1,"john essential services in the areas of effective and efficient african regional centre for space science and electric power supply, provision of clean and afford- technology education in english (arcsste-e), ife, nigeria able portable drinking water, good road and railway e-mail: gagbaje@gmail.com network connectivity, effective ports management and o."
1,john communications.
1,"consequently, african countries e-mail: nestero2003@yahoo.co.uk continue to rely on exporting primary commodities 123"
2,"1362 geojournal (2018) 83:1361–1372 without added value and as such cannot generate coherent exploitation of earth observation data (space enough investment capital from within thereby failing and in situ), technologies and services for sustainable to attract the desired foreign investments (uzonwanne development in africa is presented in ‘‘eo data 2015)."
2,it is a known fact that any economy that availability/coordination initiatives in africa’’ sec- specializes in exporting primary products and import- tion.
2,"likewise, in ‘‘global initiative’’ section, the ing manufactured goods would end up having terms of initiative of global earth observation system of trade shifting against its economy (sanusi 2016)."
2,"it is, systems (geoss) and the consequence of the over- therefore, imperative to stress that the benefits of space lapping, non-ownership and non-domestication nature services (earth observation, satellite communication, on eo data access and effective utilization are navigation and positioning, space science and astron- presented."
2,"also examined are the possible roles for omy) have accrued to africa indirectly, as a consumer afrigeoss in the africa eo missions which are of services and space-derived products provided by aimed at enhancing africa’s capacity for producing, multi-national companies and inter-governmental managing and using earth observations data and agencies mostly from abroad."
2,"regrettably, africa information by developing a continental coordination currently lacks the technical know-how to participate framework."
2,"furthermore, the risks associated with independently in space-related activities as a service international cooperation efforts aimed at providing provider (au 2015)."
2,"this has become even more eo data for africa developments are presented. unappealing because the inability of a society to gain recommendations on the way forward in the realiza- control over her environment will lead to decreased tion of the eo data coordination within the african societal value system, stagnant or slow socio-eco- space agenda (asa) are then presented. nomic advancement, insecurity, and poor wellbeing of the people."
2,"to promote an integrated growth and ensure developmental challenges of africa sustainable development, it will be recalled that the within the context of eo data availability 2002 world summit on sustainable development (wssd) in johannesburg, south africa recognized the no doubt, africa is the 2nd largest continent, and also urgent need for coordinated observations of the state the 2nd driest (drought) continent of the world."
2,"with of the earth in its effort to haul the world’s 2 billion 1.1 billion population which is expected to reach 2 poorest people out of misery and restore/nurture the billion in 2050, the continent accounts for 15% of the damaged environmental web that sustains all of its total world population (worldometeres 2016; addu- life."
2,"following the 2002 wssd, there is, therefore, the cation 2016)."
2,"on the average, the life expectancy is need ‘to create a world where decisions and actions are 60 years (2015) (statista 2015; agbaje 2014)."
2,"africa’s informed by coordinated, comprehensive and sus- key developmental challenges include: poverty (in- tained earth observations’ (geo 2005a). cluding high debts), food insecurity, water scarcity, this paper is, therefore, aimed at examining the disasters, environmental degradation, climate change, role of afrigeoss in earth observation (eo) mission peace and security, and energy resources."
2,recognizing cooperation on the continent of africa.
2,"its objectives the critical role eo data plays in supporting africa’s include discussing the importance of earth observation development efforts in priority areas of challenge, it is programs for developing countries as well as the clear that there is an urgent need to build awareness in benefits of international cooperation efforts."
2,the paper exploiting african resources for sustainable develop- further discussed the challenges in the effective use of ment and economic transformation using space earth observation (eo) data to handle sustainable science and technology (elwaer 2013). development challenges of african continent.
2,"in despite africa’s size and population, africa specific, the paper presents the developmental chal- remains the least mapped continent in the world, lenges of africa in ‘‘developmental challenges of hence the lack of suitable eo data and difficulty of africa within the context of eo data availability’’ access to available ones for developmental planning. section."
2,"eo data availability and the national/regional clearly if it can’t map, surely it can’t be managed. coordination initiatives in africa aimed at strengthen- resources are squandered, all economic figures are ing and further developing infrastructure for a more estimates, and the unprecedented poor level of human 123"
3,"geojournal (2018) 83:1361–1372 1363 resources management resulted in brain drain—loss of however, very few of the stations are currently the continent’s highly educated and skilled manpower. operational."
3,"development plan solution for africa situation will the african monitoring of the environment for require technology and skill acquisition, natural sustainable development (amesd) project (2006 to resources management, infrastructure development, mid-2013) is the successor to puma with the and monitoring of the environment in both time and objective to provide all african nations with the space (agbaje 2014)."
3,"some national, regional and resources they need to manage their environment more international initiatives to tackle headlong the eo data effectively and ensure long-term sustainable develop- availability and coordination problems in africa are ment in the region."
3,it received funding of €21 million yet to yield the desired results.
3,we must also bear in from the european commission through the european mind that true development can neither be started nor development fund (eumetsat 2016).
3,the project sustained by outsiders.
3,"real development is achieved suffered issues of ownership and domestication by the through internal activities rather than from external beneficiaries. influences (agbaje 2014) the next project currently being implemented is the the 2015 mdg’s report on africa put the overall monitoring of environment and security in africa poverty rate at 48%, and that much more work lies programme (mesa) launched in 2012 and to run till ahead to ensure living standards of the african people."
3,"it has as its main objective ‘‘to increase the in addition, poor implementation mechanisms and information management, decision-making and plan- excessive reliance on development aid, undermined ning capacity of african continental, regional and the economic sustainability of several mdg interven- national institutions mandated for environment, cli- tions in the continent (eca 2015)."
3,"the report finally mate, food security and related responsibilities by showed that tackling sustainability development will enhancing access to and exploitation of relevant earth require rigorous development planning approaches observation applications in africa’’."
3,"it is also underpinned by strengthened capacities, integrated expected to be funded to the tune of €37 million by approaches to the continent’s development challenges, the european union. and access to reliable and quality data."
3,"therefore, to the global monitoring for environment and achieve the sdgs by 2030, africa must take eo data security in africa (gmes and africa) initiative was issue very serious. launched following the maputo declaration signed on 15 october 2006."
3,"the aim of this initiative is to strengthen and further develop infrastructure for a eo data availability/coordination initiatives more coherent exploitation of earth observation data in africa (space and in situ), technologies and services in support of the environmental policies for sustainable joint european commission (eu) and african development in africa."
3,gmes and africa is now union commission (auc) projects expected to succeed mesa as part of the series of project initiatives on eo data being funded by the eu.
3,the european commission (eu) and the african full implementation under the direct supervision of union commission (auc) collaborated in a succes- the african union commission (auc) is expected to sion of projects to help african countries get better commence in early 2018. access to earth observation data.
