page,p
1,1 a global vision for monitoring ecosystem services with satellite sensors d.
1,"alcaraz-segura university of granada, spain; university of almería, spain c."
1,"di bella national institute of agricultural technology (inta), argentina contents 1.1 general overview of remote sensing of ecosystem services.................3 1.2 overview of book sections and chapters...................................................7 1.2.1 ecosystem services related to the carbon cycle..........................."
1,7 1.2.2 ecosystem services related to biodiversity....................................8 1.2.3 ecosystem services related to the water cycle.............................8 1.2.4 ecosystem services related to energy balance..............................9 1.2.5 other dimensions of ecosystem services.......................................
1,9 acknowledgments...................................................................................................
1,9 references................................................................................................................
1,10 1.1 general overview of remote sensing of ecosystem services ecosystem services can be defined as “an activity or function of an ecosys- tem that provides benefit (or occasionally detriment) to humans” (mace et al. 2012; see also burkhard et al.
1,2012; crossman et al.
1,2012).
1,"repeated efforts have been made to quantify, value, map, monitor, and analyze the various ecosystem service components that sustain human well-being: from the early attempts of costanza et al. (1997) and the millennium ecosystem assessment (ma 2005) to the more recent integrative initiatives of the intergovernmental science-policy platform on biodiversity and ecosystem services (ipbes 2013) and the global system for monitoring 3"
2,4 earth observation of ecosystem services ecosystem service change (tallis et al.
2,2012; geo bon es 2013).
2,the lat- ter initiatives join more than 50 international organizations and 80 gov- ernmental representations under the auspices of the group on earth observations in order to develop the global earth observation system of systems (geoss).
2,"their aim is to compile extensive and standard monitoring of multiple services to allow policymakers and scientists to explore, better understand, and prioritize trade-offs across socioecological settings and scales (from the national to the global level)."
2,"the group on earth observations biodiversity observation network (geo bon) iden- tified four main sources of data: national statistics, field-based observa- tions, remote sensing, and numerical simulation models (tallis et al."
2,2012).
2,"of these, remote sensing offers the potential to use the same standard protocols from local to global scales and through time, which is essen- tial for long-term monitoring and for trade-off assessment across regions."
2,"satellite-based earth observation is probably the most economically fea- sible means to systematically retrieve global information with high tem- poral, spatial, and spectral resolution over large areas (ayanu et al."
2,2012).
2,decline in the cost involved in obtaining such data and increase in the computational power of higher resolution sensors to cope with larger data sets will maximize this advantage (kreuter et al.
2,2001).
2,remote sensing of ecosystem services has been a fast-growing research field in recent years.
2,"on searching the scopus database (http://www.­ scopus.com) for documents that contain the terms “remote sensing,” “earth observation,” and/or “ecosystem services” in the title, abstract, or keywords, we found a total of 270 documents (table 1.1)."
