page,p
1,1 may smart technologies reduce the environmental impact of nitrogen 2 fertilization?
1,"a case study for paddy rice 3 4 jacopo bacenettia*, livia palearia-b*, sofia tartarinia-b, fosco m."
1,"veselya-b, marco foia-b, ermes 5 movedia-b, riccardo a."
1,"ravasia-b, valeria bellopedec, stefano durelloc, carlo ceravoloc, 6 francesca amiciziac, roberto confalonieria-b 7 8 a università degli studi di milano, department of environmental science and policy, via 9 celoria 2, milan, 20133, italy. 10 b cassandra lab."
1,"via celoria 2, milan, 20133, italy. 11 c università degli studi di milano, cropping systems ms course."
1,"via celoria 2, milan, 20133, 12 italy."
1,13 * corresponding author.
1,"e-mail: livia.paleari@unimi.it, jacopo.bacenetti@unimi.it 14 15 abstract 16 precision agriculture is increasingly considered as a powerful solution to mitigate the 17 environmental impact of farming systems."
1,this because of its ability to use multi-source 18 information in decision support systems to increase the efficiency of farm management.
1,"19 among the agronomic practices for which precision agriculture concepts were applied in 20 research and operational contexts, variable rate (vr) nitrogen fertilization plays a key role."
1,"21 a promising approach to make quantitative, spatially distributed diagnoses to support vr n 22 fertilization is based on the combined use of remote sensing information and few smart 23 scouting-driven ground estimates to derive maps of nitrogen nutrition index (nni)."
1,"in this study, 24 a new smart app for field nni estimates (pocketnni) was developed, which can be 25 integrated with remote sensing data."
1,the environmental impact of using pocketnni and 26 sentinel 2 products to drive fertilization was evaluated using the life cycle assessment 27 approach and a case study on rice in northern italy.
1,"in particular, the environmental 28 performances of rice fertilized according to vr information derived from the integration of 1"
2,29 pocketnni and satellite data was compared with a treatment based on uniform n 30 application.
2,primary data regarding the cultivation practices and the achieved yields were 31 collected during field tests.
2,32 results showed that vr fertilization allowed reducing the environmental impact by 11.0% to 33 13.6% as compared to uniform n application.
2,"for climate change, the impact is reduced 34 from 937.3 to 832.7 kg co2 eq/t of paddy rice."
2,the highest environmental benefits – mainly 35 due to an improved ratio between grain yield and n fertilizers – were achieved in terms of 36 energy consumption for fertilizer production and of emission of n compounds.
2,"although 37 further validation is needed, these preliminary results are promising and provide a first 38 quantitative indication of the environmental benefits that can be achieved when digital 39 technologies are used to support n fertilization."
2,"40 41 keywords 42 impact assessment, life cycle assessment, nitrogen nutrition index, pocketnni, precision 43 agriculture, sentinel."
3,"introduction 45 precision agriculture (pa) – i.e., the use of multi-source information in decision support systems 46 to increase the efficiency of farm management (blackmore, 1994; bouma et al., 1999) – is 47 increasingly catalysing the attention of scientists and farmers because of its potential to 48 reduce environmental pollution while increasing farm profits and product quality (srinivasan, 49 2006)."
