page,p
1,remote sensing letter nasa’s early adopter program links satellite data to decision making molly e.
1,"brown 1, * and vanessa m."
1,"escobar 2, * 1 department of geographical sciences, university of maryland, college park, md 20742, usa 2 booz allen hamilton, nasa headquarters, 300 e street nw, washington, dc 20564, usa * correspondence: mbrown52@umd.edu (m.e.b.); vanessa.m.escobar@nasa.gov (v.m.e.)"
1,; tel.: +1-703-855-6190 (m.e.b.)
1," received: 7 january 2019; accepted: 14 february 2019; published: 17 february 2019  abstract: as the cost of satellite missions grow, government agencies are working to increase the relevance and usefulness of the earth science data that they produce."
1,the us national aeronautics and space administration’s (nasa) early adopter program seeks to formalize partnerships with users of data early within the satellite planning process to ensure the greatest value of the mission.
1,"scientists who are designing the satellite observing system, those who are developing mission data products, and the community who will use them need to work together to determine how satellite data can better inform decision making."
1,"nasa is working to initiate engagement with data users much earlier in the satellite program life so that the user needs can be prioritized, continue to engage with users throughout the development cycle, and then include analysis on societal impact after nominal mission life."
1,the early adopter program allows for broad and early engagement with decision makers by encouraging individuals and institutions with clear uses of data to engage with the mission.
1,early adopters facilitate feedback on mission products during pre-launch and accelerate the utilization of these products post-launch.
1,"this paper provides background and detail on how nasa is working to engage with early adopters, describes the partnership between early adopters and nasa missions, and connects the program to improved societal impacts of its satellite missions."
1,keywords: satellite missions; partnerships; nasa; early adopter; utilization; applications; decision support 1.
1,"introduction the us national aeronautics and space administration’s (nasa) earth science division (esd) delivers a wide suite of datasets derived from a sophisticated national and international infrastructure of space-based observing systems, scientific research, and applications."
1,"a central part of this program is the multiple use nature of all its investments, where observations are designed to serve curiosity-based science, applications-oriented science, and societal benefits at the same time [1]."
1,the applied sciences program within nasa’s earth science division promotes efforts to discover and demonstrate innovative and practical uses of earth observations [2].
1,"the program funds applied science research and applications projects to enable near-term uses of earth observations, formulate new applications, improve practitioners’ decision-making, and transfer of the applications."
1,application projects are carried out in partnership with public- and private-sector organizations to achieve sustained use and sustained benefits from the earth observations.
1,"as part of this program, nasa has focused on developing its knowledge of future applications and diversified engagement with users for upcoming satellites through the concept of an early adopter (ea) [3,4]."
1,"the ea program provides a structured way to foster unfunded partnerships between new nasa earth instrument projects before they launch and external organizations who are motivated to work remote sens. 2019, 11, 406; doi:10.3390/rs11040406 www.mdpi.com/journal/remotesensing"
2,"remote sens. 2019, 11, 406 2 of 11 with them."
2,"each ea project has a principal investigator (pi) who is typically a scientist, manager, or individual in an institution who has a direct or clearly defined use for the new or emerging satellite data observation."
2,"after a new mission launches, early adopters integrate the new satellite data into an application that supports improved decision making with societal relevance and reports the impacts and lessons learned back the mission and to nasa."
2,the ea program allows for direct mission engagement with interested institutions and individuals throughout the technology development process [4].
2,"the ea program is flexible, extensible, and provides useful and sustained engagement to mission scientists and expertise, as well as to decision makers who might use the satellite data."
