page,p
1,"biological conservation 142 (2009) 2202–2216 contents lists available at sciencedirect biological conservation journal homepage: www.elsevier.com/locate/biocon planning iterative investment for landscape restoration: choice of biodiversity indicator makes a difference don william butler * queensland herbarium, environmental protection agency, mt coot-tha botanic gardens, mt coot-tha road, toowong 4066, australia a r t i c l e i n f o a b s t r a c t article history: natural regrowth vegetation offers a cost-effective means of restoring some degraded landscapes."
1,"world- received 12 june 2008 wide, policy responses to climate change are increasing the attractiveness of investment in regrowth pro- received in revised form 30 march 2009 tection or facilitation which with strategic planning could also deliver substantial dividends for accepted 22 april 2009 biodiversity conservation."
1,"this study compares the performance of two commonly used indicators of bio- available online 17 june 2009 diversity conservation priority, irreplaceability and complementarity, as tools to support planning for iterative investment to protect natural regrowth of brigalow, an endangered ecological community in keywords: subtropical eastern australia."
1,"brigalow covered more than seven million hectares prior to clearing, it complementarity irreplaceability now persists ‘intact’ on less than a tenth of that area but there are signiﬁcant areas of regrowth."
1,"restoration data on brigalow regrowth derived from mapping and remote sensing identify 10,555 patches covering brigalow 280,000 hectares in total."
1,"two different classiﬁcations are used to represent brigalow biodiversity: a australia land-type classiﬁcation of 16 ‘regional ecosystems’ mapped at 1:100,000 scale, and a landscape-scale classiﬁcation of 40 biogeographic subregions that discriminate relatively uniform landscapes at about 1:500,000 scale."
1,conservation targets are expressed as the extent of regrowth needed to increase the extent of intact or ‘remnant’ areas of each biodiversity feature to either 5% or 10% of its former extent.
1,"in each case, irreplaceability and complementarity are positively correlated, and either metric type could be used to identify relatively large sets of high-priority patches."
1,"however, regional-scale restoration is likely to involve iterative investment and therefore to require discrimination of relatively small sets of patches of the highest priority for biodiversity conservation."
1,"irreplaceability is not an ideal measure of biodiversity value when planning such iterative processes, simply because irreplaceability is uninforma- tive for ranking ‘high-value’ patches; they all have the highest possible score."
1,"this study demonstrates the importance of considering quite fundamental points when choosing metrics for conservation plan- ning, such as the frequency distribution of values they produce."
1,"where planning aims to identify quite small sets of very high value features metrics that are most variable among the highest value patches, like the one used for complementarity in this study, will be more useful than metrics that are strongly bounded at higher values."
1,ó 2009 elsevier ltd.
1,all rights reserved.
1,"introduction regrowth of a widespread ‘endangered’ ecosystem in eastern aus- tralia, known as brigalow."
1,"facilitating ecosystem restoration by fostering ‘passive’ natural brigalow ecosystems have been extensively cleared (seabrook regeneration and regrowth has considerable potential for cost- et al., 2006), but the dominant tree species, acacia harpophylla (bri- effective landscape-scale restoration (moran et al., 1996; aide galow), is renowned for its regenerative power (johnson, 1964), et al., 2000)."
1,"there are substantial areas of natural regrowth in resulting in thousands of hectares of regrowth which if protected some extensively cleared regions, and their value for biodiversity from re-clearing, or perhaps facilitated by thinning or weed man- conservation and other purposes is increasingly recognised (bowen agement, offers a low-input means of restoration to mitigate some et al., 2007; chandler et al., 2007; cramer et al., 2008; fensham and negative consequences of over-clearing (mcalpine et al., 2002; guymer, 2009; mcalpine et al., 2009)."
1,"this paper applies concepts dwyer et al., in press)."
1,"however, since brigalow regrowth occurs developed for designing conservation reserve networks in order to in fragmented patches across thousands of square kilometres the assess biodiversity conservation ‘value’ among patches of natural question of which patches, or sets of patches, will deliver higher biodiversity conservation returns on restoration investment is * present address: department of biological sciences, macquarie university, not trivial."
1,"north ryde, new south wales 2109, australia."
1,"tel.: +61 07 3406 6049, +61 2 9850 6270; fax: +61 07 3896 9624."
1,"the ﬁeld of systematic conservation planning (scp) has devel- e-mail addresses: dbutler@bio.mq.edu.au, donwbutler@gmail.com oped quantitative techniques that help reserve-network planners 0006-3207/$ - see front matter ó 2009 elsevier ltd."
1,all rights reserved. doi:10.1016/j.biocon.2009.04.023
2,butler / biological conservation 142 (2009) 2202–2216 2203 efﬁciently identify representative samples of regional-scale biodi- serves.
2,"the key point for this study is that complementarity is a versity (margules and pressey, 2000; sarkar et al., 2006)."
2,"much of patch-by-patch measure of conservation value based on the contri- scp concerns techniques that distinguish ‘optimal-sets’ of areas bution each patch makes to system-wide targets, whereas irre- that satisfy explicit conservation targets for minimal cost."
2,"how- placeability also incorporates the ‘tradability’ or ‘redundancy’ of ever, faith et al., (2003) criticise the strong focus of scp on opti- patches. mal-sets."
2,"they argue for techniques to plan staged or a difﬁculty with scp is the question of how to evaluate the out- incremental implementation of conservation programs, not least comes?"
2,the most commonly applied metrics relate to ‘efﬁciency’ or because few if any optimal-sets are rapidly realised (margules the economic cost incurred in reaching conservation targets.
2,"while and pressey, 2000; pressey and taffs, 2001)."
2,"an attractively simple cost-efﬁciency is clearly important, the focus of this study on mea- approach to incremental implementation was considered by meir sures of value rather than investment priorities per se, make cost- et al. (2004), who found that simple rules such as ‘‘protect the efﬁciency a premature measure."
2,"instead, this study compares the available site with the highest irreplaceability or richness” can out- frequency distributions of the value metrics, and what any differ- perform optimal-sets that cannot be implemented immediately. ences might mean for planning."
2,"furthermore, other facets of biodi- immediate implementation is unlikely for extensive restoration versity value such as patch size, connectivity, and congruence with at regional or even landscape scales, but the prospects for incre- the modelled distribution of threatened species are also evaluated mental broad-scale restoration are improving."
2,"economic incentives in order to consider the conservation value of the various sets of to restore natural vegetation are increasing due, for instance, to high-value patches identiﬁed."
2,"these factors could have been incor- emerging carbon economies, environmental stewardship pro- porated into value metrics but are used here to enable discussion of grams, and increasing interest in ‘offsets’ negotiated to defray per- the more generally interesting questions of how changing targets mitted environmental harm."
2,"of course ﬁnal investment decisions and approaches to biodiversity classiﬁcation affect patterns of irre- must consider cost-efﬁciency (naidoo et al., 2006), and there are placeability, and the comparative performance of irreplaceability increasingly sophisticated techniques to integrate biodiversity val- and complementarity as tools for measuring biodiversity value for ues with other values and costs in order to identify investment tar- strategic planning of broad-scale restoration or any other iterative gets or portfolios (e.g."
2,"higgins et al., 2008)."
2,"as well as costs and or incremental conservation program. beneﬁts, the potential for ongoing losses are also important for incremental restoration planning (newburn et al., 2005)."
2,"for exam- ple, the risk that a regrowth patch might be cleared before an 2."
2,methods investor can be identiﬁed to underwrite its protection should be considered when scheduling restoration investment (pressey 2.1.
2,"study area and ecosystem et al., 2004)."
2,"however, while questions of cost and threat are clearly important, this study maintains a narrower focus on the the subject of this study is the ‘brigalow ecological community’ way in which one might estimate the relative value of restoring (brigalow) as listed under the australian environment protection particular regrowth patches for biodiversity conservation."
2,two ‘va- and biodiversity conservation act 1999.
2,it occurs mainly in a biore- lue’ measures are considered.
2,"one is irreplaceability; the other is gion called the ‘brigalow belt’ in subtropical eastern australia, ‘complementarity’. which spans two australian states, queensland and new south irreplaceability in scp refers to the likelihood that an area will wales (fig."
2,"intact brigalow ecosystems typically have little va- need to be protected for nominated conservation targets to be lue to pastoralists, but their soils can support productive agricul- met (pressey et al., 1993)."
2,targets are speciﬁed as quantities of bio- ture following clearing.
2,"governments have actively promoted diversity features, which in practice are often expressed in terms of closer settlement and clearing of brigalow lands, particularly since extent of ecosystems or terrain classes because these are often the the 1950s (seabrook et al., 2006)."
2,"consequently these ecosystems most continuous and comprehensive spatial data on biodiversity are now recognised as endangered, and state and national laws across regional scales (margules and pressey, 2000)."
2,patches of re- protect remaining intact areas.
2,"however, regrowth brigalow has stricted, or ‘endangered’ ecosystems typically attract the highest been relatively poorly protected, at least until very recently."
