page,p
1,"translating marine animal tracking data into conservation policy and management item type review authors hays, graeme c."
1,";bailey, helen;bograd, steven j."
1,";bowen, w."
1,"don;campagna, claudio;carmichael, ruth h."
1,";casale, paolo;chiaradia, andre;costa, daniel p."
1,";cuevas, eduardo;nico de bruyn, p.j."
1,";dias, maria p."
1,";duarte, carlos m."
1,";dunn, daniel c."
1,";dutton, peter h."
1,";esteban, nicole;friedlaender, ari;goetz, kimberly t."
1,";godley, brendan j."
1,";halpin, patrick n."
1,";hamann, mark;hammerschlag, neil;harcourt, robert;harrison, autumn- lynn;hazen, elliott l."
1,";heupel, michelle r."
1,";hoyt, erich;humphries, nicolas e."
1,";kot, connie y."
1,";lea, james s.e."
1,";marsh, helene;maxwell, sara m."
1,";mcmahon, clive r."
1,";notarbartolo di sciara, giuseppe;palacios, daniel m."
1,";phillips, richard a."
1,";righton, david;schofield, gail;seminoff, jeffrey a."
1,";simpfendorfer, colin a."
1,";sims, david w."
1,";takahashi, akinori;tetley, michael j."
1,";thums, michele;trathan, philip n."
1,";villegas-amtmann, stella;wells, randall s."
1,";whiting, scott d."
1,";wildermann, natalie e."
1,";sequeira, ana m.m."
1,"citation hays gc, bailey h, bograd sj, bowen wd, campagna c, et al."
1,(2019) translating marine animal tracking data into conservation policy and management.
1,trends in ecology & evolution 34: 459– 473.
1,available: http://dx.doi.org/10.1016/j.tree.2019.01.009.
1,eprint version post-print doi 10.1016/j.tree.2019.01.009 publisher elsevier bv journal trends in ecology & evolution rights notice: this is the author’s version of a work that was accepted for publication in [journaltitle].
1,"changes resulting from the publishing process, such as peer review, editing, corrections, structural formatting, and other quality control mechanisms"
2,may not be reflected in this document.
2,changes may have been made to this work since it was submitted for publication.
2,"a definitive version was subsequently published in [journaltitle], [[volume], [issue], (2019-03-14)] doi: 10.1016/j.tree.2019.01.009 ."
2,© 2019.
2,this manuscript version is made available under the cc-by-nc-nd 4.0 license http://creativecommons.org/licenses/ by-nc-nd/4.0/;this file is an open access version redistributed from: http://plymsea.ac.uk/id/eprint/9299/1/37%20translating %20marine%20animal%20tracking%20data%20into %20conservation%20policy%20and%20management.pdf download date 2024-11-01 01:08:07 link to item http://hdl.handle.net/10754/653047
3,tree 2491 no. of pages 15 review translating marine animal tracking data into conservation policy and management graeme c.
3,"hays,1,* helen bailey,2 steven j."
3,"bograd,3 w."
3,"don bowen,4 claudio campagna,5 ruth h."
3,"carmichael,6,7 paolo casale,8 andre chiaradia,9 daniel p."
3,"costa,10 eduardo cuevas,11,12 p.j."
3,"nico de bruyn,13 maria p."
3,"dias,14,15 carlos m."
3,"duarte,16 daniel c."
3,"dunn,17 peter h."
3,"dutton,18 nicole esteban,19 ari friedlaender,10,20 kimberly t."
3,"goetz,21 brendan j."
3,"godley,22 patrick n."
3,"halpin,17 mark hamann,23 neil hammerschlag,24 robert harcourt,25 autumn-lynn harrison,26 elliott l."
3,"hazen,3 michelle r."
3,"heupel,27 erich hoyt,28,35 nicolas e."
3,"humphries,29 connie y."
3,"kot,17 james s.e."
3,"lea,30 helene marsh,23 sara m."
3,"maxwell,31 clive r."
3,"mcmahon,25,32,33 giuseppe notarbartolo di sciara,34,35 daniel m."
3,"palacios,36 richard a."
3,"phillips,37 david righton,38,39 gail schoﬁeld,40 jeffrey a."
3,"seminoff,41 colin a."
3,"simpfendorfer,23 david w."
3,"sims,29,42,43 akinori takahashi,44 michael j."
3,"tetley,35 michele thums,45 philip n."
3,"trathan,35 stella villegas-amtmann,10 randall s."
3,"wells,46 scott d."
3,"whiting,47 natalie e."
3,"wildermann,48 and ana m.m."
3,"sequeira49 there have been efforts around the globe to track individuals of many marine highlights species and assess their movements and distribution, with the putative goal of the value of animal tracking data to inform policy is illustrated by case stu- supporting their conservation and management."
3,"determining whether, and dies from around the world and with a how, tracking data have been successfully applied to address real-world broad range of taxa. conservation issues is, however, difﬁcult."
3,"here, we compile a broad range of application of tracking data to policy case studies from diverse marine taxa to show how tracking data have helped and management can take various inform conservation policy and management, including reductions in ﬁsheries pathways, and engagement with sta- bycatch and vessel strikes, and the design and administration of marine pro- keholders might often not be made by the original data collectors. tected areas and important habitats."
3,"using these examples, we highlight path- ways through which the past and future investment in collecting animal tracking the impact of tracking data on policy and management can be improved if data might be better used to achieve tangible conservation beneﬁts. data collection and analyses target spe- ciﬁc needs for management outcomes."
3,"tracking data and conservation policy the advent of reliable technology to track individual animals long-term (often >1 year), early engagement among the data col- lectors and the stakeholders involved in throughout marine and terrestrial environments, has produced a golden era for animal tracking policy development and implementa- studies [1,2]."
3,"in marine systems, long-term tracking is now routine for ﬁsh (e.g., bony ﬁsh, tion is important to help translate track- sharks, rays), birds (e.g., penguins, albatrosses, and shearwaters), mammals (e.g., seals, ing data into conservation outcomes. sirenians, dolphins, and whales), and reptiles (e.g., sea turtles)."
3,one driver behind growth in marine animal tracking studies is the need for distribution and movement data to inform conservation policy and management.
3,"in a recent literature review of 13 349 ‘movement ecology’ papers published between 1990 and 2014, 35% (n = 4672 papers) mentioned 1 deakin university, geelong, victoria, ‘conservation’ [3]."
3,"however, the value of tracking data to inform policy is often presented australia as a ‘given’, yet not explicitly demonstrated [4]."
3,"for example, a review of the conservation 2 chesapeake biological laboratory, impact of sea turtle tracking studies highlighted that of 369 papers published between 1982 university of maryland center for environmental science, solomons, and 2014 (supported by a questionnaire-based survey of 171 sea turtle researchers), there md 20688, usa were only 12 instances where tracking ﬁndings led to clearly identiﬁable real-world changes in 3 noaa southwest fisheries science conservation practice, even though >120 papers identiﬁed conservation as a rationale for the center, environmental research division, monterey, ca 93940, usa work [5]."
3,"this suggests that either tracking and distribution data are not considered to be 4 population ecology division, bedford relevant or barriers exist which prevent their uptake by policy makers and managers, to the institute of oceanography, dartmouth, trends in ecology & evolution, month year, vol. xx, no. yy https://doi.org/10.1016/j.tree.2019.01.009 1 © 2019 elsevier ltd."
3,all rights reserved.
4,"tree 2491 no. of pages 15 detriment of evidence-based conservation [4,6–8]."
4,"there can be many reasons for this ns b2y 4a2, canada 5 wildlife conservation society, marine apparent disjunct between tracking effort and implementation into conservation policy."
4,"it might program, buenos aires, 1414 be that policy outcomes arise only after a formal research paper has been published, and hence argentina 6 the direct connection between science and policy might not be clear; end-users might not be university programs, dauphin island sea lab, dauphin island, al 36528, aware of or have access to data published in the scientiﬁc literature; results from tracking usa studies might not be delivered to management and policy arenas in a ‘useable’ format [9]; or 7 department of marine sciences, policy makers or managers might not have been involved in the initial study design and so their university of south alabama, mobile, al 36688, usa needs were not addressed [4]."
4,"however, animal tracking is often the only way to determine 8 department of biology, university of species overlap with threats and thus to assess potential impacts of those threats for species pisa, pisa, italy 9 that range widely in the oceans [10,11]."
4,"so there is great potential for animal tracking data to conservation department, phillip island, nature parks, victoria, australia inform marine management."
4,"10 department of ecology and evolutionary biology, university of here we draw on the accumulated experiences of scientists in the diverse ﬁeld of marine animal california, santa cruz, ca 95060, usa 11 conacyt – research center of tracking [6,12] to show how movement and distribution data have informed conservation environmental sciences, faculty of actions."
4,"to illustrate the breadth of studies, we highlight examples from various taxa and natural sciences, universidad regions, with movement data collected using a range of techniques."
4,"we present case studies autonoma del carmen, campeche 24180, mexico that operate at different spatial scales, from local levels to entire ocean basins."
4,"we illuminate 12 pronatura peninsula de yucatan, pathways and also identify obstacles for successful uptake of tracking data into policy and yucatan 97205, mexico 13 management, and our hope is that this review will provide direction to help researchers translate mammal research institute, department of zoology & entomology, their animal tracking data into more effective conservation practice."
4,"university of pretoria, hatﬁeld 0028, south africa 14 identifying case studies birdlife international, cambridge cb2 3qz, uk we identiﬁed leading experts in the ﬁeld of marine animal tracking and asked them to identify 15 mare – marine and environmental case studies where information they had published on animal movements or distribution led to sciences center, ispa – instituto policy change or management action."
4,"experts were selected from the list of previous coauthors universitário, 1149-041 lisboa, portugal 16 king abdullah university of science on two recent papers that involved tracking data from across multiple taxa [6,12] or had and technology (kaust), red sea contributed data to two ongoing international collaborative projects, the marine megafauna research center (rsrc), thuwal, movement analytical program (mmmap; https://mmmap.wordpress.com) and migratory con- 23955-6900, saudi arabia 17 marine geospatial ecology lab, nectivity in the oceans (mico; https://mico.eco), that are synthesizing tracking data across nicholas school of the environment, multiple taxa and developing tools to provide policy makers and managers with greater access duke university, durham, nc, usa 18 to usable results from tracking studies."
4,"additional experts were also solicited based on their marine mammal and turtle division, national marine fisheries service, publications and experience."
4,"national oceanic and atmospheric administration, la jolla, ca 92037, usa 19 results department of biosciences, swansea university, swansea sa2 we identiﬁed examples where marine animal tracking data have helped conservation outcomes 8pp, wales, uk to be achieved across the world’s oceans (figure 1)."
4,"20 institute for marine sciences, university of california santa cruz, santa cruz, ca 965060, usa seabirds 21 national institute of water & an exemplar for the conservation value of tracking data is the development of bycatch atmospheric research ltd (niwa),greta mitigation measures for albatrosses in south georgia waters (figure 1, example 1; figure 2)."
4,"point, wellington, new zealand 22 marine turtle research group, centre additional tracking of multiple penguin species (macaroni: eudyptes chrysolophus; king: for ecology and conservation, school of aptenodytes patagonicus; gentoo: pygoscelis papua), other ﬂying birds (northern and southern biosciences, university of exeter, giant petrels: macronectes halli and macronectes giganteus; white-chinned petrels: procellaria cornwall campus, penryn tr10 9ez, uk 23 college of science and engineering, aequinoctialis; south georgia shags: leucocarbo [atriceps] georgianus), and also mammals james cook university, townsville, qld (antarctic fur seals: arctocephalus gazella) [13] were key to the establishment in 2012 of the 4811, australia 24 south georgia and south sandwich islands marine protected area (mpa) (see glossary) rosenstiel school of marine & atmospheric science, abess center for (figure 1, example 2)."
4,"this mpa is now completely closed to all ﬁshing for antarctic krill ecosystem science & policy, university (euphausia superba) during the summer breeding season of krill-dependent predators, and all of miami, miami, fl 33149, usa 25 ﬁshing at south georgia is restricted to areas >30 km from shore in the winter, with a suite of department of biological sciences, macquarie university, sydney, nsw similar protection measures at the south sandwich islands."
4,"other provisions are also included 2 trends in ecology & evolution, month year, vol. xx, no. yy"
5,"tree 2491 no. of pages 15 in the mpa that reduce bycatch, limit impacts on harvested stocks, and limit interactions with 2109, australia 26 migratory bird center, smithsonian marine benthos [13]."
5,"protection is provided by a ﬁsheries patrol vessel, ensuring illegal, conservation biology institute, unregulated and unreported (iuu) ﬁshing has been eliminated."
5,"the ﬁsheries in south georgia washington, dc 20008, usa 27 waters are certiﬁed by the marine stewardship council (https://www.msc.org), providing australian institute of marine science, townsville, qld 4810, australia evidence of the careful management."
5,"28 whale and dolphin conservation, bridport, dorset, uk 29 tracking data from pygoscelis penguins have revealed predictable feeding areas and marine biological association of the united kingdom, the laboratory, highlighted areas of potential competition with the regional ﬁshery for antarctic krill at the plymouth pl1 2pb, uk 30 antarctic peninsula and at nearby archipelagoes [14,15]."
5,"the data from adélie penguins department of zoology, university of (pygoscelis adeliae) were used to help create the south orkney islands southern shelf cambridge, cambridge, uk 31 school of interdisciplinary arts and mpa, the ﬁrst mpa designated entirely within internationally managed waters (with approxi- sciences, university of washington, mately 94 000 km2), which was made a no-take mpa by the convention on (or commission bothell campus, bothell, wa 98011, for) the conservation of antarctic marine living resources (ccamlr) in 2009 (figure 1, usa 32 ecology and biodiversity centre, example 3)."
