page,p
1,journal of the american water resources association vol.
1,"52, no."
1,1 american water resources association february 2016 benchmarking optical/thermal satellite imagery for estimating evapotranspiration and soil moisture in decision support tools1 jan m.h.
1,"hendrickx, richard g."
1,"allen, al brower, aaron r."
1,"byrd, sung-ho hong, fred l."
1,"ogden, nawa raj pradhan, clarence w."
1,"robison, david toll, ricardo trezza, todd g."
1,"umstot, and john l."
1,"wilson2 abstract: generally, one expects evapotranspiration (et) maps derived from optical/thermal landsat and modis satellite imagery to improve decision support tools and lead to superior decisions regarding water resources management."
1,"however, there is lack of supportive evidence to accept or reject this expec- tation."
1,"we “benchmark” three existing hydrologic decision support tools with the following benchmarks: annual et for the et toolbox developed by the united states bureau of reclamation, predicted rainfall- runoff hydrographs for the gridded surface/subsurface hydrologic analysis model developed by the u.s."
1,"army corps of engineers, and the average annual groundwater recharge for the distributed parameter watershed model used by daniel b."
1,stephens & associates.
1,the conclusion of this benchmark study is that the use of nasa/usgs optical/thermal satellite imagery can considerably improve hydrologic decision support tools compared to their traditional implementations.
1,"the benefits of improved decision making, resulting from more accurate results of hydrologic support systems using optical/thermal satellite imagery, should substantially exceed the costs for acquiring such imagery and implementing the remote sensing algorithms."
1,"in fact, the value of reduced error in estimating average annual groundwater recharge in the san gabriel mountains, california alone, in terms of value of water, may be as large as $1 billion, more than sufficient to pay for one new landsat satellite."
1,(key terms: soil moisture; evapotranspiration; gssha; sebal; metric; dpwm; distributed hydrologic modeling; optical/thermal satellite imagery; landsat; modis; groundwater recharge; water management; hydro- graph.)
1,"hendrickx, jan m.h., richard g."
1,"allen, al brower, aaron r."
1,"byrd, sung-ho hong, fred l."
1,"ogden, nawa raj pradhan, clarence w."
1,"robison, david toll, ricardo trezza, todd g."
1,"umstot, and john l."
1,"wilson, 2016."
1,bench- marking optical/thermal satellite imagery for estimating evapotranspiration and soil moisture in decision support tools.
1,journal of the american water resources association (jawra) 52(1): 89-119.
1,doi: 10.1111/1752- 1688.12371 1 paper no.
1,jawra-14-0179-p of the journal of the american water resources association (jawra).
1,"received august 27, 2014; accepted september 28, 2015."
1,© 2015 american water resources association.
1,discussions are open until six months from issue publication.
1,"2 professor (hendrickx, wilson), department of earth and environmental sciences, new mexico tech, 801 leroy place, socorro, new mex- ico 87801; professor (allen), research associate (robison), associate research professor (trezza), kimberly research and extension center, university of idaho, kimberly, idaho 83341; retired civil engineer (brower), water and environmental resources division, u.s."
1,"bureau of reclamation, denver, colorado 80225; hydraulics research civil engineer (byrd, pradhan), engineer research and development center, u.s."
1,"army corps of engineers, vicksburg, mississippi 39180; assistant professor (hong), department of geosciences, murray state univer- sity, murray, kentucky 42071; professor (ogden), water resources/environmental science and engineering, university of wyoming, lara- mie, wyoming 82071; retired deputy program manager (toll), hydrological sciences lab, nasa goddard space flight center, greenbelt, maryland 20771; and senior hydrogeologist (umstot), daniel b."
1,"stephens and associates, inc., albuquerque, new mexico 87109 (e-mail/ hendrickx: hendrick@nmt.edu)."
1,journal of the american water resources association 89 jawra
2,"17521688, 2016, 1, downloaded from https://onlinelibrary.wiley.com/doi/10.1111/1752-1688.12371 by university of california, wiley online library on [01/11/2024]."
2,"see the terms and conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on wiley online library for rules of use; oa articles are governed by the applicable creative commons license hendrickx, allen, brower, byrd, hong, ogden, pradhan, robison, toll, trezza, umstot, and wilson introduction phens & associates, inc., 2010a) is a distributed hydrologic model used for the evaluation of ground- water recharge in arid and semiarid basins (e.g., monitoring of regional evapotranspiration (et) daniel b."
2,"stephens & associates, inc., 2008, 2010b, allows decision makers to (1) follow where, when, and 2011; hendrickx et al., 2011a). how much water has moved into the atmosphere by in the context of this study, benchmarking is the et; (2) monitor crop performance and the effects of process of running a hydrologic decision support tool drought for famine prediction; (3) better evaluate the to assess the relative performance of using optical/ performance of irrigation systems; (4) improve esti- thermal satellite imagery for the improvement of mates by distributed hydrologic and weather models; forcing functions (e.g., precipitation, et, etc.), the and (5) estimate root zone soil moisture conditions."
2,"it appraisal of initial conditions (e.g., soil moisture, is expected that the integration of regional et maps snow cover, etc.), and the estimation of model param- derived from national aeronautics and space admin- eters (e.g., land use, soil texture, total available water istration (nasa) and united states geological sur- for transpiration) (toll, 2008)."
2,"our study objective vey (usgs) earth imaging products will improve was to benchmark traditional applications of et tool- decision support tools and, therefore, lead to superior box, gssha, and dpwm versus the use of optical/ decisions regarding water resources utilization."
2,"how- thermal satellite imagery on the forcing function of ever, there is a need to quantify benefits realized et in et toolbox, the appraisal of initial soil mois- through the use of satellite derived results in user ture conditions in gssha, and the estimation of the decision support tools."
2,"when our study started in model parameter “total available water for transpira- 2006, only a few research examples had been tion (taw)” in dpwm. reported in the literature where nasa earth science results related to et had been integrated into hydro- logic models (ahmad and bastiaanssen, 2003; schu- urmans et al., 2003) but no operational hydrologic benchmarking method decision support tools were known to our research team that used satellite-estimated et products on a regular basis."
2,"our benchmarking method compared typical tradi- therefore, the overall goal of this study was to see tional applications of each decision support tool with if the use of satellite optical/thermal imagery ones that used information from optical/thermal improves the performance of three operational hydro- satellite imagery."
2,"the comparisons were based on a logic decision support tools: the et toolbox developed “performance indicator,” i.e., a measurement for by the united states bureau of reclamation (usbr), assessing the quantitative performance of a system. the gridded surface/subsurface hydrologic analysis the performance indicators selected were: annual et (gssha) model developed by the u.s."
2,"army corps of forecasts for et toolbox, storm hydrographs for engineers, and the distributed parameter watershed gssha, and average annual groundwater recharge model (dpwm) based on the mass accounting sys- volumes for dpwm."
2,"the goal of our research sponsor tem for soil infiltration and flow (massif) model, nasa was to benchmark the improvement, if any, to developed in 2007 by sandia national laboratory, the “performance indicators” from the use of satellite and since then continuously improved by daniel b. imagery for the purpose of improving decision making stephens & associates (dbs&a) for the prediction of in water resources management. groundwater recharge in semiarid regions."
2,"first, the optical/thermal satellite images were the et toolbox is a grid-based approach that uses converted into maps of et and root zone soil moisture the “crop coefficient reference et approach” (allen with established algorithms: surface energy balance et al., 1998; jensen, 1998) to provide daily forecasts algorithms for land (sebal), mapping evapotran- of water depletions, i.e., et of agricultural and ripar- spiration (et) at high resolution with internalized ian vegetation as well as evaporation from open calibration (metric), and the evaporative fraction water, for the day in question and the following six method for root zone soil moisture retrieval."
2,"the days (brower, 2008)."
2,"the gssha (downer and inputs for these algorithms are the bands of landsat ogden, 2004, 2006) is a physically based, distributed and the moderate resolution imaging spectrora- hydrologic model that simulates the hydrologic diometer (modis) presented in table 1."
2,the et response of a watershed subject to given hydro- maps were then incorporated into the hydrologic deci- meteorological inputs.
2,it is used by the u.s.
2,"army sion support tools, either after conversion of the et corps of engineers not only within the united states into the reference et fraction (etrf) using high- (u.s.) but also worldwide."
2,the dpwm (daniel b.
2,"ste- quality hourly weather data, or — where this was jawra 90 journal of the american water resources association"
3,"17521688, 2016, 1, downloaded from https://onlinelibrary.wiley.com/doi/10.1111/1752-1688.12371 by university of california, wiley online library on [01/11/2024]."
3,see the terms and conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on wiley online library for rules of use; oa articles are governed by the applicable creative commons license benchmarking optical/thermal satellite imagery for estimating evapotranspiration and soil moisture in decision support tools table 1.
3,band spatial resolutions (m) and wavelengths (lm) of landsat 5 and 7 and modis sensors.
3,"band number sensors 1 2 3 4 51 6 7 31 32 landsat7 pixel size (m) 30 30 30 30 30 60 (l7) 30 na2 na2 landsat5 120 (l5) band width 0.45-0.51 0.52-0.60 0.63-0.69 0.75-0.9 1.55-1.75 10.4-12.5 2.09-2.35 na2 na (lm) modis pixel size (m) 250 250 500 500 500 500 500 1,000 1,000 band width 0.62-0.67 0.84-0.87 0.46-0.48 0.54-0.56 1.23-1.25 1.63-1.65 2.11-2.15 10.8-11.3 11.8-12.3 (lm) 1 modis band 5 is not used in this study because of streaking noise."
