page,p
1,"the european journal of health economics (2020) 21:763–773 https://doi.org/10.1007/s10198-020-01171-2 original paper willingness to pay for an early warning system for infectious diseases sebastian himmler1 · job van exel1,2 · meg perry‑duxbury1 · werner brouwer1 received: 5 february 2019 / accepted: 25 february 2020 / published online: 16 march 2020 © the author(s) 2020 abstract early warning systems for infectious diseases and foodborne outbreaks are designed with the aim of increasing the health safety of citizens."
1,"as a first step to determine whether investing in such a system offers value for money, this study used contingent valuation to estimate people’s willingness to pay for such an early warning system in six european countries."
1,"the contingent valuation experiment was conducted through online questionnaires administered in february to march 2018 to cross-sectional, representative samples in the uk, denmark, germany, hungary, italy, and the netherlands, yielding a total sample size of 3140."
1,mean willingness to pay for an early warning system was €21.80 (median €10.00) per household per month.
1,"pooled regression results indicate that willingness to pay increased with household income and risk aversion, while they decreased with age."
1,"overall, our results indicate that approximately 80–90% of people would be willing to pay for an increase in health safety in the form of an early warning system for infectious diseases and food-borne outbreaks."
1,"however, our results have to be interpreted in light of the usual drawbacks of willingness to pay experiments."
1,keywords infectious disease outbreaks · early warning system · willingness to pay · contingent valuation · cross-country comparison jel classification i18 · h41 introduction containing and mitigating large infectious outbreaks more rapidly (http://www.compa​re-europ​e.eu/).
1,increasing the health safety of citizens is an important establishing and maintaining such a system would likely policy goal in countries across the world.
1,recent infectious entail considerable costs.
1,"to determine whether this would outbreaks of, for example, ebola, sars, bird flu, and sal- be money well spent, it is essential to consider all its poten- monella, emphasise that improving safety cannot always tial benefits."
1,the relevant benefits could include a reduc- be realised by countries separately [1].
1,"recently, for exam- tion in disease burden, increased feeling of safety, or the ple, the european union has initiated an interdisciplinary mitigation of economic consequences of infectious diseases research network that investigates the potential for an inter- and food-borne outbreaks, which can be considerable for national, integrated early warning system for identifying, countries, organisations and individuals."
1,"for instance, the economic impact of the ebola crisis in 2014–2015 on sierra leone, guinea and liberia was estimated at $2.8 billion [2]."
1,"however, in general, reliable evidence and estimates of electronic supplementary material the online version of this these potential benefits of an early warning system, sepa- article (https​://doi.org/10.1007/s1019​8-020-01171​-2) contains supplementary material, which is available to authorized users. rately or overall, are scarce and difficult to obtain, especially in the case of multinational initiatives."
1,"in light of this and * sebastian himmler the fact that the full potential benefits would include, besides himmler@eshpm.eur.nl aspects such as health gains, also elements like the improved 1 erasmus school of health policy & management, erasmus feeling of health safety, it is not possible to quantify the over- university rotterdam, p.o."
1,"box 1738, 3000 dr rotterdam, all benefits of such an international early warning system the netherlands based on existing data."
1,"2 erasmus school of economics, erasmus university rotterdam, rotterdam, the netherlands 13 vol.:(0123456789)"
2,764 s.
2,himmler et al.
2,"therefore, in this study, we aim to provide an indication they examined the methodologies of empirical research valu- of the perceived overall value of such a system in terms of ing safety from all relevant fields, including environment, improving citizen’s feelings of health safety."
2,for that pur- transportation and health [5].
2,"of the 33 papers reviewed, 22 pose, we first develop a contingent valuation willingness- were found to use the contingent valuation method to value to-pay approach, which provides such a valuation, given the effects of safety-affecting interventions."
2,the four papers beliefs and sentiments in the population regarding all dif- in the field of health that empirically valued interventions ferent aspects of a warning system.
2,"second, we apply this increasing health safety, all used a form of stated preference approach in six selected countries across europe (i.e., den- methodology."
2,"these papers aimed to estimate the value of mark, germany, hungary, italy, the netherlands, and the reducing mortality risks [6], preventing child maltreatment uk) to derive a range of estimates and assess the potential deaths [7], reducing the risk of sexually transmitted diseases implications of our results on an international level. [8] and vaccinations in pandemic outbreaks [9]."
2,the first this paper summarises our efforts to accomplish these three papers used willingness to pay (wtp) contingent valu- goals and its remainder is divided into four sections.
2,"first, ation method, while the last paper used a discrete choice we briefly summarise the findings from a previous literature experiment to elicit valuations. review surrounding the methods that have been applied in the literature review identified income to be a significant similar contexts, namely valuing health safety, to motivate predictor of wtp in all included contingent valuation stud- the chosen approach further."
2,"after that, we consecutively ies [10]."
2,"a higher level of education was associated with a report on the design and administration of our experiment, higher wtp in six of the nine papers that included infor- the data analysis, present the results of our study, and con- mation on education."
2,age and gender both also had strong clude the paper with a discussion of the limitations and correlations with wtp.
2,"however, these correlations were implications of our findings. positive in some of the studies and negative in others."
2,the literature review also reported results regarding relationships of wtp with risk (perception).
2,"for example, individuals background that had been directly or indirectly exposed to the outcome of interest reported a higher wtp, as did those who had a the introduction of an international integrated warning sys- higher level of perceived risk, were more knowledgeable or tem to increase health safety would not be necessary if com- more concerned about the issue, or were more concerned municable or infectious diseases were not a significant factor than others about the outcome under study."
2,"finally, study in the global burden of disease."
2,the burden of communi- design elements were shown to affect wtp estimates.
2,"for cable diseases in europe project found an average disease example, presenting scenarios with higher baseline risk was burden in germany alone of 33,116 disability adjusted life associated with a higher wtp."
2,"in addition, different stud- years (dalys) per year for influenza and 19,115 dalys ies found that presenting higher intervention costs or more per year for salmonella [3]."
2,"on a european level, influenza information about the intervention in the scenario descrip- was estimated to be responsible for 81.8 dalys lost per tion also affected the estimated wtp."
2,"however, the direc- 100,000 population between 2009 and 2013, correspond- tion of the effect differed between studies."
2,"the information ing to 412,673 dalys using the eu population size from provided by the literature review guided some of the meth- 2011 [4]. odological choices of our study, which are described next."
2,"considering these substantial effects of infectious dis- eases, some of the potential benefits of an international integrated warning system become clearer."
2,"of course, the methods real benefits also depend on the translation from warnings to effective interventions that prevent or mitigate the conse- survey administration and piloting quences of outbreaks."
2,"besides possible health gains resulting from this, there are also less tangible benefits from having a to estimate the wtp for an international integrated early warning system, which include an increase in health safety warning system for infectious diseases and food-borne out- and feeling more secure."
2,"the valuation of these benefits may breaks, we conducted contingent valuation experiments be less straightforward than calculating potential dalys utilising general population samples from six european averted. countries: denmark, germany, hungary, italy, the neth- the valuation of interventions affecting safety is relevant erlands, and the uk."
2,sampling and administration of the both within and outside the health care setting.
2,"for example, wtp questionnaire were conducted by a professional sam- environmental and transportation research is concerned with pling agency, from february to march 2018, using an online interventions, which aim to improve the safety of recipients. survey format."
2,the sampling agency recruited participants perry-duxbury et al. conducted a literature review in which from existing online panels.
2,the survey was administered 13
3,willingness to pay for an early warning system for infectious diseases﻿ 765 to citizens aged between 18 and 65.
3,"individuals aged 65 and to a reference point (home contents insurance1), which was above were not included for two reasons: first, recruiting included in the surveys."
3,the initial payment scale performed elderly respondents from online panels can be challenging in best and was therefore used in all surveyed countries. some of the included countries.
3,"second, we wanted to limit our population to the (income) taxpayers, as we used a tax survey design increase as payment vehicle in the experiment."
3,"the samples were aimed to be representative for national populations the general design of the wtp experiment followed the regarding age, gender and level of education, with a sample structure of an existing survey, which was purposely size of around 500 individuals per country."
3,participants were designed to elicit the wtp for a quality-adjusted life year able to complete the questionnaire on a computer or mobile (qaly) [13].
3,after a brief introduction to the topic at hand device.
3,"they did not receive a personal financial reward and the purpose and design of the questionnaire (see online for engaging in the experiment but could choose a charity, appendix a), respondents had to state their age and gender which would receive a small donation after completing the before describing their current health using a generic health survey."
3,"participants had to consent to their information being instrument (eq-5d-5l). used for research purposes and were free to drop out of the the following part of the questionnaire started with a experiment at any time. “warm-up” wtp exercise, where participants had to state the reasoning behind the country selection was to cover their wtp for a pair of shoes."
3,this elicitation task was a variety of cultural perspectives relevant to the valuation included to familiarise respondents with the procedure and of safety and public intervention.
3,the latter was assessed to test whether the chosen approach resulted in reasonable by applying the three most relevant dimensions of hofst- estimates for a common market good.
3,"next, respondents ede’s cultural dimensions theory in this context: individual- started with the central wtp task: valuing the early warn- ism vs collectivism, masculinity, and uncertainty avoidance ing system."
3,a two-stage procedure consisting of a two-step [11].
3,the included countries furthermore constitute a mix payment scale approach and an open-ended question was of different levels of social and economic development in applied to elicit individuals’ wtp.
3,the motivation for this europe.
3,"the questionnaire, which was initially developed approach has been outlined elsewhere [13–15]."
3,"in summary, in english, was translated into danish, german, hungarian, it intends to provide precise and direct maximum wtp valu- italian, and dutch by professional translators and checked ations, using a stepwise procedure that helps respondents to for comprehensibility and consistency by native speakers. form and articulate their preferences."
3,"in designing the experiment and payment scales, gbp and the scenario outlined to respondents was that establish- eur values were assumed to be equivalent, while monetary ing and maintaining an international integrated warning values and payment scales were converted from gbp into system, which could contain and mitigate infectious disease dkk and huf using the mean exchange rate from february and food-borne outbreaks, naming ebola, sars, bird flu and 2018."
3,"in the case of hungary, this was additionally adjusted salmonella as examples, is not without costs."
3,participants for purchasing power [12].
3,payment scales were rounded to then were asked to imagine that the funding of such an inter- natural integer values in all survey versions to prevent pecu- national warning system would take place through national liar payment options.
3,the payment scale of the uk survey taxation in the participating countries.
3,all eligible people in and the equivalent monetary values for danish crowns and their country (aged 18 and above) would have to contribute hungarian forint can be found in online appendix d. via monthly instalments starting immediately.
3,"the payment before the launch of the main survey, the questionnaire was framed as a recurrent tax since most respondents in was tested in both a group of experts in infectious diseases european countries are likely familiar with similar forms and food-borne outbreaks associated with the compare of payments."
3,this scenario did not include information on research network (n = 22) and a representative sample of the the magnitude of the potential health benefits.
3,the reason- public in the uk (n = 134) in january 2018.
3,"the length of ing behind that was to emphasise the perceived feelings of the survey was slightly reduced following the pilot tests. health safety due to such a system in the elicitation rather after this stage of piloting, the questionnaire was fielded than a particular hypothetical gain in health, also because in a representative sample of uk citizens (n = 533)."
3,to test the potential benefits are uncertain at this stage.
3,"this could the payment scale used in the experiment, we administered provide a broad valuation based on the beliefs and attitudes two additional surveys (n = 500 each): one with smaller pay- of the respondents themselves."
3,"information on the types ment options, and the other asking for yearly contributions instead of monthly contributions."
3,"the validity of the results of the three survey versions was assessed based on whether 1 home contents insurance is a common type of insurance, which wtp was influenced by income and based on a comparison covers the possessions in your home against risks like fire, theft and storm."
4,766 s.
4,himmler et al. of local systems already in place and how these would be ex-ante mitigation [16].
4,the design and the exact wording integrated into this international system was also omitted. of the wtp questions can be found in appendix c.
