page,p
1,"geospatial web-based sensor information model for integrating satellite observation: an example in the field of flood disaster management chuli hu, nengcheng chen, and jia li abstract there are some existing tools or applications which can flood observation-supporting satellite sensors (fo-sss) are be utilized for emergency management in the case of tasking the important geospatial resources to flood disaster manage- satellite observation, such as: (a) remote sensing planning ment."
1,"in the geospatial sensor web environment, effective tool (respt; http://ww2.rshgs.sc.edu/) guides managers of the flood disaster management requires on-demand integration of emergency field in the process of acquiring remotely sensed instant observation information from the diverse web-ready imagery over the area of interest; (b) digitalglobe (https:// fo-sss."
1,we propose a sharable and interoperable earth obser- browse.digitalglobe.com/) is a global provider of commercial vation satellite sensor information (ssi) model for satellite high-resolution earth imagery sourced from an advanced observations integration.
1,the ssi model reuses and extends satellite constellation mainly in the field of environmental the existing metadata standards to be a standard metadata- monitoring; (c) the national geospatial-intelligence agency filled description framework.
1,"the sensormodel prototype has made a significant investment in google™ earth technol- serving here is to apply the ssi model into fo-sss, retrieve and ogy through the geospatial intelligence visualization services visualize the qualified web-ready fo-sss."
1,an experiment on to visualize the satellite coverage; (d) satellite tool kit allows the flood emergency in the middle reaches of yangtze river users to simulate the satellites’ dynamic position; (e) google™ basin in china is conducted.
1,"the results show that, three search engine facilitates responders to find the satisfied satel- kinds of users including fo-sss providers, common emergency lites by the text fragments of the emergency event; and (f) the responders, and emergency managers can benefit from the national aeronautics and space administration (nasa) global proposed fo-ssi model, and the managers can reliably and change master directory (gcmd) retrieval portal (http://gcmd. comprehensively integrate the satisfied web-ready fo-sss to nasa.gov/index.html) refines the desired emergency resources guide the scheduling of the required observation activities. according to the given search criteria."
1,"the former four examples focus more on the satellite spatial-temporal query and simulation of archived or upcoming imagery sourced introduction from the user specified satellite sensor, less the other useful earth observation satellite sensors (eo-sss) are the important satellite sensor observation information (i.e., measurement, geospatial resources for disaster management (lewis, 2009). band/channel, associated ground resolution, and radiometric effective disaster management of all stages, from prediction, accuracy) which can be used to derive a more comprehensive response to recovery, addresses increasing demand for the observation-integrated solution for the specific emergency satellite observation scheduling, that is, it requires on-demand task."
1,"the latter two are used for the fuzzy query to the mas- integration of instant observation information (i.e., dynamic sive satellite resources."
1,"also, they are all characterized by the trajectory, band, revisiting cycle, spatial coverage, data type) proprietary organization means of their sensor information from those diverse eo-sss (napier, 2003; broring et al., 2011). models."
1,"this information must be reliable, accurate, and understand- the term sensor web was firstly defined by nasa (delin able for the sharing and interoperability to aid the imple- and jackson, 2001) as “a system of intra-communicating mentation of the required emergency observation activities. spatially distributed sensor pods that can be deployed to therefore, it is necessary to build a satellite sensor observa- monitor and explore new environments.”"
1,"liang et al. (2005) tion-integrated web environment (botts et al., 2008) where defined that sensor web is a special type of web-centric the emergency responders can determine the right satellite information system for modeling, retrieving, sharing informa- sensors and guide these sensors in synergistically complet- tion of sensors, and observations."
1,"the geospatial sensor web ing the given emergency observation task (alpers et al., 2007; was defined (di, 2007) as the sensor web that performs earth zhou et al., 2000). observations."
1,"it is envisioned that in the future, the major new eo sensors will be web-ready."
1,"that is, those existing eo-sss, chuli hu is with the school of information engineering, china university of geosciences (wuhan), 388 lumo road, wuhan 430074, china."
1,photogrammetric engineering & remote sensing vol.
1,"79, no."
1,"10, october 2013, pp."
1,915–927.
1,"nengcheng chen and jia li are with the state key laboratory of information engineering in surveying, mapping and 0099-1112/13/7910–915/$3.00/0 remote sensing, wuhan university, wuhan, hubei, china, © 2013 american society for photogrammetry 430079 (cnc@whu.edu.cn). and remote sensing photogrammetric engineering & remote sensing october 2013 915 915-927_dr-005.indd 915 9/19/13 11:22 am"
2,"such as eo-1, will be converted into web-ready sensors. those models in middle reaches of yangtze river in china are compared with the traditional standalone eo-sss, the web- then presented."
2,"the next section discusses the feasibility and ready eo-sss have the advantage of integrating these diverse functionality of the proposed model for the different users of sensor observations in the web environment. the whole emergency management, followed by the conclu- chen and helal (2008) stated that the heterogeneous sions and discussion of the next steps that are needed. sensors remain insufficiently integrated."
2,standard descrip- tions of sensors are needed to address the problem of sensor system heterogeneity.
2,"since 2003, the sensor web enablement analysis of the requirements for ssi model (swe) initiative (botts et al., 2008; broring et al., 2011) of the in this section, we identify the requirements of ssi model open geospatial consortium (ogc) has been developing a set for sharing and interoperability among eo-sss."
2,a standard of standards for web-enabling sensors and sensor observa- ssi model that specifies the general information needed for tions.
2,"sensor model language (sensorml) (botts, 2007) is an discovery is the basis for eo-sss sharing, therefore, analyzing swe information model."
2,it provides a flexible and general the dominant information for eo-sss discovery is important. framework for describing sensor systems and processes.
2,"the in addition, under a sensor web environment, the interoper- sensorml-encoded information model can support the ogc swe ability of multiple eo-sss enabling sensor systems to collabo- web service interface / sensor observation service (sos) (na rate with one another in observation tasks is also important and priest, 2007) for sensor registration and discovery (jirka (lee, 2007; frye et al., 2007)."
