page,p
1,review published: 14 april 2022 doi: 10.3389/fmars.2022.816666 the role of satellite telemetry data in 21st century conservation of polar bears (ursus maritimus) kristin l.
1,"laidre 1,2*, george m."
1,"durner 3, nicholas j."
1,"lunn 4, eric v."
1,"regehr 1, todd c."
1,"atwood 3, karyn d."
1,"rode 3, jon aars 5, heli routti 5, øystein wiig 6, markus dyck 7†, evan s."
1,"richardson 8, stephen atkinson 9, stanislav belikov 10 and ian stirling 4,11 1 polar science center, applied physics laboratory, university of washington, seattle, wa, united states, 2 greenland institute of natural resources, nuuk, greenland, 3 united states geological survey, alaska science center, anchorage, ak, united states, 4 environment and climate change canada, university of alberta, edmonton, ab, canada, 5 norwegian polar institute, fram centre, tromsø, norway, 6 natural history museum, university of oslo, oslo, norway, 7 wildlife research section, department of environment, government of nunavut, igloolik, nt, canada, 8 environment and climate change canada, winnipeg, mb, canada, 9 independent researcher, cooks creek, mb, canada, 10 all-russian research institute for environment protection, moscow, russia, 11 department of biological sciences, university of alberta, edmonton, edited by: ab, canada ana m."
1,"sequeira, university of western australia, australia satellite telemetry (st) has played a critical role in the management and conservation of reviewed by: polar bears (ursus maritimus) over the last 50 years."
1,"st data provide biological information jan marcin weslawski, relevant to subpopulation delineation, movements, habitat use, maternal denning, health, institute of oceanology (pan), poland lori quakenbush, human-bear interactions, and accurate estimates of vital rates and abundance."
1,"given that alaska department of fish and game, polar bears are distributed at low densities over vast and remote habitats, much of the united states information provided by st data cannot be collected by other means."
1,obtaining st data *correspondence: kristin l.
1,"laidre for polar bears requires chemical immobilization and application of a tracking device. klaidre@uw.edu although immobilization has not been found to have negative effects beyond a several-day † deceased reduction in activity, over the last few decades opposition to immobilization and deployment of satellite-linked radio collars has resulted in a lack of current st data in specialty section: this article was submitted to many of the 19 recognized polar bear subpopulations."
1,"here, we review the uses of st marine megafauna, data for polar bears and evaluate its role in addressing 21st century conservation and a section of the journal management challenges, which include estimation of sustainable harvest rates, frontiers in marine science understanding the impacts of climate warming, delineating critical habitat, and received: 17 november 2021 accepted: 14 march 2022 assessing potential anthropogenic impacts from tourism, resource development and published: 14 april 2022 extraction."
1,"we found that in subpopulations where st data have been consistently citation: collected, information was available to estimate vital rates and subpopulation density, laidre kl, durner gm, lunn nj, regehr ev, atwood tc, document the effects of sea-ice loss, and inform management related to subsistence rode kd, aars j, routti h, wiig ø, harvest and regulatory requirements."
1,"in contrast, a lack of st data in some dyck m, richardson es, atkinson s, subpopulations resulted in increased bias and uncertainty in ecological and belikov s and stirling i (2022) the role of satellite telemetry data in demographic parameters, which has a range of negative consequences."
1,"as sea-ice 21st century conservation of loss due to climate warming continues, there is a greater need to monitor polar bear polar bears (ursus maritimus)."
1,front.
1,"9:816666. distribution, habitat use, abundance, and subpopulation connectivity."
1,we conclude that doi: 10.3389/fmars.2022.816666 continued collection of st data will be critically important for polar bear management and frontiers in marine science | www.frontiersin.org 1 april 2022 | volume 9 | article 816666
2,laidre et al.
2,polar bear satellite telemetry conservation in the 21st century and that the beneﬁts of immobilizing small numbers of individual polar bears in order to deploy st devices signiﬁcantly outweigh the risks.
2,"keywords: climate change, conservation, movements, polar bear, radio collar, satellite, telemetry 1 introduction subpopulation boundaries (e.g., bethke et al., 1996; taylor et al., 2001; mauritzen et al., 2002; pbsg, 2018)."
2,"in the early satellite telemetry (st) has been widely used to determine the 2000s, global positioning system (gps) capability movements, distribution, and habitat selection of mammals, revolutionized satellite tracking by providing locations accurate birds and ﬁshes (hart and hyrenbach, 2009; gaidet et al., to 30 m (schwartz and arthur, 1999; frair et al., 2010; 2010; harcourt et al., 2019; hays et al., 2019; davidson et al., tomkiewicz et al., 2010) compared to, at best, 400 m accuracy 2020; sequeira, 2020)."
2,"this technology has helped to protect of argos locations (douglas et al., 2012)."
2,"this allowed for ﬁne- populations, conserve biodiversity, ensure sustainable use, and scale analyses of habitat use (andersen et al., 2008)."
2,"in 2011, implement ecosystem-based management by providing data on advent of the iridium satellite system (iridium satellite how animals use the landscape and respond to current or communications, mclean, virginia, usa) allowed more data expected environmental changes (e.g., block et al., 2016)."
2,"st to be transferred at a lower cost than the argos system (e.g., data are particularly important for long-lived species that are thomas et al., 2011; lone et al., 2018b; pagano et al., 2020) and mobile, difﬁcult to observe directly, or have complex life cycles enabled two-way communication with slrts."
2,"this allowed that complicate other forms of monitoring (e.g., species that feed slrts to be programmed remotely (e.g., changing the duty and reproduce in different locations)."
2,"in the case of the polar bear cycle) and opened the possibility for release devices that could (ursus maritimus), a marine carnivore that ranges widely across be triggered by the user."
2,"the addition of salt-water sensors, international boundaries and occurs at low densities across a vast thermometers, accelerometers, and video cameras further and sparsely populated arctic (amstrup, 2003), st has been a extended the types of data provided by slrts, allowing critical research tool for management, conservation, and detailed behavioral and ecological investigations (fancy et al., informing international agreements on environmental 1988; lone et al., 2018a; pagano et al., 2018). protection (pbrs, 2015)."
2,"most slrts used in polar bear research have been attached as satellite-linked radio tags (slrts), which transmit to polar- collars, and almost exclusively to adult female bears as their neck orbiting satellites, have been a key tool in the study of polar bears and head morphology maximize retention (figure 1)."
2,"subadult because remote habitats and harsh arctic conditions preclude bears are generally not collared to avoid potential injury during the use of other methods (e.g., very high frequency [vhf] growth, and adult males are not collared because their necks are signals) that require the transmitter and receiver to be in larger in circumference than their heads, which causes collars to proximity."
2,"as early as 1965, scientists suggested that slrts slip off."
2,"other attachment methods including harnesses, ear- had the potential to provide reliable location data for polar bears, mounted transmitters (wiig et al., 2017), glue-to-fur transmitters regardless of season or geographic area (pbsg, 1966; flyger and (rode et al., 2014a), and subcutaneous implants (mulcahy and townsend., 1968)."
2,"the ﬁrst successful use of st to track polar garner, 1999; amstrup et al., 2001) have been used with bears was in 1977 using the nimbus 6 satellite system to follow limited success. three adult females in alaska for 8-390 days (kolz et al., 1980)."
2,"in the international association for bear research and 1979, four female polar bears in lancaster sound, canada management (iba; https://www.bearbiology.org/) and the (schweinsburg and lee, 1982) and four bears (one male and international union for conservation of nature (iucn) three females) in the greenland sea (larsen et al., 1983) were species survival commission (ssc) bear specialist group tracked using the nimbus 6 system for 40-266 and 18-63 days, (bsg) support science-based management and conservation of respectively."
2,"in these studies, the slrts were housed in collars the world’s eight species of bears (iba, 2009)."
2,"these groups note that weighed approximately 5 kg and were fastened with a that, while alternative or less-invasive methods may be useful in harness consisting of steel cables covered by plastic and rubber some circumstances, handling and instrumenting bears with tubes."
2,"the cables were fastened by a magnesium bolt under the slrts is essential to address conservation challenges of the chest to allow for release when the bolt corroded. 21st century (iba, 2009)."
2,"in recent decades, indigenous since those initial studies, advances in technology, communities in parts of the canadian and united states arctic attachment/release methods, and satellite systems have made have expressed concern about the application of slrts on polar slrts less cumbersome and improved their ability to remotely bears."
2,"often, opposition to chemical immobilization, handling, monitor polar bears, resulting in widespread and diverse use. and collaring is based on concerns about possible negative establishment of the argos data collection and location system physical and behavioral impacts to individual bears, such as in 1978 (cls, 2016) facilitated st as a tool for wildlife research collars that become too tight if the bear grows or changes body (fancy et al., 1988; harris et al., 1990; garner et al., 1994; belikov condition (itk, 2009; henri et al., 2010; wong et al., 2017; et al., 1998; schwartz and arthur, 1999; tomkiewicz et al., 2010), aewc, 2019), and on potential health risks to humans who which for polar bears included a new ability to identify consume the meat of polar bears that have been immobilized frontiers in marine science | www.frontiersin.org 2 april 2022 | volume 9 | article 816666"
3,laidre et al.
3,"polar bear satellite telemetry figure 1 | different types of satellite tags (st) on polar bears: (a): argos satellite collar (telonics), (b): satellite ear-attached tag (wildlife computers, redmond wa), (c): satellite ear-attached tag (telonics), and (d): glue-on satellite tag (wildlife computers, redmond wa)."
3,collars have been the most robust and reliable way to collect multi-year data from polar bears.
3,"photos by kristin laidre (a), george durner/usgs (c) and karyn rode/usfws (b, d)."
3,"(semple et al., 2000)."
3,"in svalbard, concerns about the appearance will be critical to inform management decisions in the 21st and possible discomfort of collars have been expressed by century as climate warming increasingly impacts polar bear tourists and the general public."
3,"despite these concerns, no subpopulations and as human activities in the arctic increase. negative effects have been documented in any study focused on we also discuss potential ways to reduce concerns about possible addressing them (messier, 2000; semple et al., 2000; thiemann effects of st studies on polar bears. et al., 2013; rode et al., 2014a; see section 2.1)."
3,"for management purposes, the world’s population of an estimated ~26,000 polar bears (regehr et al., 2016) is divided into 19 subpopulations with varying levels of immigration and 2 background emigration (pbsg, 2018)."
3,"polar bears are distributed widely across remote environments that are already rapidly changing 2.1 chemical immobilization and due to sea-ice loss resulting from climate warming, the primary slrt deployment long-term threat to the species (figure 2, laidre et al., 2008; wiig polar bears must be chemically immobilized to deploy slrts et al., 2008; amstrup et al., 2010; kovacs et al., 2011; castro de la (stirling et al., 1989)."
3,"drugs are usually administered via guardia et al., 2013; regehr et al., 2016)."
3,"with an ice-free arctic helicopter-based darting, although in some areas bears on land predicted to occur in the summer as early as 2034 (peng et al., are captured in culvert traps or darted from snowmobiles. 2020), profound changes in the movements and distribution of ground-darting of polar bears is relatively rare due to safety bears are expected, with attendant challenges to their risks associated with not being able to control the animal’s management and conservation (atwood et al., 2015)."
3,"to date, movement from the time a drug is injected to the point at ecological and demographic changes associated with sea-ice loss which the animal becomes immobilized."
3,"bears typically remain have been detected for 16 of the 19 subpopulations (noting that immobilized and sedated for up to one hour, during which time changes for some high-latitude subpopulations have not been researchers mark (e.g., using ear tags, tattoos, microchip) or re- negative, and that some subpopulations are data deﬁcient; pbsg, identify a previously captured individual, record morphometric 2018)."
3,"in this paper, we review available information on the data, collect tissue samples, and possibly apply a slrt. effects of chemically immobilizing and attaching slrts to polar since 1985, the most common immobilizing drug for polar bears."
3,"we examine a suite of scientiﬁc areas where st data have bears has been telazol® (a 1:1 mixture of tiletamine hydrochloride been critical to management and conservation, including the and zolazepam hydrochloride; also sold as zoletil®; stirling et al., value of auxiliary information collected during st deployments."
3,1989).
3,"telazol® has proven to be reliable with a high margin of we conclude by making the case that st data from polar bears safety (kreeger and arnemo, 2012)."
3,in the southern beaufort sea frontiers in marine science | www.frontiersin.org 3 april 2022 | volume 9 | article 816666
4,laidre et al.
4,"polar bear satellite telemetry figure 2 | polar bear ecoregions, 19 subpopulations (ab, arctic basin; bb, bafﬁn bay; bs, barents sea; cs, chukchi sea; ds, davis strait; eg, east greenland; fb, foxe basin; gb, gulf of boothia; kb, kane basin; ks, kara sea; lp, laptev sea; ls, lancaster sound; mc, m’clintock channel; nb, northern beaufort sea; nw, norwegian bay; sb, southern beaufort sea; sh, southern hudson bay; vm, viscount melville sound; wh, western hudson bay), and place names mentioned in the text with arrows showing ice drift."
4,ecoregions as deﬁned by amstrup et al.
4,"(2008). subpopulation, the mortality rate during chemical immobilization 14 days post-capture (cattet, 2003; ryan et al., 2009)."
4,"captured was reduced from 1.4% to 0.1% following a switch from sernylan polar bears are typically marked with unique numerical to telazol® (thiemann et al., 2013; rode et al., 2014a)."
4,"even prior identiﬁers applied as lip tattoos and/or ear tags, and with a to widespread use of telazol®, mortality rates during capture and more visible but non-permanent mark using fur dye, which can handling were <1% during research in nunavut and the be used to determine if and when a harvested bear was northwest territories, canada (messier, 2000)."
4,"notably, most previously immobilized. deaths of anesthetized bears were due to reasons other than the several studies have investigated effects of capture and choice of immobilizing agent (e.g., drowning, dart injury, or being handling on polar bear behavior and found no long-term killed by another bear while recovering from anesthesia; messier, negative impacts."
4,"bear movement rates and activity are 2000; rode et al., 2014a). generally suppressed immediately after capture."
4,"thiemann the persistence of telazol® in polar bear tissues has been a et al. (2013) and rode et al. (2014a) showed that polar bear concern in regions where humans consume polar bear meat. activity and movement rates returned to near-normal levels semple et al. (2000) determined that both telazol® and its within 2-3.5 days post-capture, with the majority reaching metabolites declined to trace levels in blood serum, kidney, normal activity and movement within 5 days."
4,"additionally, muscle, and adipose tissue of polar bears within 24 hours of and importantly, direct observations of polar bears following dosing, although low levels of metabolites were detectable 11 capture as well as video-camera footage support that bears can days after capture."
4,"ryan et al. (2009) in a study of 15 american successfully kill and eat a seal within 24 hours of capture despite black bears (u. americanus) detected telazol® in muscle and reduced activity and movement (pagano et al., 2018)."
4,"also, kidney of one bear, and in the serum of two bears, seven days stirling et al., (in press) used approximately 1,800 hours of post-capture; and in the urine of one bear 14 days post-capture. direct visual observation of polar bears to compare the semple et al. (2000) suggested that a human consuming the meat behavior of animals of the same sex- and age-classes that had, of a previously immobilized bear would be unlikely to experience and had not, been previously immobilized."
4,"that study found that the pharmacological effects from telazol® if it were eaten 24 bears were more likely to sleep, and less likely to hunt, within 48 hours or more post-capture."
4,"to avoid any risk of human hours of capture, but no negative behavioral differences were exposure to metabolites—even though negative human health detected beyond that period."
4,"furthermore, stirling et al., (in effects have not been associated with exposure—two studies have press) visually observed three adult bears that successfully killed suggested avoiding consumption of harvested bear meat within seals within 50 hours after capture."
4,frontiers in marine science | www.frontiersin.org 4 april 2022 | volume 9 | article 816666
5,laidre et al.
5,"polar bear satellite telemetry other studies have investigated whether immobilization and not, worn a collar the previous year."
5,"currently, all handling of handling have longer-term effects on polar bear body condition wildlife, including immobilization and deployment of slrts on (i.e., fatness) and reproduction."
5,"rode et al. (2014a) assessed 26 polar bears, must be approved by national agencies and years of capture data in the southern beaufort sea and found no institutional animal care and use committees. directional change in body condition of 197 polar bears captured 2-10 times (1-2 captures per year)."
5,"similarly, the body condition 2.2 slrt types of 309 polar bears captured twice in different years did not differ various attachment types for satellite transmitters, including collars, from the body condition of 734 bears at initial capture (rode glue-to-fur, implants, and ear tags, can be used on polar bears et al., 2014a)."
5,messier (2000) also found no effect of helicopter- (figure 1).
5,"there are trade-offs between retention, operational life, based capture on polar bear body condition."
5,"litter size and mass data quality, and the animal’s tolerance of the different attachment of cubs was unaffected by single or multiple captures of the types."
5,"collars are most frequently used because their size (currently mother, and capture of the mother was not found to inﬂuence ~1.5 kg; https://www.telonics.com/) can accommodate a battery that cub survival (amstrup, 1993; rode et al., 2014a)."
5,"further, bears provides high-quality data for > 1 year (e.g., amstrup et al., 2004). that were captured as dependent young in the spring achieved for an adult female of 200-300 kg, a collar represents 0.5-0.8% of the greater adult body size than bears that were not captured as bear’s mass."
5,"additionally, collars allow for the attachment of devices dependent young (rode et al., 2014a)."
5,"these results suggest that for monitoring behavior, such as video cameras and activity sensors effects on activity, movement, and feeding behavior post-capture with high spatial and temporal resolution (e.g., whiteman et al., do not translate to reduced body condition or survival for most 2015; pagano et al., 2018)."
5,although collars are usually only sex and age classes.
5,"one exception may be pregnant females deployed on adult females (figure 4), glue-to-fur and ear- captured just prior to denning (lunn et al., 2004)."
5,ramsay and mounted transmitters can be deployed on subadults and adults of stirling (1986) and amstrup (1993) indicated that some both sexes.
5,"however, low battery capacity associated with the small pregnant females captured at dens before giving birth relocated size of ear-mounted transmitters (≤70 g) and the propensity of bears to a new den site, while lunn et al. (2004) found that pregnant to remove the transmitters has resulted in a mean functional life of polar bears at dens seldom relocated if not disturbed by capture. 70 days (wiig et al., 2017), which is too short to evaluate seasonal capturing females at dens is now largely avoided. patterns in movements and habitat use."
5,"additionally, wiig et al."
5,"rode et al. (2014a) also investigated the effects of collaring on (2017) reported injuries to ear pinna resulting from ear-mounted polar bear activity and movements, health, and survival of transmitters being forcefully removed (e.g., during intraspeciﬁc dependent young."
5,activity and movement rates of collared interaction or while hunting).
5,"the use of subcutaneous slrts bears were not different from those wearing glue-to-fur or ear- implanted in the dorsal cervical region with a percutaneous mounted transmitters, and body condition of females that had antenna was attempted on seven adult male polar bears in 1996 worn a collar for one year (n = 56) was similar to females that and 1997, with limited success (mulcahy and garner, 1999; had never worn a collar (n = 238; rode et al., 2014a) (figure 3)."
5,"amstrup et al., 2001)."
5,"there have been no attempts to use survival of cubs was similar for adult females that had, and had implanted transmitters on polar bears since 1997."
5,figure 3 | a satellite-collared female polar bear in east greenland feeding on a harp seal kill in july 2019.
5,"this bear was captured, and the collar deployed two years before the photo was taken."
5,this bear would score high on a body condition index.
5,several scientiﬁc studies have demonstrated that the presence of satellite telemetry devices does not impact body condition over the long term.
5,photo by nick cobbing.
5,frontiers in marine science | www.frontiersin.org 5 april 2022 | volume 9 | article 816666
6,laidre et al.
6,polar bear satellite telemetry figure 4 | (a-f).
6,three adult female polar bears shown when satellite telemetry collar was deployed (left) and when it was removed (right).
6,"(a, b) show bear d24042 from east greenland after one year."
6,"(c, d) show bear x35260 from kane basin after two years, and (e, f) show bear d7388 from bafﬁn bay after four years."
6,satellite telemetry collars can be deployed for different durations and controlled by release mechanisms or removal upon recapture.
6,discoloration is matted hair under the collar.
6,"3 a review of the role of st data (durner and amstrup, 1995; bethke et al., 1996; taylor et al., in past polar bear management 2001; mauritzen et al., 2002; amstrup et al., 2004; obbard and and conservation middel, 2012; scharf et al., 2019) (figure 5)."
6,"st data also have been used to understand how bear distributions change as sea-ice 3.1 subpopulation delineation loss progresses (durner et al., 2019; pagano et al., 2021) and pedersen (1945) suggested that polar bears undertook long ensure that management practices are applied to migrations around the polar basin, and early scientiﬁc debate demographically relevant groupings of animals (e.g., laidre focused on whether there was one or more polar bear et al., 2015; lone et al., 2018a; lone et al., 2018b)."
6,"for populations across the arctic (e.g., lentfer, 1972; vibe, 1976; example, amstrup et al. (2004) used st data to develop larsen and stirling, 2009)."
6,investigations using locations of contours describing the probability that bears belonged to the captured and marked bears as well as data from vhf radio southern beaufort sea or chukchi sea subpopulation.
6,"scharf collars on adult females facilitated the delineation of multiple et al. (2019) expanded methods for subpopulation delineation subpopulations resulting from seasonal ﬁdelity to localized areas into a bayesian framework that accounted for selection by bears and natural obstacles to movement (e.g., land masses; taylor and of dynamic sea-ice habitats."
6,"both st and genetic methods lee, 1995)."
6,"st data have been used to quantify exchange among (paetkau et al., 1999; peacock et al., 2015; viengkone et al., subpopulations (mauritzen et al., 2001; laidre et al., 2018a) and 2016) have been used to understand the degree to which identify occasional long-distance movements across individual subpopulations are isolated (bethke et al., 1996; subpopulation boundaries of up to 5,000 km in one year mauritzen et al., 2001; taylor et al., 2001), which can affect frontiers in marine science | www.frontiersin.org 6 april 2022 | volume 9 | article 816666"
7,laidre et al.
7,"polar bear satellite telemetry figure 5 | long-distance movements of satellite-collared adult female polar bears across subpopulation boundaries, with green triangles showing start locations and red triangles showing end locations."
7,"data shown for (a) two bears tagged in the northern beaufort sea, one of which traveled to northern greenland from may to october 1993 (green dots), and the other to eastern greenland from april 1993 to february 1995 (brown dots; lunn et al., 1995); (b) two bears tagged in the barents sea, one of which moved from svalbard to severnaya zemlya in the kara sea from april to november 2013 (green dots), and another that moved from svalbard into the arctic basin from april 2014 to september 2015 (brown dots; aars, unpublished data); (c) one bear tagged in kane basin between april 2013 and 2015 crossed the arctic basin to franz josef land in the barents sea (laidre et al., 2020b); and (d) one bear tagged in the southern beaufort sea between may 1992 and december 1993 traveled across the arctic basin to greenland (durner and amstrup, 1995)."
7,"distances moved by polar bears in these ﬁgures are upwards of 3,500 km across the polar basin. population viability (e.g., via source-sink dynamics or small- estimation of sustainable harvest (e.g., lunn et al., 2016; population effects)."
7,"stapleton et al., 2016; obbard et al., 2018; regehr et al., 2018)."
7,"estimates of vital rates (e.g., reproduction, survival) and their 3.2 abundance and demography relationship with environmental conditions are needed to estimates of polar bear abundance are used to monitor evaluate subpopulation viability and the demographic effects of subpopulation trend and inform management, including sea-ice loss (e.g., hunter et al., 2010; regehr et al., 2010)."
7,st data frontiers in marine science | www.frontiersin.org 7 april 2022 | volume 9 | article 816666
8,laidre et al.
8,"polar bear satellite telemetry also have been essential in many demographic analyses to clearly wilson et al., 2014; laidre et al., 2015; mccall et al., 2016; lone deﬁne demographic parameters (e.g., to distinguish between et al., 2018b), sea ice cover that exceeds 50% sea-ice mortality and emigration) and to model nonrandom concentration (durner et al., 2004; durner et al., 2006; durner movements of bears in and out of sampling areas, which lead et al., 2009; laidre et al., 2015; lone et al., 2018b), and sea ice over to substantive bias—usually negative—in parameter estimates the biologically productive continental shelves (durner et al., (regehr et al., 2009; peñaloza et al., 2014)."
8,"2004; durner et al., 2006; durner et al., 2009; wilson et al., 2014; for example, regehr et al. (2018) used st data to model the lone et al., 2018b; laidre et al., 2018b)."
8,"rsfs also have identiﬁed movement of bears with respect to a geographically limited ﬁner-scale habitat selection based on ice type (e.g., landfast, drift sampling area in the chukchi sea subpopulation, leading to ice), sea-ice stage (i.e., thickness and age; ferguson et al., 2000a), the ﬁrst biologically plausible estimates of survival and sea-ice form (i.e., ﬂoe size; ferguson et al., 2000a; durner et al., abundance, which were subsequently used to inform harvest 2004), chlorophyll-a concentration (wilson et al., 2014), and management (regehr et al., 2021b)."
8,"similarly, in the southern proximity to glacier fronts (freitas et al., 2012; hamilton et al., beaufort sea, st data were used to model transitions between 2017)."
8,"activity sensor data from slrts have been used to geographic regions (i.e., “states”) of the study area to help explain identify differences in activity patterns associated with habitat, heterogeneity in recapture probabilities (bromaghin et al., 2021). such as a decline in activity when polar bears are in suboptimal in the barents sea subpopulation, st data were used to design habitats, likely in response to reduced prey availability large-scale aerial surveys (aars et al., 2009; aars et al., 2017) and (whiteman et al., 2015; ware et al., 2017). extrapolate density estimates to areas not covered by line- for subpopulations with extensive or complete summer sea-ice transects with a ratio estimator based on the locations of melt, the distribution of st locations relative to the timing and collared females at the time of the survey."
8,"in aars et al. (2017), duration of breakup or freeze-up, average sea-ice concentration, st data were used to estimate the number of bears that were and spatial extent of ice-free waters, have been used to infer the swimming and therefore not detectable."
8,"availability of st data timing of movement of polar bears to and from land (e.g., regehr also ensured ecotype-speciﬁc movements did not result in biased et al., in review; stirling et al., 1999; atwood et al., 2016b; mccall abundance estimates (aars et al., 2017). et al., 2016; laidre et al., 2020a)."
8,"st data have been used to identify during an assessment of the bafﬁn bay and kane basin the environmental thresholds that trigger long-distance swimming subpopulations, current and historical st data showed that (pagano et al., 2012; pilfold et al., 2017; lone et al., 2018a), both subpopulations had redistributed due to sea-ice loss quantify the energetic costs of occupying an increasingly (laidre et al., 2018a; laidre et al., 2018b; laidre et al., 2020a; fractured and mobile sea-ice platform (auger-méthé et al., 2016; laidre et al., 2020b; atkinson et al., 2021)."
8,"further, for bafﬁn bay, durner et al., 2017; lone et al., 2018a; pagano et al., 2018; pagano st data identiﬁed that the deﬁnition of this subpopulation had et al., 2020) (figure 6), and compare the energetic demands on changed over time because capture-recapture studies in the females with different habitat use strategies (blanchet et al., 2020). 1990s did not fully sample the subpopulation’s autumn range."
8,"for multiple subpopulations, st data have shown an increasing without this information, comparison of abundance estimates frequency of short- and long-distance swims (i.e., >50 km) between the 1990s and 2010s would have led to a biased associated with foraging and migrating to land during the assessment of subpopulation trend. annual open-water period (pagano et al., 2012; swg, 2016; pilfold et al., 2017; lone et al., 2018a)."
8,3.3 habitat use rsfs using st data also have been used to make inference st data have been instrumental in understanding the about regions used by polar bears but not accessible to humans relationships between polar bears and their habitats.
8,"wiig (e.g., durner et al., 2009; wilson et al., 2016; lone et al., 2018b; (1995) noted large variation in home range size of female polar durner et al., 2019) (figure 7), for example by extrapolating bears in the svalbard area of the barents sea subpopulation, and habitat-speciﬁc polar bear densities to remote areas that could mauritzen et al. (2001) reported females in this subpopulation not be directly sampled (regehr et al., 2018)."
8,"also, projections of belonged to one of two ecotypes."
8,"“coastal” bears use land in polar bear habitat to inform the decision to list polar bears as svalbard much of the year, as well as nearby sea ice when “threatened” under the u.s."
8,"endangered species act relied seasonally available; whereas “pelagic” bears travel longer heavily on st data (usfws, 2008), as did the deﬁnition of distances and use the marginal ice zone (miz) most of the critical habitat for polar bears in the alaskan beaufort and year."
8,"mauritzen et al. (2003) also found that habitat selection chukchi seas (durner et al., 2009; usfws, 2010). among barents sea bears depended on female reproductive status."
8,"further, brun et al. (2021) identiﬁed that coastal 3.4 maternal denning females showed high ﬁdelity to local areas within svalbard, general patterns in polar bear denning have been determined by with close relatives using overlapping home ranges."
