page,p
1,"ocean & coastal management 51 (2008) 495–504 contents lists available at sciencedirect ocean & coastal management journal homepage: www.elsevier.com/locate/ocecoaman integrating indigenous ecological knowledge and multi-spectral image classiﬁcation for marine habitat mapping in oceania matthew lauer a, *, shankar aswani b a department of anthropology, san diego state university, 5500 campanile drive, san diego ca 92182, united states b department of anthropology and interdepartmental graduate program in marine science, university of california, santa barbara ca 93106, united states a r t i c l e i n f o a b s t r a c t article history: this paper evaluates the usefulness of integrating indigenous ecological knowledge and remote sensing available online 16 april 2008 analyses to produce tropical marine habitat maps."
1,"fishers from roviana lagoon, solomon islands, visually interpreted a landsat-7 enhanced thematic mapper (etmþ) multi-spectral satellite image to identify shallow-water marine environments."
1,their assessments were used to direct a supervised classiﬁcation of the image and create habitat maps with indigenously deﬁned habitat classes.
1,results show that these participatory remote sensing techniques produce accurate broad-scale marine habitat maps that can be useful to managers and decision makers.
1,participatory methods that draw from indigenous habitat deﬁnitions also have the potential beneﬁt of generating new insights about socio-ecological processes and enhancing local acceptance and understanding of conservation projects by allowing stakeholders to actively contribute in management planning.
1,ó 2008 elsevier ltd.
1,all rights reserved.
1,"introduction to date, the use of indigenous knowledge in remote sensing has focused primarily on counter-mapping and indigenous cartogra- in recent years, a resurgence of interest in ‘‘indigenous’’, or phy, in which marginalized local people lay claim to their land and ‘‘local’’ ecological knowledge has emerged in the social and human sea territories through the production of maps [16]."
1,more sophis- sciences.
1,"this can be attributed to a growing number of decision ticated analysis involving multi-spectral or hyper-spectral imagery makers and scientists who recognize the failure of top-down is only in its infancy [17–20], particularly in tropical marine re- modernization approaches to development and environmental source assessment and habitat mapping."
1,"remote sensing has be- management that ignore local ecological understandings [1,2]. come a vital tool for marine scientists and coastal resource those who advocate using indigenous ecological knowledge (iek) managers to assesses coastal and in-shore habitat characteristics for resource management argue that ‘‘hybrid’’ approaches need to and to track human-induced changes of coastal environments [21– be developed in environmental research, which integrate scientiﬁc 25]."
1,"still, the integration of iek with remote sensing for these techniques with local knowledge and practices [3–6]."
1,"researchers purposes has been limited. from various disciplines have led efforts to combine iek with re- in this paper, we evaluate empirically the usefulness of com- mote sensing and geographic information system (gis) technolo- bining iek and remote sensing for habitat mapping in tropical gies as these geo-spatial tools have become more accessible and marine environments, drawing on our experience using participa- cost effective."
1,"studies of soil science [7], land use [8,9], resource tory gis to design marine protected areas (mpas) in roviana la- management [10–12], and marine conservation [13–15] document goon, solomon islands [14,15]."
1,"first, we mapped shallow-water how the combination of indigenous knowledge and gis can provide marine habitats by incorporating the visual assessments of local more sensitive understandings of interwoven social–ecological ﬁshers into a supervised classiﬁcation of landsat-7 enhanced systems, new epistemological frameworks for perceiving the nat- thematic mapper (etmþ) multi-spectral satellite imagery."
1,"through ural world, and participation-oriented conservation and resource visual image interpretation, informants deﬁned, identiﬁed, and management. delineated marine habitats on an image of the seascape sur- rounding their villages."
1,these areas were used as training sites in image processing software to seed pixels and generate distinct habitat classes across the entire image.
1,we then tested the classi- * corresponding author.
1,tel.: þ1 619 594 0978; fax: þ1 619 594 1150. ﬁcation accuracies of the resultant habitat map with independent e-mail addresses: mlauer@mail.sdsu.edu (m.
1,"lauer), aswani@anth.ucsb.edu reference data obtained from underwater visual surveys and assess (s."
1,aswani). the results. 0964-5691/$ – see front matter ó 2008 elsevier ltd.
1,all rights reserved. doi:10.1016/j.ocecoaman.2008.04.006
2,496 m.
2,"lauer, s."
2,aswani / ocean & coastal management 51 (2008) 495–504 1.1.
2,"study area reefs, and outer reef drops dot the lagoon."
2,"the outer lagoon shorelines are abrupt, 200–500-m deep water drops, composed of approximately 12,000 people inhabit roviana and the adjacent rugged, notched limestone with many inlets, bays, carbonate sand vonavona lagoons and share a common cultural and linguistic beaches, and moats."
2,"new georgia is a steep, rugged island of vol- heritage."
2,"similar to much of island melanesia, the population canic origin with an eroded crater at its center, which forms the density is relatively low due to signiﬁcant depopulation during the backdrop of the lagoon."
2,"the interior part of the mainland is un- 18th and 19th centuries [26], although the region’s current pop- inhabited and consists of thick montane and lowland rainforest. ulation growth rate is high [27]."
