page,p
1,"3 policy implications of remote sensing in understanding urban environments: developing a wetlands inventory for community decision- making in lucas county, ohio patrick l."
1,"lawrence, department of geography and planning, university of toledo, toledo, oh, usa kevin czajowski, department of geography and planning, university of toledo, toledo, oh, usa nathan torbick, department of geography and planning, university of toledo, toledo, oh, usa the growth in urbanized land has created a variety of impacts to natural areas."
1,"ur- banization has many effects on a wetland in terms of climate, air and water qual- ity, hydrological changes, and boundaries and fragmentation of flora and fauna (ehrenfeld, 2000)."
1,"wetlands must be valued as they provide many public ameni- ties with long-term functions, which may be unrecoverable if the wetlands are lost through development, including drainage, water supply and natural habitat provi- sions (mitsch et al, 2000)."
1,"because public policy supported the filling and destruc- tion of wetlands for so long, land use planners are often reluctant or uninformed on how to integrate them into urban environments (tilton, 1995)."
1,"the use of remote sensing technology for the identification, inventory, mapping, and classification of land wetlands has been a common application of satellite im- agery (macdonald, 1999; lyon, 2001)."
1,"numerous studies have discussed the posi- tive benefits and opportunities presented by the technology as well as the barriers and limitations (hardisky et al, 1986; johnston and barson, 1993; kindscher et al., 1998; lunetta and barlogh, 1999; munyati, 1999; schmidt and skidmore, 2003, shuman and ambrose, 2003, townsend and walsh, 2001)."
1,"with recent im- provements in the methods, computing advances, and the easier access and avail- ability of the satellite imagery and data, it has become more possible to consider further advancements in the use of remote sensing to specifically address issues associated with wetlands research and related policy implications."
1,"the results of such research have important applications in addressing wetland management is- sues – such as wetland loss, degradation, and potential for restoration and reme- diation – within urban centers where land use pressures have negative impacts on the existence and health of wetland ecosystems."
1,"for a comprehensive review of the issues regarding the use of satellite remote sensing for wetlands, the reader is referred to ozesmi and bauer (2002)."
2,24 lawrence et al.
2,beyond the methodological and technological advances – and remaining limita- tions – related to the use of remote sensing for wetlands inventories there are sev- eral other practical related issues in regards to how the results from such studies can be applied to address the management and decision-making at the community scale in urban areas.
2,"in addition to overcoming common barriers characteristic to the transfer of advanced computer technology - such as needs for software train- ing, access to data sets, the availability of sufficient computer hardware require- ments, and related cost issues – the use of remote sensing requires consideration of several other additional remaining issues."
2,"the application and transfer of remote sensing methods and technology for urban planning requires understanding of the complexity of wetland definitions and related management issues, acceptance of the level of accuracy obtained by the remote sensing technology, commitment for the support and funding necessary to continue and maintain inventories, databases, and for future updating of the wetland classification."
2,"the technical, educational, and decision-making issues regarding the development and utilization of remote sensing for a wetlands inventory for use in urban planning and decision-making will be examined in this paper."
2,3.1 wetlands the u.s.
2,army corps of engineers and the u.s.
2,"environmental protection agency define wetlands as those areas that are inundated or saturated by surface or groundwater at a frequency and duration sufficient to support, and that under normal circumstances do support, a prevalence of vegetation typically adapted for life in saturated soil conditions."
2,"wetlands exhibit an incredible array of ecological benefits including holding storm water, allowing gradual recharge of groundwater, providing critical habitat for plants, fish and wildlife, controlling erosion, mitigat- ing water pollution, providing food and recreational bases for people, and contrib- uting to a healthy water cycle and lake levels (tiner, 1999)."
2,"in the last 200 years over 90% of ohio’s wetlands have been destroyed due to in- stallation of an extensive network of drainage ditches, filling for recreational, ur- ban and rural uses, lowering of the groundwater table, pollution, and invasion by exotic species (ohio department of natural resources, 2003)."
2,the serious impact of wetland loss is felt across the u.s. and resulted in legislative protection under the clean water act and a goal of “no net loss” of existing wetlands.
2,yet it is dif- ficult to prevent the loss of wetlands since there is no accurate and up-to-date re- cord of their location—especially on private lands where most loss takes place.
2,"outdated and inaccurate maps from the national wetland inventory and a 1989 ohio wetland inventory exist, but provide minimal useful information regarding the current location, type, and inventory of existing wetlands."
2,"the ohio wetland inventory shows areas of shallow marsh (emergent vegetation in water three feet or less), scrub shrub wetland (emergent woody vegetation three"
3,"3 policy implications of remote sensing 25 feet or less), forested wetland (mature woods with hydric soils), wet meadow (wet grass areas in water less than six inches on hydric soils) and farmed wetland (wet meadow in agriculture areas on hydric soils)."
3,"the ohio wetlands inventory is based on analysis of satellite data and is intended solely as an indicator of wetland sites for which field review should be conducted (yi et al., 1994)."
3,"the satellite data reflect conditions during the specific year and season the data was acquired, therefore all wetlands present in an area may not be indicated."
3,statistics generated from the inventory are intended solely as an approximation.
3,the wetlands inven- tory for the state of ohio was produced by the digital image processing of landsat thematic mapper data.
3,"the thematic mapper is a multi-spectral scanner that col- lects electromagnetic radiation reflected from the earth's surface in the visible, near infrared and mid infrared wavelength bands."
