page,p
1,"la houille blanche issn: 0018-6368 (print) 1958-5551 (online) journal homepage: www.tandfonline.com/journals/tlhb20 apport de la télédétection pour le suivi des rizicultures dans le bassin versant du ﬂeuve sénégal marie lefrancq, mamadou diarra, ousmane hane, ludovic lhuissier, thierno ndour, bernard thumerel, farouk toumiat & mama yena to cite this article: marie lefrancq, mamadou diarra, ousmane hane, ludovic lhuissier, thierno ndour, bernard thumerel, farouk toumiat & mama yena (2020) apport de la télédétection pour le suivi des rizicultures dans le bassin versant du ﬂeuve sénégal, la houille blanche, 106:5, 60-67, doi: 10.1051/lhb/2020049 to link to this article: https://doi.org/10.1051/lhb/2020049 published online: 21 may 2021."
1,submit your article to this journal article views: 920 view related articles view crossmark data full terms & conditions of access and use can be found at https://www.tandfonline.com/action/journalinformation?
1,journalcode=tlhb21
2,"la houille blanche 2020, 5, 60–67 disponible en ligne : © shf, 2020 www.shf-lhb.org https://doi.org/10.1051/lhb/2020049 article de recherche / research article apport de la télédétection pour le suivi des rizicultures dans le bassin versant du ﬂeuve sénégal marie lefrancq1,*, mamadou diarra1, ousmane hane2, ludovic lhuissier1, thierno ndour2, bernard thumerel3, farouk toumiat3 et mama yena2 1 cacg, chemin de lalette, bp 449, 65000 tarbes cedex, france 2 soged, société de gestion et d'exploitation du barrage de diama, bp 5048, bp 396, nouakchott, mauritanie 3 e2l, 84 rue des fontaines, 31300 toulouse, france reçu le 24 mars 2020 / accepté le 25 octobre 2020 résumé – la vallée du ﬂeuve sénégal constitue une source de vie et de fertilité régionale où se mêlent agro-pastoralisme traditionnel et cultures irriguées plus intensives."
2,"les enjeux primordiaux de l'utilisation des ressources en eau du ﬂeuve sénégal représentent un déﬁ d'envergure, et ce surtout dans un contexte de changement climatique."
2,les images satellitaires sont une source de données pertinente et peu chronophage pour observer et suivre les changements du territoire et ainsi aider à sa gestion.
2,"c'est dans ce contexte que le projet mosis (mutualiser les observations satellitaires pour l'innovation de services) a vu le jour, issu d'une collaboration menée selon une démarche living lab entre la soged (société de gestion et d'exploitation du barrage de diama), la cacg (compagnie d'aménagement des coteaux de gascogne) et e2l (espace et living lab)."
2,"en seulement un an de travail, un outil opérationnel s'appuyant sur le traitement des images satellitaires sentinel 2 a été co-conçu avec les utilisateurs ﬁnaux aﬁn de localiser et quantiﬁer les surfaces rizicoles mises en eau pour améliorer le taux de recouvrement de la redevance liée aux prélèvements d'eau pour l'irrigation."
2,"l'utilisation de l'outil webgis a déjà montré beaucoup de valeurs ajoutées sur le terrain : meilleure identiﬁcation des usagers et du foncier, augmentation des recettes de redevance, amélioration de la communication avec les usagers, certiﬁcation des données, etc."
2,"la qualité de la réﬂexion collaborative entre les membres du consortium a également permis de faire émerger d'autres idées de services potentiels qui viendraient s'appuyer sur les ressources geo-web et la télédétection spatiale aﬁn d'obtenir des indicateurs de gestion spatialisés, ﬁables et pérennes sur la vallée du ﬂeuve sénégal."
2,mots clés : télédétection / webgis / irrigation / redevance / afrique de l'ouest abstract – remote sensing in support for monitoring rice in the senegal catchment.
2,"senegal river catchment represents a vital source for its four riparian countries guinea, mali, mauritania, and senegal, which cooperate within the interstate agency omvs (senegal river basin development authority)."
2,"the key issue of integrated water resources management addressed major challenges, especially with climate change."
2,satellite imagery represents thus a relevant and inexpensive source of data for observing land use changes at large scale and thus provides management support.
2,"in this context, mosis project (monitoring of observations from satellites for innovative services) arose based on a “living lab” approach between soged, cacg and e2l."
2,"based on the needs of end-users, an operational tool was co-designed in a single year to localise and quantify rice producing areas using sentinel 2 satellite imagery and web resources."
2,the purpose of the created webgis was to improve the recovery rate of the irrigation fee.
