page,p
1,maxwell et al.
1,"international journal of health geographics 2010, 9:46 international journal http://www.ij-healthgeographics.com/content/9/1/46 of health geographics research open access using landsat satellite data to support pesticide exposure assessment in california susan k maxwell1*, matthew airola2,3, john r nuckols2,4 abstract background: the recent u.s."
1,geological survey policy offering landsat satellite data at no cost provides researchers new opportunities to explore relationships between environment and health.
1,the purpose of this study was to examine the potential for using landsat satellite data to support pesticide exposure assessment in california.
1,methods and results: we collected a dense time series of 24 landsat 5 and 7 images spanning the year 2000 for an agricultural region in fresno county.
1,we intersected the landsat time series with the california department of water resources (cdwr) land use map and selected field samples to define the phenological characteristics of 17 major crop types or crop groups.
1,"we found the frequent overpass of landsat enabled detection of crop field conditions (e.g., bare soil, vegetated) over most of the year."
1,"however, images were limited during the winter months due to cloud cover."
1,"many samples designated as single-cropped in the cdwr map had phenological patterns that represented multi-cropped or non-cropped fields, indicating they may have been misclassified."
1,"conclusions: we found the combination of landsat 5 and 7 image data would clearly benefit pesticide exposure assessment in this region by 1) providing information on crop field conditions at or near the time when pesticides are applied, and 2) providing information for validating the cdwr map."
1,"the landsat image time-series was useful for identifying idle, single-, and multi-cropped fields."
1,"landsat data will be limited during the winter months due to cloud cover, and for years prior to the landsat 7 launch (1999) when only one satellite was operational at any given time."
1,"we suggest additional research to determine the feasibility of integrating cdwr land use maps and landsat data to derive crop maps in locations and time periods where maps are not available, which will allow for substantial improvements to chemical exposure estimation."
1,"background characteristics, soil properties, application method, and a primary emphasis of our research is to examine the chemical persistence [5]."
1,"the condition of the land relationship between pesticides used on crops grown cover (e.g., bare soil, vegetation) at the time of chemical near individual residences and health outcomes in cali- application has been shown to have a significant effect fornia."
1,increased detection and/or concentration of pes- on chemical drift [6].
1,"land use and land cover maps ticides used on crop fields adjacent to residences in (e.g., urban, crop type), such as provided by the califor- biological samples of residents and house dust have nia department of water resources (cdwr), have been been shown in several studies [1-4]."
1,"methods for esti- used in geographic-based transport and fate models to mating pesticide exposure are needed since environmen- derive estimates of human exposure [3,4,7]."
1,"however, tal samples of pesticide levels in the home can only be land cover data at the frequency and resolution neces- collected after enrollment into a study (i.e., after date of sary for exposure assessment are often not available dur- diagnosis)."
1,"determining the transport and fate of pesti- ing the critical pre-diagnosis exposure periods of most cide chemicals is a complex process which depends on epidemiological studies (e.g., date of conception until many factors such as weather conditions, vegetation date of diagnosis in birth outcome studies)."
1,"there are many satellite sensor systems that collect * correspondence: maxwell@biomedware.com earth surface measurements at varying spatial resolu- 1 biomedware, inc., ann arbor, michigan, usa tions and temporal frequencies which can be used to full list of author information is available at the end of the article © 2010 maxwell et al; licensee biomed central ltd."
1,"this is an open access article distributed under the terms of the creative commons attribution license (http://creativecommons.org/licenses/by/2.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited."
2,maxwell et al.
2,"international journal of health geographics 2010, 9:46 page 2 of 14 http://www.ij-healthgeographics.com/content/9/1/46 determine land cover conditions [8]."
2,"sensor systems cantaloupe), grain (e.g., wheat, barley, oats) and alfalfa. such as the advanced very high resolution radiometer vineyards and citrus, fruit, and nut orchards were the (avhrr) and moderate resolution imaging spectrora- dominant crops grown in the eastern region of the diometer (modis) instruments are commonly used to study area."
2,climate conditions were normal for the study land cover phenology because of their daily repeat year 2000 (the year of our study) except during january coverage [9].
2,"however, the low spatial resolution of and february when abnormally dry climate conditions these sensors (250 m for modis, 1 km for avhrr) were reported (http://drought.unl.edu/dm/archive.html; severely limits the capability of measuring individual accessed may 12, 2010). crop field properties."
2,"landsat images have a relatively high spatial resolution (60 m for landsat 1, 2, and 3; 30 landsat image selection and pre-processing m for landsat 4, 5, and 7) enabling land cover and land landsat 5 and 7 images for the year 2000 were selected use characterization at the local scale [10]."
2,"in addition, and downloaded from the u.s."
