page,p
1,"1 2 received date : 18-apr-2016 3 revised date : 03-jul-2016 4 accepted date : 18-jul-2016 5 6 author manuscript article type editor : forum article : johan du toit 7 8 9 - h 10 11 12 running title: animal-borne telemetry and conservation management 13 14 authors: jennifer mcgowan1*, maria beger1, rebecca lewison2, rob harcourt3, 15 hamish campbell4, mark priest5, ross g dwyer6, hsien-yung lin1, pia lentini7, 16 christine dudgeon8, clive mcmahon9, matt watts1 and hugh p possingham1 17 18 * corresponding author : j.mcgowan@uq.edu.au +61 4 32 607714 19 centre for biodiversity and conservation science, school of biological sciences, the university of 20 queensland, st lucia, qld, 4072 au 21 22 1 centre for biodiversity and conservation science, the university of queensland, st lucia, qld, 23 au; m.beger@uq.edu.au; hsienyung.lin@uq.net.au; m.watts@uq.edu.au; 24 h.possingham@uq.edu.au 25 2 biology department, san diego state university, san diego, ca, usa r.lewison@mail.sdsu.edu 26 3 department of biological science, macquarie university, sydney, nsw, au 27 robert.harcourt@mq.edu.au 28 4 research institute for the environment and livelihoods, school of the environment, charles 29 darwin university, darwin, nt, au hamish.campbell@cdu.edu.au 30 5 marine spatial ecology lab, the university of queensland, st lucia, qld, 31 au m.priest@uq.edu.au 32 6 school of biological sciences, the university of queensland, st lucia, qld, au 33 ross.dwyer@uq.edu.au this is the author manuscript accepted for publication and has undergone full peer review but has not been through the copyediting, typesetting, pagination and proofreading process, which may lead to differences between this version and the version of record."
1,please cite this article as doi: 10.1111/1365-2664.12755 this article is protected by copyright.
1,all rights reserved
2,"34 7 school of biosciences, the university of melbourne, parkville, vic, au 35 pia.lentini@unimelb.edu.au 36 8 school of biomedical science, the university of queensland, st lucia, qld, au 37 c.dudgeon@uq.edu.au 38 9 sydney institute of marine science, mosman, nsw, au clive.mcmahon@utas.edu.au 39 40 author manuscript 41 42 43 44 1."
2,"animal-borne telemetry has revolutionised our ability to study animal 45 movement, species physiology, demography and social structures, changing 46 environments and the threats that animals are experiencing."
2,"while there will 47 always be a need for basic ecological research and discovery, the current 48 conservation crisis demands we look more pragmatically at the data required to 49 make informed management decisions."
2,"here, we define a framework that distinguishes how research using animal 51 telemetry devices can influence conservation."
2,we then discuss two critical 52 questions which aim to directly connect telemetry-derived data to applied 53 conservation decision-making: (i) would my choice of action change if i had 54 more data?
2,(ii) is the expected gain worth the money and time required to collect 55 more data?
2,policy implications.
2,"to answer questions about integrating telemetry-derived 57 data with applied conservation, we suggest the use of value of information (voi) 58 analysis to quantitatively assess the return-on-investment of animal telemetry- 59 derived data for conservation decision-making."
2,"60 61 key-words: animal behaviour, movement ecology, adaptive management, 62 conservation science, demography, biotelemetry, animal-borne telemetry, 63 species physiology, threat mitigation, value of information 64 65 66 the rapid ascent of animal-borne telemetry research reflects the ability of 67 this approach to improve our understanding of fundamental ecology, enhance this article is protected by copyright."
2,all rights reserved
3,68 monitoring of the planet’s natural resources and inform conservation practices 69 (hussey et al.
3,2015; kays et al.
3,2015).
3,"what is remarkable about animal-borne 70 telemetry is its ability to illustrate how individuals, ranging from bees to whales, 71 interact with each other and the natural environment and reveal information 72 73 author manuscript about species habitat use, movement patterns, behaviour, physiology and the environment they inhabit (cooke et al."
3,2004).
3,"these studies have documented 74 ocean-wide dispersal events (block et al. 2011), identified the use of unexpected 75 habitats (raymond et al. 2014), fundamentally changed our understanding of 76 physical processes in the natural environment (roquet et al. 2013), and revealed 77 unknown life history characteristics of threatened and cryptic species 78 (davidson-watts et al."
3,2006).
3,it is indisputable that animal-borne telemetry has 79 enriched our understanding of the natural world and the animals that inhabit it.
3,80 with these advances there comes an opportunity to use animal telemetry- 81 derived data to combat global species declines (ceballos et al.
3,2015).
3,"much of the 82 published literature using telemetry technologies claim conservation 83 implications, yet the link between many of these studies to direct conservation 84 actions remains tenuous (campbell et al."
3,2015; jeffers & godley 2016).
3,"here, we 85 challenge the assumption by many scientists that more data will invariably lead 86 to better management and suggest an evaluation of the return-on-investment 87 from research using animal-borne telemetry devices (runge et al."
3,2011; maxwell 88 et al.
3,2014).
3,"89 given the potential of telemetry-derived data to inform resource 90 management and conservation, and the various costs involved in collecting these 91 data (e.g. financial costs of equipment and salaries, impact on mortality and 92 reproduction of animals involved (cooke et al."
3,"2004; mcmahon et al. 2012)), it is 93 essential to evaluate the conservation benefit of these research techniques."
3,"as 94 conservation science is an explicitly applied field, our aim is to differentiate 95 between telemetry-derived data that improves ecological knowledge with 96 implications for broad conservation efforts versus data that have direct impact 97 on conservation decision-making."
3,our objective is to encourage researchers 98 utilising telemetry technology with an underlying conservation rationale to 99 target their research towards gathering information that is more likely to change 100 actions and maximise species persistence.
3,this article is protected by copyright.
3,all rights reserved
4,101 s 102 the use of telemetry devices to monitor free-ranging animals can affect 103 species conservation in many ways.
4,"to differentiate these impacts according to 104 conservation specificity and time-scale of impact, we draw from a conceptual 105 106 author manuscript model developed for ecological monitoring activities (possingham et al."
4,2012).
4,"we present this framework to distinguish how animal-borne telemetry studies, 107 specifically, can influence conservation."
4,"we frame this discussion around the 108 distinctions made among six types of graduated impact, ranging from long-term 109 and diffuse to short-term and direct (fig 1)."
4,"110 p 111 discovering new facets of life history, biology or ecology motivates many 112 scientists conducting animal-borne telemetry research."
4,the driver of this work is 113 often pure ecological enquiry (hart & hyrenbach 2009; donaldson et al.
4,2014).
4,"114 through exploratory science, telemetry-derived data can generate novel findings 115 or improve existing knowledge."
4,it is possible that this knowledge will indeed 116 influence conservation actions at some point.
4,"for example, radio-tracking 117 studies in the uk revealed that protected species of pipistrellus bats, which 118 cannot be distinguished through observational studies, actually exploit distinct 119 species-specific habitats and thus require individually tailored conservation 120 measures (davidson-watts et al."
4,2006).
4,"new insights of this nature will certainly 121 change conservation goals and thinking, yet the impact is often serendipitous, 122 diffuse and over long time scales."
4,"123 124 unlike other forms of monitoring, where members of the public can easily 125 participate and volunteer in the data collection process (i.e. citizen science), the 126 tagging and tracking of individuals requires special expertise and can limit the 127 role of the public to be intimately involved in data acquisition."
4,"although public 128 engagement would rarely be the sole purpose of a telemetry-based animal study, 129 the application is exciting and often engages and captivates a broad public 130 audience through social media campaigns (http://www.ocearch.org) and 131 cultural events (fig 2.)"
4,"the astonishing behaviours revealed through tracking 132 individuals, such as the recent discovery of the near 2,500 km long-distance 133 american eel anguilla rostrata migration (beguer-pon et al. 2015), can raise this article is protected by copyright."
4,all rights reserved
5,134 species profiles and promote public awareness of conservation issues.
5,"although 135 changing perceptions and improving commitment to nature is an important 136 component of a society’s willingness to commit resources to species 137 conservation, the process can be unpredictable."
5,"138 139 author manuscript p visual aids, such as maps, can be vital knowledge brokering tools for 140 issues of conservation concern (hebblewhite & haydon 2010)."
5,maps of animal 141 movements and habitat use provide evidence of the ecological connectivity 142 between disparate geographies.
5,these findings provide visual support to unify 143 politically diverse regions or groups towards a common conservation goal and 144 encourage cross-boundary collaboration.
5,"for example, telemetry-derived data 145 reveal the movements of long-distance migrants that connect countries, 146 continents and hemispheres."
5,"these studies underpin multi-lateral initiatives 147 such as the east asian australasian flyway (http://www.eaaflyway.net/), the 148 convention for migratory species (www.cms.int), as well as species focused 149 initiatives such as sea turtle conservation under the coral triangle initiative for 150 coral reefs, fisheries, and food security (beger et al."
5,2015).
5,"151 152 tactical research is research that is not of immediate use to solve a 153 management problem, but is prioritized because a researcher uses their 154 experience to determine that it is likely to be important in the near future."
5,"for 155 example, we know that many animals experience different and varied 156 magnitudes of threats across migration routes."
5,"therefore, the success of an 157 action taken in a nesting site may prove futile if threats at important stopover, 158 bottleneck or refugia sites are not identified and mitigated."
5,"committing 159 resources to monitor and learn about unknown spatial processes using 160 telemetry technologies, such as identifying migratory pathways, can determine 161 what state- and time- dependent actions will deliver the greatest benefit to the 162 population’s viability (runge et al."
5,2014; cooke et al.
5,2016).
5,"however, there is a 163 point where investing in tactical research returns marginal benefits to 164 conservation decision-making relative to solving urgent problems (possingham 165 et al."
5,2012).
5,166 this article is protected by copyright.
5,all rights reserved
6,167 telemetry-derived data can also identify which conservation actions to 168 take -or not take- within the adaptive management framework (holling 1978; 169 mcfadden et al.
6,2011).
6,adaptive management capitalises on opportunities to 170 improve the effectiveness of management strategies as new knowledge is gained 171 172 author manuscript (mccarthy & possingham 2007; grantham et al.
6,2009).
6,"this may be a “passive” process, which involves reviewing the performance of past or current actions to 173 alter future actions, or “active”, where there is a conscious effort to balance 174 knowledge acquisition and conservation action."
6,these management programs 175 maintain well-established monitoring protocols and are capable of responding to 176 observed changes in populations.
6,"for example, biotelemetry research on 177 anadromous salmon has led to an improved understanding of mortality events 178 from catch and release fishing interactions, and physiological factors influencing 179 spawning failure, which in turn justify restrictions on fished populations (cooke 180 et al."
6,2012).
6,181 - 182 state-dependent management requires monitoring the state of a system 183 or population to determine how best to manage it.
6,"state-dependent 184 management, such as quota setting for harvestable species is the most direct way 185 for telemetry derived-data to influence species conservation."
6,these research 186 techniques are already powering new approaches that integrate individual- 187 based movement information and decision theory.
6,"for instance, dynamic ocean 188 management is an approach that changes in space and time in response to the 189 shifting nature of the ocean, the animals in it, and its users based on the 190 integration of current biological, oceanographic, social and/or economic data 191 (maxwell et al."
6,2015).
6,some of these applications use telemetry-derived data to 192 alter spatial management over short timeframes (lewison et al.
6,2015).
6,this has 193 benefits for mitigating dynamic threats such as bycatch from seasonal fishing 194 effort (hobday et al.
6,2010).
6,195 - 196 it is clear that many studies using animal-borne telemetry have the 197 potential to inform conservation.
6,we have discussed several classes of impacts 198 delivering important benefits to society and species.
6,"as with all research efforts, 199 one would want to know both the quantifiable costs and expected benefits from this article is protected by copyright."
6,all rights reserved
7,200 the research.
7,"here, we present a framework that can allow researchers to ask: “if 201 that effort could have been placed directly into management and 202 implementation, would the species be better off?”"
7,"203 we focus the remaining discussion on how to improve the conservation 204 205 author manuscript return-on-investment in research using animal-borne telemetry and argue that to do so, the ecological knowledge derived from these studies needs to inform 206 and guide management actions (mcdonald-madden et al."
7,2010).
7,several 207 excellent reviews discuss the potential of using telemetry technology for species 208 management (cooke 2008; godley et al.
7,2008; metcalfe et al.
7,2012; hays et al. 209 2016) and policy (barton et al.
7,2015).
7,"yet, these reviews underemphasise the 210 importance of defining clear links from research to actions."
7,"similarly, allen and 211 singh (2016) recently developed the movement management framework - a first 212 attempt to formally integrate movement information into a decision-making 213 process."
