page,p
1,"issn 1519-6984 (print) issn 1678-4375 (online) the international journal on neotropical biology the international journal on global biodiversity and environment original article quantitative assessment of soil condition, basic environmental factors and productivity of linum usitatissimum in the steppe zone of kazakhstan using the remote sensing method avaliação quantitativa da condição do solo, fatores ambientais básicos e produtividade de linum usitatissimum na zona de estepe do cazaquistão, a partir do método de sensoriamento remoto a."
1,"nugmanova , y."
1,"tulayevb, v."
1,"ershovc, v."
1,"vasind , s."
1,"kuanyshbaeva, k."
1,"valieva , s."
1,"tulkubayevab, s."
1,"somovab, a."
1,"bugubaevaa,e* , a."
1,"bulaevf , v."
1,"chashkova , a."
1,"tokushevaa , a."
1,"nauanovag , a."
1,"zhikeyeva, n."
1,yerisha and b.
1,yeleuova a a.
1,"baitursynov kostanay regional university njsc, kostanay, kazakhstan b agricultural experimental station “zarechnoye” llp, zarechnoye, kostanay region, kazakhstan c p.a."
1,"stolypin omsk state agrarian university, omsk, russia d samara state agrarian university, ust-kinelsky, samara region, russia e lomonosov moscow state university, faculty of soil science, moscow, russia russian academy of sciences, research center of biotechnology, moscow, russia f g jsc “s."
1,"seifullin kazakh agrotechnical university”, astana, kazakhstan abstract the influence of environmental factors, such as lack of water and uneven rainfall, depletion of nutrients in the soil and reduced soil fertility, planting patterns and plant density, uneven growth stages, are the main limiting factors that hinder the growth of agricultural production in arid regions."
1,"the aim of the study was to assess the potential of sentinel-2 to quantify soil conditions, which can improve the understanding of spatiotemporal dynamics in organic agriculture in the steppe zone of kazakhstan and improve productivity management of linum usitatissimum."
1,"in the course of the research, the influence of individual factors of the general environmental impact, such as the influence of humidity, meteorological conditions, the content of individual nutrient components of the soil on the yield, was studied."
1,the meteorological conditions in this region in 2021 and the data of agrochemical analysis of the soil on which the oilseed crop was grown were evaluated.
1,sentinel-2 satellite images were used to determine the ndvi and gndvi indices.
1,"a high content of nitrate nitrogen (12.3-16.2 mg/kg), a very low level of available phosphorus (3-10 mg/kg), and a high content of potassium (289-420 mg/kg) were found in the soil."
1,a low content of humus (2.68-3.31%) and sulfur (1.1-4.9 mg/kg) was found.
1,"a study of the ndvi growth index showed that the highest value was reached by the period of july 20, 2021."
1,"after this period, a decrease in the vegetation index was observed."
1,"in conditions of severe drought, this change occurred earlier than under favorable conditions, and correlated with low flax yield (1.6-6.9 c/ha)."
1,"this study demonstrates the potential of sentinel-2 for quantifying soil conditions, which not only improves our understanding of spatial-temporal dynamics and environmental components in organic agriculture in the steppe zone of kazakhstan, but also improves the management of linum usitatissimum productivity."
1,"keywords: organic agriculture, steppe zone, oilseed flax, vegetation index, basic ecological assessment."
1,"resumo a influência de fatores ambientais como: falta de água, chuvas irregulares, depleção de nutrientes no solo, redução da fertilidade do solo, padrões de plantio, densidade de plantas, estágios de crescimento irregulares são os principais fatores limitantes que dificultam o crescimento da produção agrícola em regiões áridas."
1,"o objetivo deste estudo foi avaliar o potencial do sentinel-2 para quantificar as condições do solo, o que pode melhorar a compreensão da dinâmica espaço-temporal na agricultura orgânica na zona de estepe do cazaquistão e aprimorar o manejo da produtividade de linum usitatissimum."
1,"no decorrer da pesquisa, a influência de fatores individuais do impacto ambiental geral – tais como a influência da umidade, das condições meteorológicas, do teor de componentes nutrientes individuais do solo no rendimento – foi analisada."
1,as condições meteorológicas nessa região em 2021 foram avaliadas e os dados de análise agroquímica do solo em que a oleaginosa foi cultivada.
1,imagens de satélite sentinel-2 foram utilizadas para determinar os índices ndvi e gndvi.
1,"um alto teor de nitrogênio nitrato (12,3-16,2 mg/kg), um nível muito baixo de fósforo disponível (3-10 mg/kg) e um alto teor de potássio (289-420 mg/kg) foram encontrados no solo."
1,"foi encontrado baixo teor de húmus (2,68-3,31%) e enxofre (1,1-4,9 mg/kg)."
1,um estudo do índice de crescimento do ndvi mostrou que o maior valor foi alcançado no período de 20 de julho de 2021.
1,"após esse período, observou-se diminuição do índice de vegetação."
1,"em condições de seca severa, essa mudança ocorreu mais cedo do que em condições favoráveis, e correlacionou-se com a baixa produção de linho (1,6-6,9 c/ha)."
1,"nesse sentido, este estudo demonstra o potencial do sentinel-2 para quantificar as condições do solo, o que não apenas melhora nossa compreensão da dinâmica espaço-temporal e dos componentes ambientais na agricultura orgânica na zona de estepe do cazaquistão, mas também melhora o manejo da produtividade do linum usitatissimum."
