page,p
1,"remote sensing article farmer perception, recollection, and remote sensing in weather index insurance: an ethiopia case study daniel osgood 1, *, bristol powell 1 , rahel diro 1 , carlos farah 2 , markus enenkel 1 , molly e."
1,"brown 3 , greg husak 4 , s."
1,"lucille blakeley 4 , laura hoffman 1 and jessica l."
1,"mccarty 5 1 international research institute for climate and society, the earth institute, columbia university, palisades, new york, ny 10964, usa; bfpowell@iri.columbia.edu (b.p.); rld@iri.columbia.edu (r.d.); menenkel@iri.columbia.edu (m.e.); lth2117@columbia.edu (l.h.)"
1,"2 independent researcher, mexico city 03230, mexico; cfarahj@gmail.com 3 department of geographical sciences, university of maryland college park, maryland, md 20742, usa; mbrown52@umd.edu 4 department of geography, university of california, santa barbara, ca 93106, usa; husak@geog.ucsb.edu (g.h.); blakeley@umail.ucsb.edu (s.l.b.)"
1,"5 department of geography, miami university, oxford, oh 45056, usa; jmccarty@miamioh.edu * correspondence: deo@iri.columbia.edu; tel.: +1-(845)-680-4461  received: 28 september 2018; accepted: 22 november 2018; published: 27 november 2018  abstract: a challenge in addressing climate risk in developing countries is that many regions have extremely limited formal data sets, so for these regions, people must rely on technologies like remote sensing for solutions."
1,"however, this means the necessary formal weather data to design and validate remote sensing solutions do not exist."
1,"therefore, many projects use farmers’ reported perceptions and recollections of climate risk events, such as drought."
1,"however, if these are used to design risk management interventions such as insurance, there may be biases and limitations which could potentially lead to a problematic product."
1,"to better understand the value and validity of farmer perceptions, this paper explores two related questions: (1) is there evidence that farmers reporting data have any information about actual drought events, and (2) is there evidence that it is valuable to address recollection and perception issues when using farmer-reported data?"
1,"we investigated these questions by analyzing index insurance, in which remote sensing products trigger payments to farmers during loss years."
1,our case study is perhaps the largest participatory farmer remote sensing insurance project in ethiopia.
1,we tested the cross-consistency of farmer-reported seasonal vulnerabilities against the years reported as droughts by independent satellite data sources.
1,"we found evidence that farmer-reported events are independently reflected in multiple remote sensing datasets, suggesting that there is legitimate information in farmer reporting."
