page,p
1,"c 0mme nta ry the utility of historical aerial the aerial photograph (also known as an air photo) is an ex- tremely valuable remote sensing product, as pointed out by photographs for detecting and colwell(1964)."
1,"this product costs very little, requires no spe- judgingthe effectiveness of cial training, and is nearly a self-explanatorytool."
1,"a variety of users are drawn to air photos, in part because of their nov- rangeland remediation elty and unique perspective, and the information provides a treatments common ground for a dialogue among different users about rangeland resource management."
1,"the objective of this article is to discuss the utility, cost, and methods of obtaining air albert rango, kris havstad photos, and to provide some examples of their application on rangelands."
1,aerial photographsare a type of remote sensing data that are es- pecially valuable for rangeland applications.
1,"advantages of these aerial photography characteristics data include relative ease of interpretation and acquisition, af- fordability, high resolution (1-2 meters), and provision of a com- air photos over agricultural lands mon reference for communication among those involved in range- in 1917, sherman fairchild developed an improved camera land management."
1,"additionally, air photos are especially well for producing vertical aerial photographs with minimal dis- tortion for the us military (thompson and gruner, 1980). suited for analysis of historical rangeland remediationtreatments by 1935, the united statesdepartment ofagriculture (usda) because acquisition of widespread aerial photographic coverage initiated systematic vertical aerial photography of agricul- began during the 1930s."
1,"several types of treatments can be easily tural lands (including rangeland) in all states, usuallythrough identified and monitored over time, including contour terraces, contracts to private firms."
1,"aerial coverage has continued to the present, initiallywith black-and-whitephotographic mis- brush water spreaders, rootplow seeding, water ponding dikes, sions, and more recently in associationwith nationwide map- shrub removal by grubbing, and grazing restrictions."
1,"the use of ping projects, in which color infrared photography has been archived aerial photographs allows the opportunity to recreate used for comparisonwith new types of satellite-basedremote the management history of rangeland, as well as to serve as a point sensing information.fortunately,most of these early and sub- sequent air photos have been archived and are available for of departure for involvement in more sophisticated satellite-based analysis today."
1,"unfortunately,images from various years are remote sensing systems. not all in one location, but rather are scattered among archiv- environmental practice 5:107-118 (2003) ing facilities across the country."
1,"despite this shortcoming,air photos are easy to use and interpret and are very useful for documenting historical rangeland activities such as remedi- ation treatments and natural changes."
1,"r emote sensing of rangelands has received some specific attention in the past (carneggie,schrumpf, and mouat, 1983; clark, seyfried, and harris, 2001; everitt, escobar, and practitioners in rangeland management, particularly ranch- ers, can benefit from aerial photography."
1,"for example, nixon, 1987; poulton, 1970; tueller,1982,1989,2001)."
1,"remote sensing encompasses a number of different types of images, data, sensors, information, formats, and even interpretation afiliation of authors: albert rango, usda-ars jornadaexperimental range, las cruces, new mexico; kris havstad, usda-ars jornadaexperi- techniques."
1,"for the past 30 years, the term has typically re- mental range, las cruces, new mexico ferred to images captured from sensors aboard satellites or- address correspondence to: dr."
1,"albert rango, usda-ars jornada ex- biting the earth."
1,"less complex remote sensing products, perimental range, msc 3jer, po box 30003, nmsu, 2995 knox st., las obtained from airplanes, can be used effectively to more eas- cruces, nm 88003; (fax) 505-646-5889;(e-mail) alrango@nmsu.edu. ily understand the expanding capabilities of this technology. 0 zoo3 national association of environmental professionals 107"
2,"corbley (1998) reported that a west texas rancher familiar- parency is another product that possesses nearly as much in- ized himself with aerial photography, determined the best formation as the negative."
2,"it is also possible to purchase film type (color infrared) for identifying specific manage- scanned digital air photos from certain air photo archives. ment questions (such as quantifying mesquite invasion), con- tracted with an air photo firm to take 1:40,000 scale photos photographic scale of his entire ranch, scanned the photos with his own scanner to generate digital files for input into a geographic informa- photographic scale of aerial photographs provides an indi- tion system (gis), used his own computer to analyze the dig- cation of the size of objects appearing in photos."
2,"generally, ital data using cluster analysis to identify key areas (such as large-scale photos cover small areas, and a particular object mesquite stands to be targeted for herbicide applications), appears larger than on small-scale (larger area) photos. and contracted for the actual herbicide spraying using global medium-scale (1:6,000 to about 1:50,000) air photos-used positioning system (gps) located targets."
2,"at the same time, in examples in this article (figures i-8)-have often been the rancher is using the images for other management oper- used in rangeland studies."
2,"this scale of aerial photography ations, e.g., designing new fencing, placement ofwatering lo- has been found to be applicable to rangelands for detailed cations, and planning grazing strategies (corbley, 1998)."
2,"in- vegetation mapping, assessments of rodent activities, plan- corporating historical aerial photographs into this process ning management practices within allotments, and vegeta- can greatly assist the landowner in further understanding veg- tion change detection (carneggie, schrumpf, and mouat, etation dynamics and planning management actions."
2,1983).
2,"the use of color infrared instead of panchromatic pho- tography can extend the application to habitat assessment film types used for air photos and ecosystems surveys (tueller, 1982)."
2,"generally, the spatial resolution of medium-scale air photos is 1-2 meters, which is black-and-white panchromatic film, sensitive in the broad the smallest size an object on the ground can be and still be band from 0.36-0.72 pm, has long been the standard fdm type distinguishable from its surroundings (lillesand and kiefer, for aerial photography (avery and berlin, 1992; lillesand and 2000)."
2,"kiefer, 2000)."
2,"the early air photos for usda and other agen- cies were black-and-white panchromatic, extending over the ultraviolet and the entire visible spectrum."
