page,p
1,"développement durable et territoires économie, géographie, politique, droit, sociologie vol. 11, n°3 | décembre 2020 varia apport de l’information géospatiale dans les décisions d’aménagement du territoire une expérimentation à partir de cartes d’occupation du sol à très haute résolution spatiale, et de cartes de services écosystémiques geospatial information contribution to land use planning evidence from land cover and ecosystem services maps hélène rey-valette, pierre maurel, chady jabbour, camille cousin, sandra luque, olivier billaud et jean michel salles édition électronique url : http://journals.openedition.org/developpementdurable/17778 doi : 10.4000/developpementdurable.17778 issn : 1772-9971 éditeur association dd&t référence électronique hélène rey-valette, pierre maurel, chady jabbour, camille cousin, sandra luque, olivier billaud et jean michel salles, « apport de l’information géospatiale dans les décisions d’aménagement du territoire », développement durable et territoires [en ligne], vol. 11, n°3 | décembre 2020, mis en ligne le 20 décembre 2020, consulté le 14 janvier 2021."
1,url : http://journals.openedition.org/ developpementdurable/17778 ; doi : https://doi.org/10.4000/developpementdurable.17778 ce document a été généré automatiquement le 14 janvier 2021.
1,développement durable et territoires est mis à disposition selon les termes de la licence creative commons attribution - pas d’utilisation commerciale 4.0 international.
2,apport de l’information géospatiale dans les décisions d’aménagement du terri...
2,"1 apport de l’information géospatiale dans les décisions d’aménagement du territoire une expérimentation à partir de cartes d’occupation du sol à très haute résolution spatiale, et de cartes de services écosystémiques geospatial information contribution to land use planning evidence from land cover and ecosystem services maps hélène rey-valette, pierre maurel, chady jabbour, camille cousin, sandra luque, olivier billaud et jean michel salles le projet a bénéficié d’un soutien financier du cnes (projet mise-ids dans le cadre du programme tosca)."
2,les cartes de services écosystémiques ont été réalisées dans le cadre du projet européen imagine (eranet biodiversa 3).
2,nous remercions le syndicat mixte du bassin de thau (smbt) et l’ensemble des participants à l’atelier.
2,"1 la planification territoriale est au cœur de l’aménagement et du développement territorial, notamment pour la répartition territoriale des biens publics locaux qui sont au fondement de l’économie spatiale (derycke et gilbert, 1988), et plus récemment de la nouvelle économie géographique (krugman, 1991)."
2,elle s’appuie sur des documents de planification territoriale dont les schémas de cohérence territoriale (scot) sont emblématiques.
2,"différents domaines sont concernés : la planification des réseaux de transports (gauthier, 2005), la gestion des risques et des services écosystémiques (se) (de groot et al., 2010) tant pour l’identification des enjeux que le suivi des évolutions ou le contrôle des mesures de régulation (choy et al., 2016)."
2,"ces travaux illustrent l’intérêt des cartes comme ressource commune que l’on peut qualifier de capital informationnel (akoka et al., 2019)."
2,"2 de nouveaux outils issus de l’information géographique et satellitaire permettent d’étendre les fonctionnalités des technologies d’information à différentes échelles territoriales et de diversifier leurs usages pour la décision (tonneau et maurel, 2016)."
2,"il s’agit d’intégrer un nombre croissant d’attributs et de processus pour coordonner les développement durable et territoires, vol. 11, n°3 | décembre 2020"
3,"apport de l’information géospatiale dans les décisions d’aménagement du terri... 2 demandes de plus en plus diversifiées et souvent en conflit en matière d’affectation et d’usages des sols (noucher, 2013)."
3,"ainsi, l’information géographique est au cœur de multiples outils spécifiques en matière d’aménagement, qui visent à faciliter le partage des informations et l’expression des compromis de façon à élaborer, voire coconstruire, des stratégies en faveur d’un développement territorial qui soit le plus maîtrisé et cohérent possible (blanchard, 2017)."
3,"le référentiel du développement territorial (torre, 2015) met en effet l’accent sur la qualité de la gouvernance alliée au besoin de concertation et de transparence dans les décisions qui impliquent une évolution des outils."
3,"il s’agit de conforter l’apport de l’ingénierie territoriale sans renforcer son rôle performatif (chia et al., 2008) et en rééquilibrant l’apport des savoirs d’experts et des savoirs locaux."
3,"par exemple, kormakova et kupkova (2018) montrent l’intérêt de cette information géographique pour impliquer les citoyens dans les activités publiques et améliorer la gouvernance des collectivités."
3,"ainsi les cartes ne constituent plus seulement un outil technique de spatialisation de l’information, mais elles sont désormais aussi des documents programmatiques de cadrage au niveau institutionnel (scot, trame verte et bleue…), et un support pour la concertation, à différentes étapes de ces processus et à travers des formes diversifiées d’association aux dispositifs de participation (concertation, jeux de rôle…)."
3,"les supports cartographiques étant facilement appropriables par les acteurs et citoyens, ils constituent des supports partagés pour construire des référentiels communs et coordonner l’action collective (vinck, 2009)."
