page,p
1,"international journal of geo-information article disaster risk reduction in agriculture through geospatial (big) data processing tomáš řezník 1, *, vojtěch lukas 2 id , karel charvát 3 , karel charvát jr."
1,"3 , zbyněk křivánek 3 , michal kepka 4 , lukáš herman 1 and helena řezníková 5 1 department of geography, faculty of science, masaryk university, 611 37 brno, czech republic; herman.lu@mail.muni.cz 2 department of agrosystems and bioclimatology, faculty of agronomy, mendel university in brno, 613 00 brno, czech republic; vojtech.lukas@mendelu.cz 3 wirelessinfo, cholinská 1048/19, 784 01 litovel, czech republic; charvat@wirelessinfo.cz (k.c.); charvat_junior@wirelessinfo.cz (k.c.j.); krivanek@wirelessinfo.cz (z.k.)"
1,"4 department of geomatics, faculty of applied science, university of west bohemia, 301 00 pilsen, czech republic; mkepka@kgm.zcu.cz 5 lesprojekt – služby s.r.o., martinov 197, 277 13 záryby, czech republic; reznikova@lesprojekt.cz * correspondence: tomas.reznik@sci.muni.cz; tel.: +420-549-49-4460 academic editors: milan konecny and wolfgang kainz received: 1 may 2017; accepted: 2 august 2017; published: 6 august 2017 abstract: intensive farming on land represents an increased burden on the environment due to, among other reasons, the usage of agrochemicals."
1,precision farming can reduce the environmental burden by employing site specific crop management practices which implement advanced geospatial technologies for respecting soil heterogeneity.
1,the objectives of this paper are to present the frontier approaches of geospatial (big) data processing based on satellite and sensor data which both aim at the prevention and mitigation phases of disaster risk reduction in agriculture.
1,"three techniques are presented in order to demonstrate the possibilities of geospatial (big) data collection in agriculture: (1) farm machinery telemetry for providing data about machinery operations on fields through the developed maplogagri application; (2) agrometeorological observation in the form of a wireless sensor network together with the senslog solution for storing, analysing, and publishing sensor data; and (3) remote sensing for monitoring field spatial variability and crop status by means of freely-available high resolution satellite imagery."
1,the benefits of re-using the techniques in disaster risk reduction processes are discussed.
1,the conducted tests demonstrated the transferability of agricultural techniques to crisis/emergency management domains.
1,keywords: precision farming; machinery telemetry; wireless sensor network; remote sensing 1.
1,"introduction disaster risk reduction (drr) is commonly defined as the attempt to reduce the damage caused by natural hazards like earthquakes, floods, droughts, and cyclones through the ethic of prevention [1–3]."
1,the basic principle of drr lies in systematic efforts to analyze and reduce factors of disasters.
1,"typical examples in this respect could be reducing exposure to hazards, lowering the vulnerability of buildings, the wise management of land and the environment, the improvement of early warning, etc."
1,the most common drr applications in the agricultural domain are related to water pollution and land management.
1,"these drr applications are crucial from the point of view of scale; it is stated that agriculture is globally the single largest user of freshwater resources, each country using an average of 70% of all its surface water supplies, with an essential proportion of agricultural water being recycled back to surface water and/or groundwater [4]."
1,the prevention of water pollution caused by isprs int.
1,"geo-inf. 2017, 6, 238; doi:10.3390/ijgi6080238 www.mdpi.com/journal/ijgi"
2,isprs int.
2,"geo-inf. 2017, 6, 238 2 of 11 agriculture is therefore a subject of (inter)national legislation, such as [5–9]."
2,"land management related drr applications most typically target (the prevention of) floods, droughts, and landslides [1]."
2,it may be concluded that agricultural drr applications aim at the preparedness phase of the drr cycle [10].
2,the concept of so-called precision agriculture aims to minimize all the abovementioned risks.
2,"for instance, [11] identified three main goals of precision agriculture: 1. to optimize the use of available resources to increase the profitability and sustainability of agricultural operations; 2. to reduce negative environmental impacts; 3. to improve the quality of the working environment and social aspects of farming."
2,precision farming relies on geospatial data and functionalities that are typically available through a farm management information system (fmis).
2,any fmis may also be considered as a kind of geographic information system (gis) as it provides answers to two basic questions: what has happened and where.
2,"we therefore also talk about site-specific management, which takes into consideration geospatial variabilities within fields and optimizes the production inputs, thus fulfilling the objectives of sustainable agriculture [12]."
2,"as indicated by [13], the site specific application of fertilizers and pesticides at the places where they are required leads to a reduction of (environmental) risks."
2,sensors are crucial in the development of precision agriculture because of their fixed costs and because they are able to make repeated small-scale measurements with respect to space and time [14].
2,the site-specific optimisation of cultivation activities is one of the ways of decreasing the environmental burden caused by agriculture.
2,"the authors of [15] claim that precision agriculture cannot completely compensate for these effects, but it can potentially reduce some of them."
2,"the basic precondition for profitability through the implementation of precision agriculture techniques is the existence of small-scale in-field differences in factors relevant to plant development, such as variations in soil, fertilizer, and water availability."
2,"despite the disadvantages mentioned above, the usage of geospatial (big) data in precision agriculture significantly contributes to the reduction and mitigation of phases of disaster risk in the following areas: • it reduces the amount of nitrogen inserted into the ground and polluting (ground) waters; • it reduces the contamination of soils by chemical residues after applications for plant protection; • it reduces excessive fertilization; • it reduces soil erosion and the consequent landslides as well as eutrophication of surface waters."
2,the objectives of this paper are to present the frontier approaches of geospatial (big) data processing based on satellite and sensor data which both aim at drr in agriculture.
2,"the published results are the key achievements of two european research projects, the farm oriented open data in europe project (abbreviated as “foodie”, funded between 2014 and 2017) and the data-driven bioeconomy project (abbreviated as “databio”, funded between 2017 and 2019)."
2,"the databio project is a follow-up to the foodie project, targeting big data processing in agriculture, including disaster risk reduction."
2,methods three geospatial techniques to support disaster risk reduction in the agricultural domain are presented in sections 2.1–2.3.
2,"farm machinery telemetry, wireless sensor networks, and periodic remote sensing are used for both water pollution and land management-related disaster risk reduction in the preparedness and mitigation phases."
