page,p
1,"f can be generated by transformation of energy from other fields and radiation sources such as kinetic, chemical, thermal, electrical, mag- netic, or nuclear."
1,several transformation mechanisms can frank s.
1,"marzano lead to field waves over different regions of the frequency department of information engineering, sapienza spectrum."
1,"generally speaking, the more organized the university of rome, rome, italy transformation mechanism is, the more coherent is the centre of excellence cetemps, university of l'aquila, generated radiation."
1,"from a theoretical point of view, radi- l'aquila, italy ation can be stated through the wave equation which describes the wave propagation phenomenon for electro- definition magnetic, acoustic, and gravitational fields (ishimaru, 1991)."
1,"physical properties of the media where the field is remote sensing is the technique to retrieve information generated, such as temperature, humidity, shape, and com- about an object without being in physical contact with it position, determine the medium properties which govern (elachi, 1987)."
1,this information is acquired by detecting the field–matter interaction.
1,the refractive index of the and measuring changes that the object under investigation atmosphere is a typical example of electric properties imposes on the surrounding field. which influence electromagnetic propagation.
1,"the interacting field can be an electromagnetic, acoustic, due to their inherent remote operation, remote sensing or gravitational field."
1,the electromagnetic field is due to systems must exploit a propagation mechanism.
1,"the space–time variations of the electric and the magnetic fields capability to infer the characteristics of the object under (ulaby et al., 1981; ishimaru, 1991)."
1,"static electric and remote observation are derived from the properties of the magnetic fields can be originated by a stationary electric wave field that has interacted, through emission, absorp- charge distribution or by stationary currents or ferromag- tion, scattering, reflection, or transmission, with the object netic materials, respectively."
1,"the electromagnetic methods, itself (ishimaru, 1981)."
1,"the retrieved field interactions are which are the most frequently used in remote sensing, cover mainly due to reflection, scattering, and transmission in the whole electromagnetic spectrum from radio-frequency case of active remote sensing systems, whereas to absorp- waves to gamma rays through microwaves, submillimeter tion and emission in case of passive systems."
1,"the reflected waves, and far infrared, near infrared, visible, ultraviolet, or scattered radiation has generally the same frequency of and x-ray waves."
1,"acoustic fields are due to the continuous the incident one; however, there exist processes which can exchange between the fluid kinetic energy and the potential produce irradiation at frequencies different from the inci- energy store during fluid compression (lighthill, 1978). dent wave one, such as raman scattering and fluores- the acoustic refraction of earth atmosphere depends on cence, in case of electromagnetic waves."
1,"transmission temperature, wind, and, to a lesser extent, on humidity. properties of media determine the capability of radiation gravitational fields are due to gravitational forces, typically to penetrate the medium itself. exerted by a planetary mass."
1,the gravitational fields deter- mine the dynamics of objects embedded in the field itself.
1,radiation represents the field propagation through bibliography waves.
1,"amplitude, phase, polarization, and power are typ- elachi, c., 1987."
1,"introduction to the physics and technology of ical features of a field radiation (elachi, 1987)."
1,the latter remote sensing.
1,new york: wiley.
1,"njoku (ed.), encyclopedia of remote sensing, doi 10.1007/978-0-387-36699-9, © springer science+business media new york 2014"
2,"202 fisheries ishimaru, a., 1991."
2,"electromagnetic wave propagation, radiation fisheries and remote sensing and scattering."
2,"englewood cliffs, nj: academic/prentice hall."
2,"lighthill, j., 1978."
2,waves in fluids.
2,cambridge: cambridge univer- introduction sity press.
2,"in the broadest sense, fisheries encompass not just ulaby, f."
2,"t., moore, r."
2,"k., and fung, a."
2,"k., 1981."
2,"microwave commercial fish stocks, but all living marine resources remote sensing: fundamentals and radiometry."
2,"reading: (lmrs), which for threatened and endangered species addisonwesley, vol."
2,i. involve efforts to help the populations recover.
2,"there are three distinct aspects of fisheries: harvesting, assessment, and management, all of which have different goals."
2,"cross-references harvesting efforts focus on increasing the catch per unit electromagnetic theory and wave propagation effort (cpue), that is methods of finding, and more media, electromagnetic characteristics efficiently catching, more fish."
