page,p
1,"methods published: 10 may 2022 doi: 10.3389/fenvs.2022.804862 the six dimensions of value associated to the use of copernicus sentinel data: key findings from the sentinel beneﬁts study geoff sawyer 1*, eleftherios mamais 2 and dimitri papadakis 2* 1 european association of remote sensing companies, brussels, belgium, 2evenﬂow, brussels, belgium the role of earth observation (eo) data from satellites in supporting informed decision- making and more efﬁcient operational processes is becoming increasingly recognized."
1,"however, analysing the value that this generates remains a challenge."
1,"often, top-down cost-beneﬁt analyses are used to justify budgets but with very broad-based, macro- economic assumptions."
1,the approach discussed in this paper is bottom-up building on the use of a single product or service arising from the use of data coming from one or more of the copernicus sentinel satellites.
1,"this allows a much ﬁner, detailed understanding of how the data is being used and hence contributing to informed decision making."
1,"a case- edited by: david haight, based, value-chain methodology has been applied through which the impact on society canadian space agency, canada can be analysed."
1,"whilst early cases focused on economic value i.e., monetized beneﬁts, reviewed by: later ones recognise that often the beneﬁts may be wider than this."
1,"for instance, luigi aldieri, organisations can beneﬁt through an increased reputation, or societal values such as university of salerno, italy xavier romão, quality of life can be felt."
1,"consequently, a set of non-monetary dimensions have been university of porto, portugal deﬁned which provide a new framework for the analysis."
1,the six dimensions are described *correspondence: in the paper and have been tested on a signiﬁcant number of recent cases.
1,the paper geoff sawyer geoff.sawyer@earsc.org describes the updated methodology and the results obtained through its application.
1,"dimitri papadakis keywords: copernicus, sentinels, beneﬁts, value-chain, cases lefteris@evenﬂow.eu specialty section: this article was submitted to introduction environmental informatics and remote sensing, the role of earth observation (eo) data from satellites to support informed decision-making and a section of the journal more efﬁcient operational processes is becoming increasingly recognized."
1,"both public actors–who frontiers in environmental science have been traditionally the driver of investments in earth observation systems - and private received: 29 october 2021 companies, are seeking to exploit information stemming from the use of eo data across a wide range accepted: 09 march 2022 of sectors (agriculture, disaster management, environmental monitoring, etc.)."
1,"yet, a thorough published: 10 may 2022 understanding of the value of this information is still, to a large extent, lacking."
1,"with increasing citation: attention being placed on environmental sustainability, digitalization and economic viability, by sawyer g, mamais e and papadakis d policy makers and industry actors alike, it becomes essential to understand and quantify the beneﬁts (2022) the six dimensions of value from the use of satellite-derived information."
1,"associated to the use of copernicus sentinel data: key findings from the in europe, this effort has centered around the copernicus programme, providing access on a full, sentinel beneﬁts study. free and open basis to the sentinel satellites’ data."
1,"this, together with other data collected by front."
1,environ.
1,"10:804862. contributing missions and ground, sea or airborne instruments, is used to support key economic or doi: 10.3389/fenvs.2022.804862 societal areas, underpinned by strategic, cross-cutting policies."
1,sentinel data are thus a key frontiers in environmental science | www.frontiersin.org 1 may 2022 | volume 10 | article 804862
2,sawyer et al.
2,"the value in earth observations component of the copernicus programme contributing to the thus, for each of the cases, sebs sets out to conduct bottom-up copernicus services and serving as a crucial data source used by quantitative and qualitative assessments of the beneﬁts using companies and public organisations alike to generate products different analytical tools appropriate for each case."
