page,p
1,using remote sensing to evaluate environmental institutional designs: a habitat conservation planning example* charles m.
1,"schweik, university of massachusetts–amherst craig w."
1,"thomas, university of massachusetts–amherst objective."
1,"satellite-based remote-sensing analysis is a beneficial, yet underused, tool for environmental policy, planning, and evaluation."
1,we identify its benefits and costs to encourage social scientists to consider the use of remote sensing as a tool for planning and evaluating environmental institutions.
1,methods.
1,we analyze two mul- tispectral landsat thematic mapper satellite images to evaluate a habitat conserva- tion plan (hcp) implemented pursuant to the endangered species act.
1,results.
1,image analysis provides useful broad spatial scale information on hcp performance that is not discernible to the naked eye or through other methodologies.
1,conclu- sions.
1,satellite image analysis should be considered as a tool for planning and evalu- ating environmental institutional designs—despite the financial costs and requisite technical training.
1,these images provide ecological and land cover change informa- tion that may not be available elsewhere.
1,we provide lessons learned to help make analysts cognizant of some important issues surrounding the use of satellite-based imagery for environmental institutional analysis.
1,"remote sensing is the science of observation at a distance (jensen, 2000; campbell, 1996)."
1,"over the last 10–20 years, land cover inventories based on remotely sensed imagery have become commonplace."
1,but the opportu- nity now exists to apply remote-sensing techniques toward the evaluation of environmental institutional performance.
1,"in our view, satellite-based remote *direct all correspondence to charles m."
1,"schweik, department of natural resource con- servation, holdsworth hall, university of massachusetts, amherst, ma 01003 <cschweik@ pubpol.umass.edu>."
1,"we would like to thank everyone in the coachella valley who shared their valuable time, particularly cameron barrows, ingrid eleck, and mark fisher."
1,"we would also like to thank the coachella valley association of governments for sharing geographic information system datasets; the university of massachusetts at amherst for funding this study; and the center for public policy and administration at the university of massachu- setts and the center for the study of institutions, population, and environmental change (cipec) at indiana university for providing in-kind support."
1,"we also thank lori schwarz and jennifer balkcom for research assistance; the social science quarterly reviewers; and bradley karkkainen, alan krupnick, and john stranlund for helpful comments on earlier versions of this article, which were presented at the 1999 association for public policy analy- sis and management annual research conference and the 2000 annual meeting of the american political science association."
1,"social science quarterly, volume 83, number 1, march 2002 ©2002 by the southwestern social science association"
2,"15406237, 2002, 1, downloaded from https://onlinelibrary.wiley.com/doi/10.1111/1540-6237.00081 by university of california, wiley online library on [01/11/2024]."
2,see the terms and conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on wiley online library for rules of use; oa articles are governed by the applicable creative commons license remote sensing and environmental institutional designs 245 sensing for this purpose is beneficial and currently underused.
2,the reasons for underuse are clear.
2,many social scientists and environmental policymak- ers have no experience with remote-sensing technology.
2,"moreover, image analysis can be expensive; it requires special computer hardware and soft- ware and skilled personnel."
2,applications of remote sensing are expensive to undertake; we do not deny that.
2,"however, when major long-term environmental planning efforts are underway or when planning or policy outcomes must be evaluated, re- mote-sensing analysis can provide information that may ultimately lead to substantial cost savings and environmental improvement over the long term."
2,"to emphasize this point, we apply a remote-sensing analysis to evaluate the performance of a particular institutional design: a broad spatial-scale habitat conservation plan."
2,we begin with a brief overview of the traditional uses of remote sensing for habitat and biodiversity protection.
2,we then describe the case study.
2,"after outlining the data collection, methods, and results, we provide some lessons learned from this experience to help environmental policymakers, planners, analysts, and scholars consider satellite-based remote sensing as a tool for evaluating or planning other environmental institutional designs."
2,traditional applications of remote sensing in habitat and biodiversity protection: land cover inventories and change analysis understanding the geographic distributions of biodiversity and its change over time is critical for environmental policy and management.
2,"throughout the 20th century, traditional mapping used aerial photographs (e.g., usda, 1988) or field samples (e.g., cole et al., 1998) for mapping biodiversity."
2,"over the last 30 years, airplane- or satellite-based technologies, such as pan- chromatic, multispectral, or hyperspectral sensors, have been used (trotter, 1991; nagendra, 2001)."
2,"satellites with panchromatic sensors measure reflectance in one wide por- tion of the electromagnetic (light) spectrum and produce one black and white image of the landscape (spot, 2001)."
2,"multispectral satellites have not one but several sensors, each sensitive to a different location along the electromagnetic spectrum."
2,"in this study, we use landsat thematic mapper (tm) imagery, which uses seven sensors sensitive to different sections of the light spectrum: blue (.45–.52 µm), green (.52–.60 µm), red (.63–.69 µm), near infrared (.76–.90 µm), mid-infrared (1.55–1.75 µm), thermal (10.4– 12.5 µm), and mid-infrared (2.08–2.35 µm)."
2,"hyperspectral images measure many—sometimes hundreds—of locations along the spectrum (e.g., jpl, 2001)."
