page,p
1,"ecosystem services 14 (2015) 67–75 contents lists available at sciencedirect ecosystem services journal homepage: www.elsevier.com/locate/ecoser how remote sensing supports mangrove ecosystem service valuation: a case study in ca mau province, vietnam tuan quoc vo a,n, c."
1,"kuenzer b, n."
1,"oppelt c a department of land resources, college of the environment and natural resources, can tho university, vietnam b german remote sensing data center, dfd, of the german aerospace center, dlr, oberpfaffenhofen, d-82234 wessling, germany c department for geography, kiel university, ludewig-meyn-str 14, 24098 kiel, germany art ic l e i nf o a b s t r a c t article history: this paper highlights the importance of using household survey and remote sensing data for the received 19 april 2013 assessment of mangrove ecosystem services (ﬁsheries and timber related products, carbon sequestra- received in revised form tion, storm protection) in ca mau province, vietnam."
1,the results indicate that remote sensing plays an 23 april 2015 important role in ecosystem service valuation in the large areas where mangroves and aquaculture are accepted 24 april 2015 mixed.
1,we estimated the value of mangrove ecosystem services using market price and replacement available online 24 may 2015 cost approaches to determine an initial assessment of the overall contribution of mangroves to human keywords: well-being.
1,"the total estimated value was us$ 600 million/year for 187,533 ha (approximately us$ 3000/ mangrove ha/year), which is slightly smaller than the gross domestic product (gdp) of the province (us$ 0.69 valuation billion in 2010)."
1,"however, this is only a partial estimate that does not consider other services (tourism, ecosystem services biodiversity, cultural and social values), due to the absence of primary data."
1,the main contribution of this remote sensing household survey study is that it is the ﬁrst to combine the approaches of remote sensing and household survey for the quantiﬁcation of mangrove ecosystem services in the mangrove-shrimp integrated system.
1,our ﬁndings indicate that the continued expansion of aquaculture has reduced the beneﬁts to local communities provided by the mangrove ecosystem.
1,& 2015 elsevier b.v.
1,all rights reserved.
1,"introduction forests continue to be destroyed by conversion to other land uses or degraded by over-exploitation (alongi, 2002; gilman et al., mangrove forest ecosystems dominate the intertidal zone of 2008; kuenzer et al., 2011), in part because of the difﬁculty of estuaries and open shorelines along many of the world's tropical valuing the goods and services they provide. and subtropical coastlines (alongi, 2002; brander et al., 2012a; giri many studies on the economic valuation of mangrove ecosys- et al., 2003; hogarth, 2007)."
1,"these ecosystems are economically tem services have been completed over the past 20 years (barbier valuable, providing direct livelihood beneﬁts to local communities and cox, 2002; barbier and strand, 1997; hussain and badola, from ﬁshery products (e.g., ﬁsh, shrimp, crabs, mollusks), timber 2010; kaplowitz, 2001; rönnbäck et al., 2007; sathirathai and products (e.g., ﬁrewood, timber, construction materials), and barbier, 2001; sathirathai, 2004; tong et al., 2004)."
1,"these studies recreational uses such as eco-tourism (alongi, 2008, 2002; have applied different valuation approaches for estimating the clough, 1998; kuenzer et al., 2011)."
1,"mangrove forest ecosystems monetary value of different mangrove ecosystem services, such as also provide a number of important ecosystem functions or avoided cost, contingent valuation, market price, production services, including habitat and nursery functions for aquatic and approach, replacement cost, and travel cost."
