page,p
1,"remote sensing of environment 247 (2020) 111892 contents lists available at sciencedirect remote sensing of environment journal homepage: www.elsevier.com/locate/rse review wetland extent tools for sdg 6.6.1 reporting from the satellite-based t wetland observation service (swos) ⁎ kathrin weisea, , rene höfera, jonas frankeb, anis guelmamic, will simonsond, javier muroe, brian o’connord, adrian strauche, stephan flinkf, jonas eberleg, eric minoh, susanne thulini, petra philipsoni, eric van valkengoedj, john truckenbrodtg, franziska zanderg, antonio sánchezk, christoph schröderk, frank thonfeldl,m, eleni fitokan, emma scottd, matthew lingd, michael schwarza, ina kunza, grit thürmera, anouska plasmeijero, lammert hilaridesf a jena-optronik gmbh, otto-eppenstein-straße 3, 07745 jena, germany b rss - remote sensing solutions gmbh, dingolﬁnger str."
1,"9, 81673 münchen, germany c research institute for the conservation of mediterranean wetlands of the tour du valat, le sambuc, 13200 arles, france d un environment programme world conservation monitoring centre, 219 huntingdon road, cambridge cb3 0dl, uk e center for remote sensing of land surfaces (zfl), university of bonn, genscherallee 3, 53113 bonn, germany f wetlands international, p.o."
1,"box 471, 6700 al wageningen."
1,"the netherlands g friedrich-schiller university, jena, remote sensing section, 07743 jena, germany h u.t."
1,"semide/emwis t.u., bp23, 06901 sophia antipolis, france i brockmann geomatics sweden ab torshamnsgatan 39, se-164 40 kista, sweden j terrasphere imaging & gis b.v."
1,"keizersgracht 125-127, 1015 cj amsterdam, the netherlands k etc-uma, ediﬁcio de investigación ada byron c\arquitecto francisco peñalosa, 29010 málaga, spain l german remote sensing data center (dfd), german aerospace center (dlr), münchener straße 20, 82234 weßling, germany m department of remote sensing, university of würzburg, oswald-külpe-str."
1,"86, 97074 würzburg, germany n the greek biotope/wetland centre (ekby) 14th km thessaloniki-mihaniona, 570 01 thermi, po.box 60394, greece o iucn european regional oﬃce, boulevard louis schmidt 64, 1040 brussels, belgium a r t i c le i n fo a b s t r a c t keywords: wetlands are the most fragile and threatened ecosystems worldwide, and also one of the most rapidly declining."
1,"wetland decline at the same time wetlands are typically biodiversity hotspots and provide a range of valuable ecosystem services, wetland management and monitoring such as water supply and puriﬁcation, disaster risk reduction, climate change adaptation, and carbon seques- sdg reporting tration."
1,"ramsar reporting pressures on wetlands are likely to further intensify in the coming decades due to increased global demand for sentinel land and water, and due to climate change."
1,"stakeholders at all levels of governance have to be involved to slow, copernicus stop and reverse these processes."
1,"however, the information they need on wetland extent, their ecological character, and their ecosystem services is often scattered, sparse and diﬃcult to ﬁnd and access."
1,"the freely available sentinel satellite data of the copernicus programme, as well as the landsat archive, provide a comprehensive basis to map and inventory wetland areas (extent), to derive information on the ecological status, as well as long- and short-term trends in wetland characteristics."
1,"however, making use of these earth observation (eo) resources for robust and standardized wetland monitoring requires expert knowledge on often complex data processing techniques, which impedes practical implementation."
1,"in this respect, the satellite- based wetland observation service (swos), a horizon 2020 funded project (www.swos-service.eu) has devel- oped and made disseminated monitoring approaches based on eo data, speciﬁcally designed for less experienced satellite data users."
