page,p
1,computers and electronics in agriculture 38 (2003) 175 /198 www.elsevier.com/locate/compag reducing the cost of multi-spectral remote sensing: combining near-infrared video imagery with colour aerial photography g.g.
1,"wright a, k.b."
1,"matthews a,*, w.m."
1,"cadell a, r."
1,"milne b,1 a land use systems, macaulay land use research institute, craigiebuckler, aberdeen ab15 8qh, uk b department of engineering, the robert gordon university, schoolhill, aberdeen ab10 1fr, uk received 24 april 2002; received in revised form 19 august 2002; accepted 26 september 2002 abstract land managers are often confronted with management problems that could be addressed using decision support or management information systems."
1,"the use of such tools, however, depends on the availability of appropriately resolved spatial data."
1,one source of such data is multi-spectral remotely sensed imagery.
1,"the cost of such imagery, particularly where environmental goals are most important, is often prohibitive."
1,"even when the cost of such imagery can be met, other factors, such as cloud cover for satellite-based systems or sensor scheduling for sophisticated airborne systems, may mean that imagery is not available."
1,this paper investigates the utility of a system that combines near-infrared imagery from a video camera with conventional medium-format aerial photography deployed in a light aircraft platform.
1,"previously, imagery obtained from video cameras has suffered from limited spectral range and from significant image motion effects."
1,these problems were eliminated by the use of an electronic-shutter charge-coupled device video camera with a strong ir response.
1,the systems components and the approach to their operational deployment are described and the options for transforming the raw imagery into survey coverage discussed.
1,the image quality and cost is presented for a site characterisation application where the aim is the generation of normalised difference vegetation index values.
1,it is concluded that the system has significant potential utility for decision support and land-management applications.
1,# 2002 elsevier science b.v.
1,all rights reserved.
1,keywords: videography; multi-spectral; metric; survey; ndvi * corresponding author.
1,tel.: /44-1224-498200; fax: /44-1224-311556 e-mail address: k.matthews@macaulay.ac.uk (k.b.
1,matthews).
1,1 tel.: /44-1224-262400; fax: /44-1224-262444. 0168-1699/02/$ - see front matter # 2002 elsevier science b.v.
1,all rights reserved.
1,pii: s 0 1 6 8 - 1 6 9 9 ( 0 2 ) 0 0 1 4 1 - 2
2,176 g.g.
2,wright et al.
2,/ computers and electronics in agriculture 38 (2003) 175 /198 1.
2,introduction 1.1.
2,"context developers of computer-based decision support and management information systems have sought to assist land managers making a wide range of increasingly complex decisions (matthews et al., 1999)."
