page,p
1,"isprs journal of photogrammetry and remote sensing 123 (2017) 1–19 contents lists available at sciencedirect isprs journal of photogrammetry and remote sensing journal homepage: www.elsevier.com/locate/isprsjprs incorporation of satellite remote sensing pan-sharpened imagery into digital soil prediction and mapping models to characterize soil property variability in small agricultural fields yiming xu a,b,⇑, scot e."
1,"smith a,b, sabine grunwald a,c, amr abd-elrahman b,d, suhas p."
1,"wani e a school of natural resource and environment, university of florida, 103 black hall, po box 116455, gainesville, fl 32611, usa b school of forest resources and conservation – geomatics program, university of florida, 301 reed lab, po box 110565, gainesville, fl 32611-0565, usa c pedometrics, landscape analysis and gis laboratory, soil and water science department, university of florida, 2181 mccarty hall, po box 110290, gainesville, fl 32611, usa d gulf coast rec/school of forest resources and conservation – geomatics program, university of florida, 1200 n."
1,"park road, plant city, fl 33563, usa e international crops research institute for the semi-arid tropics (icrisat), patancheru, 502324 hyderabad, india a r t i c l e i n f o a b s t r a c t article history: soil prediction models based on spectral indices from some multispectral images are too coarse to char- received 30 july 2016 acterize spatial pattern of soil properties in small and heterogeneous agricultural lands."
1,image pan- received in revised form 21 october 2016 sharpening has seldom been utilized in digital soil mapping research before.
1,this research aimed to ana- accepted 2 november 2016 lyze the effects of pan-sharpened (pan) remote sensing spectral indices on soil prediction models in available online 24 november 2016 smallholder farm settings.
1,"this research fused the panchromatic band and multispectral (ms) bands of worldview-2, geoeye-1, and landsat 8 images in a village in southern india by brovey, gram-schmidt keywords: and intensity-hue-saturation methods."
1,random forest was utilized to develop soil total nitrogen (tn) image pan-sharpening random forest and soil exchangeable potassium (kex) prediction models by incorporating multiple spectral indices from digital soil mapping the pan and ms images.
1,"overall, our results showed that pan remote sensing spectral indices have sim- smallholder farm settings ilar spectral characteristics with soil tn and kex as ms remote sensing spectral indices."
1,there is no soil soil nutrients prediction model incorporating the specific type of pan-sharpened spectral indices always had the stron- south india gest prediction capability of soil tn and kex.
1,"the incorporation of pan-sharpened remote sensing spectral data not only increased the spatial resolution of the soil prediction maps, but also enhanced the predic- tion accuracy of soil prediction models."
1,"small farms with limited footprint, fragmented ownership and diverse crop cycle should benefit greatly from the pan-sharpened high spatial resolution imagery for soil property mapping."
1,our results show that multiple high and medium resolution images can be used to map soil properties suggesting the possibil- ity of an improvement in the maps’ update frequency.
1,"additionally, the results should benefit the large agricultural community through the reduction of routine soil sampling cost and improved prediction accuracy."
1,"ó 2016 international society for photogrammetry and remote sensing, inc."
1,(isprs).
1,published by elsevier b.v.
1,all rights reserved.
1,"introduction ing/leaching patterns, water requirements, and overall health of the soil-crop-hydrology continuum."
1,"sustainable soil management rainfed agroecosystems occupy 80 million ha in arid, semi-arid, can help reduce the risk of soil degradation and improve the food and sub-humid climate zones in india, constituting nearly 57% of security status of indigenous farmers in poor rural smallholder the cultivated area (srinivasarao et al., 2013b)."
1,soil plays a pivotal farm settings in the long term.
1,"digital soil mapping (dsm) is an role for grain output because it impacts crop growth, nutrient hold- update-to-date technique that can utilize remote sensing, geo- statistics and data mining techniques to predict soil properties across various spatial and temporal scales (mcbratney et al., ⇑ corresponding author at: school of natural resource and environment, 2003), and it has high potential to help smallholder farmers university of florida, 103 black hall, po box 116455, gainesville, fl 32611, usa. develop sustainable soil management schemes, and increase food e-mail addresses: xuyimi@ufl.edu (y."
1,"xu), sesmith@ufl.edu (s.e."
1,"smith), security and soil security. sabgru@ufl.edu (s."
1,"grunwald), aamr@ufl.edu (a."
1,"abd-elrahman), s.wani@cgiar.org (s.p."
1,"wani). http://dx.doi.org/10.1016/j.isprsjprs.2016.11.001 0924-2716/ó 2016 international society for photogrammetry and remote sensing, inc."
1,(isprs).
1,published by elsevier b.v.
1,all rights reserved.
2,xu et al.
2,"/ isprs journal of photogrammetry and remote sensing 123 (2017) 1–19 remote sensing images allow derivation of biophysical proper- the relationships between soil properties (total nitrogen (tn) and ties relevant for crop growth and soil conditions at different scales exchangeable potassium (kex)) and various pan and ms remote covering large regions (marshall and thenkabail, 2015; wang et al., sensing spectral indices; and 3) assessed the effects of the incorpo- 2016)."
2,"spectral indices derived from remote sensing images ration of selected pan spectral indices on soil prediction models. become an important source of environmental variables in digital soil mapping with limited data (mcbratney et al., 2003)."
2,due to 2.
2,"materials and methods the limitation of relatively low spatial resolution, some multispec- tral images are too coarse to identify ground features and provide 2.1."
2,study area description spectral information required in fine scale geoscientific research.
2,"some operating earth observation satellites such as landsat 8, kothapally (latitude 17°200 to 17°240 n and longitude 78°50 to worldview-3, and spot have a panchromatic band that provides 78°80 e, elevation 600–640 m) is a smallholder village located in higher spatial resolution compared with multispectral bands."
2,"ranga reddy district, telangana state of india."
2,"it is nearly 40 km image fusion, a classical remote sensing technique, is the combina- from the international crops research institute for the semi-arid tion of two or more images to form a new image using certain algo- tropics (icrisat) center, and 74 km distance from the city of rithm (van and pohl, 1994)."
2,it is aimed at improving spatial hyderabad.
2,"the village of kothapally is characterized by an undu- resolution, enhancing structural and textural details, and preserv- lating topography with an average slope of 2.5%."
2,the vertisols ing the spectral reliability of the original multispectral data simul- and associated soils make up 90% of the area.
2,"the annual rainfall taneously (zhang, 2010)."
2,"ehlers et al. (2010) classified the image is 802 mm (1999–2008) and soil depth ranges from 30 to 120 cm fusion methods into three levels: pixel level, feature level, and (sreedevi et al., 2004)."
2,"in the rainy season, the main cropping sys- decision level."
2,"pixel level fusion methods, also called image pan- tems are cotton (gossypium hirsutum) and rice (oryza sativa)."
2,"in sharpening methods, are the most frequently used methods for the dry season, sorghum (sorghum bicolar) is the predominant crop multispectral image fusion (ehlers et al., 2010; zhang, 2010). type."
2,"major crop rotation is cotton-sorghum and cotton-tomato in according to ehlers et al. (2010), pixel level fusion methods can the rainy-dry season."
2,"according to sreedevi et al. (2004), there are also be divided into three classes."
2,"the first class is color-related 274 households composed of 1493 people in the village, and the methods such as the intensity-hue-saturation (ihs) method."
2,the average landholding per household is 1.4 ha.
2,smallholder farmers second class is band statistics methods such as the gram–schmidt in the village utilized ground water to irrigate the crops (sreedevi (gs) method.
2,"the third class is based on arithmetic operations such et al., 2004)."
2,"the application of chemical fertilizers, pesticides and as the brovey method. other agricultural input is not common in the village due to the lim- soil prediction maps based on some multispectral indices are ited financial resources of smallholder farmers (wani et al., 2003). too coarse and cannot characterize the micro-variation of soil properties in small scale farmland."
2,the spectral data from pan- 2.2.
2,"field sampling and laboratory analysis sharpened images have the potential to be incorporated in dsm research in fine scale areas, such as smallholder farm settings."
