page,p
1,基于多样性特征协同技术的飓风前后森林破坏遥感监测 diversity features collaboration technology for monitoring forests before and after hurricanes by remote sensing 钟娴;冯伟;张亚丽;全英汇;黄文江;邢孟道 引用本文: 钟娴，冯伟，张亚丽，全英汇，黄文江，邢孟道.2022.
1,基于多样性特征协同技术的飓风前后森林破坏遥 感监测.
1,遥感学报，26（9）： 1838-1848 doi: 10.11834/jrs.20210230.
1,zhong x，feng w，zhang y l，quan y h，huang w j and xing m d.
1,diversity features collaboration technology for monitoring forests before and after hurricanes by remote sensing.
1,national remote sensing bulletin， 26（9）：1838-1848 doi: 10.11834/jrs.20210230.
1,在线阅读 view online: http://www.ygxb.ac.cn/thesisdetails?
1,"columnid=19407245 ___________________________________________ 您可能感兴趣的其他文章 articles you may be interested in 面向对象与卷积神经网络模型的gf-6 wfv影像作物分类 object-oriented crop classification for gf-6 wfv remote sensing images based on convolutional neural network 遥感学报.2021,25(2):549-558."
1,"面向不平衡高光谱遥感分类的smote和旋转森林动态集成算法 dynamic ensemble algorithm of smote and rotation forest for imbalanced hyperspectral remote sensing classification 遥感学报.2022,26(11):2369-2381."
1,"结合深度学习的高光谱与多源遥感数据融合分类 deep fusion of hyperspectral images and multi-source remote sensing data for classification with convolutional neural network 遥感学报.2021,25(7):1489-1502."
1,"玉米大豆生长中后期遥感辨识的指示性特征研究 indicative features for identifying corn and soybean using remote sensing imagery at middle and later growth season 遥感学报.2022,26(7):1410-1422."
1,"高分一号卫星高时空分辨率植被指数产品验证与分析 verification and analysis of high spatial-temporal resolution vegetation index product based on gf-1 satellite data 遥感学报.2023,27(3):665-676."
2,1007-4619（2022）09-1838-11 national remote sensing bulletin 遥感学报 基于多样性特征协同技术的飓风前后 森林破坏遥感监测 钟娴 1，冯伟 1，张亚丽 1，全英汇 1，黄文江 2，邢孟道 1，3 1.
2,"西安电子科技大学 电子工程学院, 西安 710071; 2."
2,"中国科学院空天信息创新研究院, 北京 100094; 3."
2,"西安电子科技大学 前沿交叉研究院, 西安 710071 摘 要：对被飓风破坏的森林进行变化监测与灾害评估是遥感技术的一个重要应用，遥感影像的特征信息提取 对森林遥感监测的效果至关重要。"
2,多样性特征结合可以有效提高对森林变化的监测精度。
2,然而，当前的空间信 息如纹理特征的获取算法依旧保留着传统的固定式计算模式，一直面临着特征数量和邻域参考范围之间难以均 衡的问题。
