page,p
1,"article mapping of potential fuel regions using uncrewed aerial vehicles for wildfire prevention maria eduarda andrada 1,2, *,† , david russell 2,† , tito arevalo-ramirez 3 , winnie kuang 2 , george kantor 2 and francisco yandun 2 1 institute of systems and robotics, university of coimbra, 3030-290 coimbra, portugal 2 robotics institute, carnegie mellon university, pittsburgh, pa 15213, usa; davidrus@andrew.cmu.edu (d.r.); wkuang@andrew.cmu.edu (w.k.); gkantor@andrew.cmu.edu (g.k.); fyandun@andrew.cmu.edu (f.y.)"
1,"3 department of mechanical and metallurgical engineering, department of electrical engineering, pontificia universidad católica de chile, santiago 8331150, chile; tito.arevalo@uc.cl * correspondence: duda.andrada@isr.uc.pt † these authors contributed equally to this work."
1,"abstract: this paper presents a comprehensive forest mapping system using a customized drone payload equipped with light detection and ranging (lidar), cameras, a global navigation satellite system (gnss), and inertial measurement unit (imu) sensors."
1,the goal is to develop an efficient so- lution for collecting accurate forest data in dynamic environments and to highlight potential wildfire regions of interest to support precise forest management and conservation on the ground.
1,"our paper provides a detailed description of the hardware and software components of the system, covering sensor synchronization, data acquisition, and processing."
1,"the overall system implements simultane- ous localization and mapping (slam) techniques, particularly fast lidar inertial odometry with scan context (fastlio-sc), and lidar inertial odometry smoothing and mapping (liosam), for accurate odometry estimation and map generation."
1,"we also integrate a fuel mapping representation based on one of the models, used by the united states secretary of agriculture (usda) to classify fire behavior, into the system using semantic segmentation, lidar camera registration, and odometry as inputs."
1,real-time representation of fuel properties is achieved through a lightweight map data structure at 4 hz.
1,"the research results demonstrate the effectiveness and reliability of the proposed citation: andrada, m.e."
1,"; russell, d.; system and show that it can provide accurate forest data collection, accurate pose estimation, and arevalo-ramirez, t."
1,"; kuang, w.; comprehensive fuel mapping with precision values for the main segmented classes above 85%."
1,"qual- kantor, g."
1,"; yandun, f."
1,mapping of potential fuel regions using itative evaluations suggest the system’s capabilities and highlight its potential to improve forest uncrewed aerial vehicles for management and conservation efforts.
1,"in summary, this study presents a versatile forest mapping wildfire prevention."
1,"forests 2023, 14, system that provides accurate forest data for effective management."
1,1601. https://doi.org/10.3390/ f14081601 keywords: semantic mapping; simultaneous localization and mapping (slam); lidar; forest inventory; autonomous drones; forest monitoring; remote sensing; flammable material detection; academic editor: chong xu vegetation classification received: 16 june 2023 revised: 19 july 2023 accepted: 3 august 2023 published: 8 august 2023 1.
1,"introduction the number of uncontrolled wildfires around the globe is increasing due to a rise in global temperature and extreme weather brought on by climate changes in recent copyright: © 2023 by the authors. years [1,2]."
1,"longer periods of high temperatures lead to drier seasons and the accumulation licensee mdpi, basel, switzerland. of combustible material in the forests."
1,these conditions yield an increase in uncontrolled this article is an open access article and harmful wildfires which can be worsened by strong winds or thunderstorms.
1,"without distributed under the terms and active and stringent measures to monitor and manage forest regions, it can be difficult to conditions of the creative commons prevent and contain uncontrolled wildfires and the resulting irreversible damage."
1,"this is attribution (cc by) license (https:// an especially challenging undertaking due to the vast size of typical forests, the danger creativecommons.org/licenses/by/ posed, and the demand for highly intensive labor to fight fires or execute preventive 4.0/). maintenance actions."
1,"forests 2023, 14, 1601. https://doi.org/10.3390/f14081601 https://www.mdpi.com/journal/forests"
2,"forests 2023, 14, 1601 2 of 20 information collected using remote sensing methods (e.g., satellites or aircraft) can accurately monitor forestry environments while reducing labor and operational costs [3,4]."
2,"in particular, uncrewed aerial vehicles (uavs) have gained attention in forestry research and operations (among other industrial applications) since they are easily deployable, provide a time-flexible operation, and can produce excellent spatial resolution measurements with different sensing modalities (e.g., visual, thermal, spectral or laser range) [5]."
2,"uavs have garnered interest as a promising remote sensing modality due to their accessibility, rapid maneuverability, operational range, low operational costs, and ability to provide high- resolution data."
2,"environmental reconstruction of sensor data collected from uavs can help create higher fidelity virtual copies of the environment (digital twins), holding the information that may be beneficial for inventorying and mapping purposes."
2,uavs are also especially suitable for assisting humans when working in large dangerous areas where access is limited.
