page,p
1,"data & policy (2023), 5: e16 doi:10.1017/dap.2023.12 research article examining the value of satellite data in halting transmission of polio in nigeria: a socioeconomic analysis mariel borowitz1 , janet zhou2, krystal azelton3 and isabelle-yara nassar1 1 sam nunn school of international affairs, georgia institute of technology, atlanta, ga, usa 2 bill and melinda gates foundation, seattle, wa, usa 3 secure world foundation, washington, dc, usa corresponding author: mariel borowitz; email: mariel.borowitz@inta.gatech.edu received: 23 december 2021; revised: 30 january 2023; accepted: 26 march 2023 keywords: data policy; global health; satellite; socioeconomic; space abstract in 2014, nigeria halted transmission of wild poliovirus for the first time in its history."
1,a critical enabling component in this historic achievement was the use of satellite data to produce more accurate maps and population estimates used in planning and implementing vaccination campaigns.
1,this article employs a value-of-information approach to estimate the net socioeconomic benefits associated with this use of satellite data.
1,"we calculate the increase in the likelihood of halting transmission of polio associated with the use of satellite-based information compared to traditional data sources, and we consider the benefits associated with savings to the healthcare system as well as health benefits."
1,"using a conservative approach focused on just 1 year of benefits, we estimate net socioeconomic benefits of between $46.0 million and $153.9 million."
1,"in addition to these quantified benefits, we also recognize qualitative benefits associated with improving human health, reaching marginalized communities, and building capacity among local populations."
1,we also explore the substantial benefits associated with follow-on projects that have made use of the satellite-based data products and methodologies originally developed for the nigeria polio eradication effort.
1,policy significance statement understanding the value of satellite data is important in order to guide decisions regarding government investment in satellite system design and development as well as government purchases of commercial satellite data.
1,awareness of the value of satellite applications can also help to promote further use of this resource to address a broad array of issues.
1,"introduction in the 1980s, polio crippled an estimated 350,000 children per year and was rampant in 125 countries."
1,"since the world health assembly called for eradication of the disease in 1988, more than 10 million people have been spared the lifelong disability attributed to polio, largely achieved through vaccination campaigns (tebbens et al., 2010)."
1,"when a sufficient percentage of the population receives the oral polio vaccine (opv), transmission of polio is halted, and with persistent effort, the disease can be eradicated."
1,"© the author(s), 2023."
1,published by cambridge university press.
1,"this is an open access article, distributed under the terms of the creative commons attribution licence (http://creativecommons.org/licenses/by/4.0), which permits unrestricted re-use, distribution and reproduction, provided the original article is properly cited. https://doi.org/10.1017/dap.2023.12 published online by cambridge university press"
2,e16-2 mariel borowitz et al.
2,"the most recent country to successfully interrupt transmission of the disease was nigeria, which was declared polio-free in august 2020 (world health organization nigeria, 2020)."
2,"this was an impressive achievement, given that just 8 years earlier, nigeria had accounted for more than half of all wild polio1 cases worldwide and was one of only three nations in the world—along with pakistan and afghanistan— where polio remained endemic (guglielmi, 2020)."
2,"nigeria had been carrying out polio vaccine campaigns for decades, but the country reached a turning point due to a number of important interventions after 2012."
2,"one element of these interventions—and a key ingredient in achieving this historic feat – relied on satellite data (center for international earth science information network [ceisin], 2020)."
2,"interrupting transmission of disease requires vaccination of a sufficient proportion of the population, and to ensure this, those planning vaccination campaigns must have an accurate understanding of the size and location of the population."
2,"in the case of polio, campaigns focus specifically on vaccinating children under 5 years old."
2,"however, in many places where these campaigns occur, detailed maps do not exist, official censuses are infrequently conducted, and the population is changing dynamically, with rapid urbanization and the rise of new settlements."
2,"due to these trends, the traditional methods of planning vaccine campaigns and estimating populations result in inaccuracies, with whole settlements missed and misestimates of the resources needed to effectively eradicate the disease."
2,"under these circumstances, an insufficient number of children receive vaccinations in the targeted area and disease transmission continues."
2,"in the case of nigeria, researchers were able to use satellite data to develop more accurate maps and population estimates."
2,these resources proved essential to the polio eradication efforts in the country.
2,"in this article, we review these efforts and provide an estimate of the socioeconomic benefits associated with the use of satellite data for this purpose."
2,"we first discuss the importance of carrying out this type of socioeconomic valuation, particularly with regard to earth observing satellites, and review approaches to doing so."
2,"we then move into the details of our case, summarizing the history of polio eradication efforts in nigeria and discussing how satellite data were used to inform and support these efforts."
2,"we provide information and background on the data used to carry out our analysis, including a discussion of definitions, sources, and the assumptions made, and we explain the methodology used to place a quantitative value on these efforts."
2,we then present the analysis and the estimated benefits.
2,"the article ends with a discussion of the limitations of this approach, as well as the qualitative benefits associated with these efforts and the potential for future work in this area."
2,estimating the value of satellite data accurately quantifying socioeconomic benefits associated with the use of satellite data is important.
2,"earth observing satellites are often developed by governments and paid for by taxpayers, and an individual earth observation satellite typically costs tens or even hundreds of millions of dollars to build and operate (abrams et al., 2014)."
2,ensuring that the resulting data provides benefits that outweigh these costs is essential to making efficient investments in earth observation technology now and in the future.
2,understanding and quantifying the value of satellite data is necessary for good decision-making.
2,this remains important even with regard to commercial satellite remote sensing data—which were the type of data used to support polio eradication efforts in nigeria.
2,"well-established satellite remote sensing companies, such as maxar, rely on governments for the majority of their revenue."
2,"we are currently seeing a wave of new commercial remote-sensing companies aiming to bring new types of satellite data to the market, and it is likely that new companies will also see governments as essential customers (erwin, 2021)."
2,"as the government makes decisions regarding whether to purchase these data, how much to 1 wild polio virus is the original form of the virus and the primary focus of eradication efforts."
2,"when a community has relatively low levels of immunity, it is possible for the weakened form of the virus contained in the oral polio vaccine to revert to a vaccine- derived polio virus capable of causing paralysis."
2,"when the vaccine-derived virus circulates in the community, it is referred to as circulating vaccine-derived polio virus (cvdpv). https://doi.org/10.1017/dap.2023.12 published online by cambridge university press"
3,"data & policy e16-3 purchase, and at what price, it must have a good understanding of the types and total value of benefits that are likely to result from the use of the data."
3,"while there is general agreement that satellite data are valuable, placing a quantitative value on the data are challenging for a number of reasons."
3,"first, satellite data, like data in general, are non-rival."
3,"when one person uses the data, it does not reduce the amount available for others."
3,"ideally, we would like to understand all of the potential uses of a particular satellite data set to determine its total socioeconomic benefit."
3,"however, experience has shown that often the full set of uses of the data cannot be determined in advance."
3,"government agencies have found that a large portion of new applications and scientific publications rely on older satellite data made available through their archives (wulder et al., 2012)."
3,"in addition, while satellite data are frequently used by private companies that generate revenue from its use, it is perhaps most often used by scientists, government agencies, and non-profit organizations to generate new scientific knowledge or to develop new applications."
3,"for example, satellite data are used by the u.s."
3,"department of agriculture to predict global agricultural production, by the u.s."
3,"forest service to track wildfires, and by non-profit organizations to monitor illegal forestry and detect potential human rights abuses (kansakar and hossain, 2016)."
3,"these types of applications are clearly valuable, but placing a dollar value on these efforts is difficult because they do not result in revenue or other easily quantifiable benefits."
3,one approach to improve our understanding of the value of satellite data is to undertake rigorous assessments of specific uses of satellite data to determine a dollar value associated with particular applications.
3,"by building a library of these examples, it is possible to get a more concrete understanding of the scope of the socioeconomic value of satellite data."
3,"nasa, in partnership with the non-profit organization resources for the future, created the consortium for the valuation of applications benefits linked to earth science (valuables) to fund projects that estimate the value of satellite data in a variety of areas.2 valuables projects, including this one, take a value of information (voi) approach, focusing on the role of satellite data in a decision-making context."
3,"they examine how satellite data enabled an improvement in decision-making and determine the economic value of that improvement (resources for the future, 2021)."
3,"to do this, projects typically examine a counterfactual, comparing the outcome that would result if action was taken based on information based on satellite data to the outcome that would result if action was taken based on information not informed by satellite data."
3,"the difference in the net socioeconomic benefits between these two outcomes represents the value of the satellite data (resources for the future, 2021)."
3,this project uses this methodology to examine the use of satellite data to help plan polio vaccination campaigns in nigeria.
3,it is worth noting that this approach is also not without challenges.
3,"in particular, it can be very challenging to develop a credible understanding of what the outcomes may have been without information informed by satellite data."
3,there is uncertainty regarding the specifics of the alternative information as well as the decisions that would have been made based on that data.
3,"in addition, we only have a limited ability to identify and control for other factors that have also changed, in addition to the satellite-based information, such as project organization, management decisions, human experience, and broader societal and political context."
3,"later sections address our approaches to addressing these issues, as well as areas of residual uncertainty."
3,"polio eradication in nigeria and the role of satellite data in 1977, the world health organization created the expanded program on immunization with the goal of worldwide eradication of six illnesses, including poliomyelitis, the viral disease which causes polio (world health organization, 2023a)."
3,the program was introduced in nigeria in coordination with the national government.
3,"unfortunately, political and economic instability limited the initial progress of this 2 this research was funded as part of the valuables program. https://doi.org/10.1017/dap.2023.12 published online by cambridge university press"
4,"e16-4 mariel borowitz et al. effort, and less than 10% of the population was immunized in the first 5 years of the program (renne, 2006)."
4,"the program was reinvigorated in 1988 with the creation of the global polio eradication initiative (gpei), a public–private partnership with five partners: the world health organization, rotary international, the u.s."
4,"centers for disease control and prevention, the united nations children’s fund, and the bill & melinda gate’s foundation (partners, 2022)."
4,"still, nigeria had mixed success in its efforts, with decreases in polio cases in the 1990s followed by growth in the 2000s, with a peak of 1,144 cases in 2006 (renne, 2006; world health organization, 2023b)."
4,the high level of cases in nigeria also affected the rest of the world.
4,"between 2003 and 2013, more than 26 previously polio-free countries experienced polio outbreaks that were traced back to nigeria (etsano et al., 2015)."
4,"with renewed efforts, nigeria was able to bring the number of wpv cases down to 56 by 2010 (world health organization, 2023b)."
4,"introduction of satellite-based products and applications to polio vaccination campaign planning cases began to increase once again in 2011, and a number of factors were identified that were hindering progress, including security issues and lack of strong government support (nasir et al., 2016)."
4,"in addition to these challenges, there was a recognition that more fundamental challenges—including inaccurate maps and lack of tracking and accountability—were also contributing to these difficulties and resulting in children being chronically missed by vaccinators."
