page,p
1,article optimizing observing systems using aspen: an analysis tool to assess the benefit and cost effectiveness of observations to earth system applications sid-ahmed boukabara and ross n.
1,"hoffman abstract: the advanced systems performance evaluation tool for noaa (aspen) is developed to help support designing and evaluating existing and planned observing systems in terms of comparative assessment, trade-offs analysis, and design optimization studies."
1,"aspen is a dynamic tool that rapidly assesses the benefit and cost effectiveness of environmental data obtained from any set of observing systems, whether ground-based or space-based, whether an individual sensor or a collection of sensors."
1,"the aspen assessed cost effectiveness accounts for the level of ability to measure the environment, the cost(s) associated with acquiring these measurements, and the degree of usefulness of these measurements to users and applications."
1,"it computes both the use benefit, measured as a requirements-satisfaction metric, and the cost effectiveness (equal to the benefit-to-cost ratio)."
1,aspen provides a uniform interface to compare the performance of different observing systems and to capture the requirements and priorities of applications.
1,this interface describes the environment in terms of geophysical observables and their attributes.
1,a prototype implementation of aspen is described and demonstrated in this study to assess the benefits of several observing systems for a range of applications.
1,"aspen could be extended to other types of studies, such as assessing the cost effectiveness of commercial data to applications in all the noaa mission service areas, and ultimately to societal application areas, and thereby become a valuable addition to the observing systems assessment toolbox."
1,"keywords: remote sensing; satellite observations; sensitivity studies; decision support https://doi.org/10.1175/bams-d-22-0004.1 corresponding author: sid-ahmed boukabara, sid.boukabara@noaa.gov in final form 7 july 2022 ©2022 american meteorological society for information regarding reuse of this content and general copyright information, consult the ams copyright policy."
1,american meteorological society o unauthenticated 2 e241711/23/24 06:04 pm utc c to b e r 2 0 2| downloaded
2,"affiliations: boukabara—noaa/nesdis/office of systems architecture and advanced planning, silver spring, maryland; hoffman—noaa/nesdis/center for satellite applications and research (star), and cooperative institute for satellite earth system studies, university of maryland, college park, college park, maryland t he earth-observing satellite constellation (eosc), which includes all space-based components of the global observing system, currently includes platforms operating in both geostationary earth orbits (geo) and low-earth orbits (leo) at various inclinations."
2,"a number of these sensors are radiometers that measure the microwave, infrared, ultraviolet, and visible spectra."
2,"other instruments include radio occultation sensors, scatterometers, lightning mappers, radars, altimeters, and space weather sensors."
2,"space and solar sensors operate in these leo and geo orbits, sometimes hitching a ride on eosc satellites as well as being stationed at the much more distant, gravitationally stable, earth–sun lagrange points."
2,"together, these observing systems provide for a global environmental monitoring system that covers the atmosphere, biosphere, hydrosphere, oceans, cryosphere, near-space environment, and the sun (boukabara et al."
2,2021).
2,"products are derived on a variety of temporal and geographic scales that are used for a wide range of short- and medium-term warnings, long- term forecasting, and other climate, space weather, ocean, terrestrial weather, and water cycle applications that are critical to the earth system user community and society in general."
2,"space agencies around the globe have well-established plans to deploy and exploit earth- observing satellites for the next two decades (e.g., simmons et al."
2,2016).
