page,p
1,space policy 15 (1999) 149 } 158 how valuable is remotely sensed information?
1,"the case of tropical deforestation modelling ahmed bounfour *, eric f."
1,"lambin universite& marne la valle& e, 5 bld descartes, champs-sur-marne, 77454 marne-la-valleh e, cedex 2, france department of geography, universite& catholique de louvain, place louis pasteur, b-1348 louvainula-neuve, belgium abstract an economic approach to remote-sensing applications needs to be developed to demonstrate the cost}advantage ratio of earth observation for decision makers."
1,"this article aims to conduct such an analysis of the information derived by remote sensing for a speci""c operational project, following some general chemical consideration about the economic value the economic value of information highlight that: of information."
1,"in our study of tropical deforestation modelling the main advantages of the remote- sensing-based information system came from: (i) an improvement of decision making as decisions could be made with a higher degree of con""dence, leading to a shorter and less expensive decision cycle, and to earlier implementation of decisions; and (ii) avoidance of bad decisions, as the rate of project failure, and the associated resource wastes, was expected to decrease as a result of the availability of more accurate information."
1,the costs of the model development and calibration and model implementation are also discussed.
1,"the economic approach is then generalised to three generic categories of remote-sensing projects (private, public with short-term implications and public with long-term implications)."
1, 1999 elsevier science ltd.
1,all rights reserved.
1,introduction operational project.
1,"this case study approach will illus- trate how to quantify the economic value of a project with the multiplicity of its satellite systems and their using an economic logic. related applications, earth observation (eo) is now en- tering an &industrialisation' phase in which data, value- added services and application projects are expected to 2."
1,"background have a real value for their users; hence, cost e!"
1,ectiveness of eo becomes a major constraint.
1,"today, eo is still 2.1."
1,valuing information dominated by a technical approach.
1,pilot and pre-opera- tional projects have been carried out on a relatively large the economic literature on the value of information in scale.
1,"however, the economic dimension of these projects a public or private perspective provides insights for the is not su$ciently supported by standard analyses."
1,there eo sector.
1,"some approaches consider the problem of the is a need for the development of an economic approach value of information, whereas others are more interested to remote-sensing applications, demonstrating clearly in the value of projects or systems."
1,some economists view the cost advantage of eo for decision makers.
1,in a re- the concept of information as a reduction of uncertainty lated paper we propose a rigorous framework for evalu- [2].
1,"in that respect, information has an economic value ating the economic value of eo information, taking and is worth being acquired and transmitted even at speci""cally into account the viewpoint of end-users and some cost."
1,arrow [2] considers that information could funding organisations [1].
1,"such an approach should pro- be viewed as a commodity, but only to a certain extent. vide players with basic economic arguments that are two salient characteristics of information prevent it from still missing for their development."
1,"the main objective of being fully a commodity, as represented in the general this paper is to conduct a cost-advantage analysis of the equilibrium model: (1) it is by de""nition indivisible in its information derived by remote sensing for a speci""c, use; and (2) it is di$cult to appropriate."
1,this approach has been developed by a few researchers [3].
1,malchup di!
1,"erentiates between information, which is a #ow, and * corresponding author. knowledge, which is a stock [4]."
1,he emphasised the 0265-9646/99/$ - see front matter  1999 elsevier science ltd.
1,all rights reserved.
1,pii: s 0 2 6 5 - 9 6 4 6 ( 9 9 ) 0 0 0 2 5 - 9
2,150 a.
2,"bounfour, e.f."
2,lambin / space policy 15 (1999) 149}158 impossibility of valuing information before knowing it 2.3.
2,information: public or private good ?
2,(which is known as the arrow paradox).
2,"analysing possibilities to quantify information, law- economists distinguish between public and private rence quoted in repo [5] emphasised that the informa- goods."
2,"such distinction is very important to the present tion must not only be known to the individual, but it research."
2,the main criterion used is that of rivalry.
2,a must also be understood.
2,"`it is only after the message has product is a public good if it conveys bene""ts to indi- been received, the impact analysed, the appropriate ac- viduals with no interdependence (or rivalry) in terms of tion taken and the true state of the world obtained that consumption."
2,"these goods are supplied jointly to the one can put a value on the message.a thus, the value of whole community which supports the whole costs and information could only be considered retrospectively."
2,"in shares the whole bene""ts."
2,"in the marketplace, we observe the process of determination of the value of information a co-existence of information with private status (patents, for the decision maker, carter identi""es three points at copyrights), public status (weather forecasts) or mixed which the information can be valued: (i) before the in- status (agricultural statistics)."
2,"information of a public formation or data have been collected or extracted, i.e. nature is still important, whatever the e!"
2,"orts to privatise before the decision maker takes any decision or de""nes information. any option; (ii) after the decision maker has considered all the available information and decided what options to be implemented; (iii) when the options have been imple- 3."
2,method: cost}bene5t analysis to value information mented * i.e. when the e!
2,ects of these actions on the external or internal environment can be assessed.
2,carter 3.1.
2,"general approach suggests three interrelated approaches to value informa- tion: using the bayesian approach, generally presented in cost}bene""t analysis (cba) was developed during the the form of a decision tree; through the cost of not having late 1960s in the context of the evaluation of the socio- the information, by considering the cost saved by having economic value of investments, speci""cally in emerging the information; using the estimation heuristics approach economies [15]."
2,cba is based on the theory of the [6}9]. economic surplus.
2,it consists in the assessment of deci- sions to allocate resources (e.g. investments) on the basis 2.2.
2,"the outlook dimension of information of their total monetarised impacts, whether they are merchant or not."
2,cba was largely used as an instrument one of the most valuable dimensions of information for the appraisal of public-sector investments in projects. for decision makers is its outlook dimension.
2,"this de- eight steps are generally recommended for a cba pends on the ability to generate projections (or perform analysis applied to a complex project. simulations), based on models combined with appropri- ate observations."
2,the more the information on future step 1: dexnition of the project and its missions.
