page,p
1,malaria journal bridges et al.
1,malar j (2018) 17:93 https://doi.org/10.1186/s12936-018-2236-2 research open access accuracy and impact of spatial aids based upon satellite enumeration to improve indoor residual spraying spatial coverage daniel j.
1,"bridges1, derek pollard1, anna m."
1,"winters1,2*, benjamin winters1,2, chadwick sikaala3, silvia renn1 and david a."
1,"larsen1,4 abstract background: indoor residual spraying (irs) is a key tool in the fight to control, eliminate and ultimately eradicate malaria."
1,irs protection is based on a communal effect such that an individual’s protection primarily relies on the community-level coverage of irs with limited protection being provided by household-level coverage.
1,"to ensure a communal effect is achieved through irs, achieving high and uniform community-level coverage should be the ultimate priority of an irs campaign."
1,ensuring high community-level coverage of irs in malaria-endemic areas is chal- lenging given the lack of information available about both the location and number of households needing irs in any given area.
1,a process termed ‘mspray’ has been developed and implemented and involves use of satellite imagery for enumeration for planning irs and a mobile application to guide irs implementation.
1,this study assessed (1) the accuracy of the satellite enumeration and (2) how various degrees of spatial aid provided through the mspray process affected community-level irs coverage during the 2015 spray campaign in zambia.
1,methods: a 2-stage sampling process was applied to assess accuracy of satellite enumeration to determine number and location of sprayable structures.
1,results indicated an overall sensitivity of 94% for satellite enumeration compared to finding structures on the ground.
1,"results: after adjusting for structure size, roof, and wall type, households in nchelenge district where all types of satellite-based spatial aids (paper-based maps plus use of the mobile mspray application) were used were more likely to have received irs than kasama district where maps used were not based on satellite enumeration."
1,"the probability of a household being sprayed in nchelenge district where tablet-based maps were used, did not differ statistically from that of a household in samfya district, where detailed paper-based spatial aids based on satellite enumeration were provided."
1,conclusion: irs coverage from the 2015 spray season benefited from the use of spatial aids based upon satellite enumeration.
1,"these spatial aids can guide costly irs planning and implementation leading to attainment of higher spatial coverage, and likely improve disease impact."
1,"keywords: malaria, zambia, indoor residual spraying, electronic data capture, spray effectiveness, spatial coverage, mspray *correspondence: awinters@akros.com 1 akros, 5 reedbuck road, lusaka, zambia full list of author information is available at the end of the article © the author(s) 2018."
1,"this article is distributed under the terms of the creative commons attribution 4.0 international license (http://creat​iveco​mmons​.org/licen​ses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided you give appropriate credit to the original author(s) and the source, provide a link to the creative commons license, and indicate if changes were made."
1,"the creative commons public domain dedication waiver (http://creat​iveco​mmons​.org/ publi​cdoma​in/zero/1.0/) applies to the data made available in this article, unless otherwise stated."
2,bridges et al.
2,"malar j (2018) 17:93 page 2 of 8 background the lack of available data is particularly problematic for indoor residual spraying (irs) is a key tool in the fight to both the implementation and the evaluation of indoor control, eliminate and ultimately eradicate malaria [1]. residual spray programme."
2,"in implementation these chal- irs was a primary vector control intervention employed lenges lie in actually spraying houses that are targeted for in the global malaria eradication programme in the spray, and in evaluation these challenges lie in calculat- 1950s and 1960s."
2,while the programme was far from a ing and mapping coverage and monitoring success.
2,"these complete success, it did manage to eliminate malaria problems are not specific to irs for malaria control."
2,for from a number of countries [2].
2,"irs reduces malaria example, in northern nigeria the polio eradication cam- transmission by killing endophilic mosquitoes that rest paign found that the use of spatial aids could aid micro- on walls following blood meals."
2,"because irs does not planning, assist in monitoring, and improve vaccination prevent host-seeking mosquitoes from taking a blood coverage [5]."
2,"coupling the maps derived from satellite meal, an individual’s protection largely relies on the com- imagery with routinely monitoring vaccine teams with munity-level coverage of irs rather than household-level geographic information systems improved geographic coverage."
2,"irs is intended to reduce the age of the vector coverage of polio vaccine by an estimated 40% in kano population and thereby reduce the potential to complete state, nigeria, which correlated with the disappearance of the cycle of transmission."
2,"ensuring high and uniform wild polio virus type 1 from the area [6, 7]. community-level coverage should be the ultimate prior- mspray was developed to take advantage of advances ity of an irs campaign—low coverage irs may offer no in satellite imagery, cellular access, and other informa- protection against malaria [3]."
2,"implementation of irs in tion technologies to improve irs planning, delivery and malaria-endemic areas can be complicated by a lack of monitoring by providing a fit for purpose spatial solution. information available about both the location and num- the mspray tool was developed and refined over multiple ber of households needing irs in any given area."
2,"the last spray seasons namely in zambia, but also in madagascar, 50 years have seen numerous and significant advances zimbabwe and namibia through field experience and in computing, communications, and mapping in dis- user feedback."
2,"there have been a number of tool itera- ease control that could ease these complications in irs tions, starting from its genesis as a basic spatial data col- implementation. lection tool on personal digital assistants in 2011."
2,"since spatial aids, i.e., maps, have been used in malaria con- then, mspray has increased in comprehensiveness, auto- trol throughout history with perhaps the best example mation and resolution to the full spatial mapping, plan- being the systematic elimination of anopheles gambiae ning and field management tool it is today. from brazil in the 1930s [4]."
2,"today traditional irs cam- mspray encompasses three steps—enumeration, tar- paigns vary on their use of spatial aids, and certainly vary geting, and spraying (fig."
2,enumeration consists of in the quality of spatial data available.
2,"spatial data avail- identifying all structures using publicly available satel- able for irs programmes in lower-income countries with lite imagery [8], and only requires an internet connected high malaria burdens are highly limited, and typically laptop loaded with the open-source quantum gis pro- include geospatial boundaries of districts, provinces, or gram."
