page,p
1,"received: 5 february 2019 revised: 17 october 2019 accepted: 3 december 2019 doi: 10.1002/eet.1877 research article compliance with european union environmental law: an analysis of digitalization effects on institutional capacities alexander bürgin department of political science and international relations, izmir university of abstract economics, izmir, turkey this article presents evidence for the positive effects of digitalization on the institu- correspondence tional capacity of key stakeholders, which is a necessary precondition for narrowing dr alexander bürgin, associate professor, jean the existing implementation gap in european union environmental law."
1,"based on monnet chair 2015–2018, head of european union research and application center, document analysis and semistructured interviews with actors involved in the imple- department of political science and mentation process, four main factors are considered."
1,"first, the commission's institu- international relations, izmir university of economics, sakarya cad."
1,"156, balcova tional capacity benefits from a change of focus of the reporting system from textual 35330, izmir, turkey. information to data and indicators and by the development of new data harvesting email: alexander.burgin@ieu.edu.tr methods."
1,"second, subnational actors have improved their institutional capacity through knowledge transfers and strategic planning, facilitated by better information and communication technology and statistical data."
1,"third, inspection networks benefitted from technical advances, such as the access to satellite images, presenting new opportunities for the detection of environmental crimes, and new software pro- grams facilitating risk-based inspections."
1,"finally, citizens' and nongovernmental orga- nizations' improved access to data and to justice in environmental matters strengthened their monitoring capacities."
1,"keywords compliance, digitalization, eu environmental law, implementation, institutional capacity, monitoring 1 | i n t ro du ct i o n annual costs of nonimplementation are as high as 50 billion euros, mainly due to the failure to realize environmental benefits of full major implementation deficits exist in the field of european union implementation (european commission, 2018a, p."
1,"furthermore, (eu) environmental policy."
1,"according to the european commission, the uncertainty about environmental policy implementation negatively size of gaps in implementation varies across different sectors and mem- affects investment decisions and thus, the potential for creating new ber states."
1,"challenges are linked to persistent environmental problems, markets and jobs."
1,"in addition, uneven implementation across member such as diffuse water pollution, poor urban air quality, unsatisfactory states distorts competition in the common market, as companies face waste treatment, and species and habitats in decline."
1,"furthermore, there unequal compliance cost opportunities (cowi et al., 2011, p."
1,"polit- is also a serious incidence of environmental crime and a high number of ically, such compliance problems may damage the eu's legitimacy. environmental complaints to the european commission and petitions to concerned about their health, quality of life, and the future of the the european parliament (european commission, 2018a, p."
1,"in 2017, planet, citizens are demanding more action at eu level."
1,"although out of 132 new single market infringement proceedings, 58 cases (44%) according to a poll, 67% stated that decisions to protect the environ- concerned the environment (european commission, 2018d. p."
1,"5). ment should be taken collectively at eu level, as many as 62% were such compliance deficits cause negative economic and political dissatisfied with the eu's progress (eurobarometer, 2017, pp. 17 & consequences."
1,"economically, the commission estimates that the 21)."
1,"furthermore, the eu's own policy performance is an important 46 © 2019 john wiley & sons, ltd and erp environment wileyonlinelibrary.com/journal/eet env pol gov."
1,2020;30:46–56.
