page,p
1,research article securing sustainability in indian agriculture through civilian uav: a responsible innovation perspective anjan chamuah1 · rajbeer singh1 received: 20 september 2019 / accepted: 11 december 2019 / published online: 18 december 2019 © springer nature switzerland ag 2019 abstract emerging technology like civilian unmanned aerial vehicle (uav) has the potential to exert an impact on agriculture production and crop damages assessment.
1,securing sustainability in agriculture requires accountability and responsi- bility of the actors engaged in the deployment of the civilian uav due to associated deployment risks and unintended consequences.
1,uav technology has the potential to replace remote sensing technologies like satellite imageries and piloted aircraft used in the crop insurance business.
1,the governance of deployment of uav technology in india is a com- plex challenge when a well-developed regulatory system is not in place and diverse actors involved in the deployment and operation of civilian uav for agricultural applications.
1,"therefore, two main questions, how uav innovations can lead to sustainability in indian agriculture and how are the issues of governance of civil uav innovations in crop insurance applica- tions addressed, are dealt with."
1,the responsible innovation approach is adopted as a theoretical framework.
1,"the explora- tory and qualitative study used in-depth interviews, and the interviewees were selected through snowball sampling technique."
1,"the results suggest that in the governance of emerging technologies like uav certain values such as trust, transparency, safety, autonomy, and environmental friendliness assumed high significance."
1,findings also suggest that uav has the risk-taking ability in adverse weather condition.
1,"the uav technology also creates values (social, economic and environmental) for deployment in the crop insurance business in india."
1,keywords civilian uav · sustainability · responsible innovation · agriculture insurance · accountability 1 introduction responses and environmental pressures [3].
1,"achieving sustainable agro-food system is not an easy task unless it sustainable agriculture is a broad area which encompasses adopts and disseminates new and emerging technologies issues relating to financial, social, human, environmental embedded in new economic, social, institutional and cul- and biological resources in the development of technol- tural relations [4]."
1,the functioning of these technologies ogy and social institutions [1].
1,"environmental preserva- also depends on other essentials such as principles, dif- tion, economic returns and sociological factors associated ferent cultural connotations, market performances, infra- with quality of life consist of sustainability in agriculture structures and the network of supply and maintenances [2]."
1,"nowadays, there is an emerging challenge in the agri- [5]. culture sector, including food processors, food producers sustainability in agriculture cannot be discussed in iso- and the distributors of food due to the controversial mix lation; instead, it should be evaluated as a system [1], con- of technological, scientific and public concern which fur- sisting of different components coordinated and commu- ther integrate and juxtapose technological risk, societal nicated through various networks and channels supported * anjan chamuah, anjan.chamuah@gmail.com | 1centre for studies in science policy, school of social sciences, jawaharlal nehru university, new delhi 110067, india."
1,sn applied sciences (2020) 2:106 | https://doi.org/10.1007/s42452-019-1901-6 vol.:(0123456789)
2,research article sn applied sciences (2020) 2:106 | https://doi.org/10.1007/s42452-019-1901-6 by both formal and informal institutions [6].
2,sustainability civil uav innovations in indian agriculture.
2,"section 6 dis- is, thus, the ability to meet societal needs without any sig- cusses the various issues related to sustainability, govern- nificant adverse impacts [7]."
2,"however, sustainable agricul- ance and culture-specific values hovering around civil uav ture development is defined as: deployment in indian agriculture."
2,section 7 includes the main findings and the concluding remarks of the study.
2,"agriculture system which over the long run enhances environmental quality and the resources base on which agriculture depends, basic human food and fibre needs are economically viable and improves the 2 responsible innovation: a theoretical quality of life of farmers and society as a whole [8]. framework the advent of new and emerging technologies added sustainability is an essential aspect of innovations."
2,innova- a new dimension to agriculture sustainability.
2,"the emerg- tion can be said to be successful only if it can retain social, ing technologies are trying to provide a solution to almost economic and environmental sustainability [16]."
2,"from the every problem of human life and their surrounding ecosys- prevailing theories of innovations, we have seen that firms tem [9]."
2,"from decision making to human resource all are bring new ideas to the market as products, processes, affected by new technology [10] and have a direct impact services or ways of organising [17]."
2,"however, systems of on the economy and society [11]."
2,"however, the arrival of innovation like national innovation system [18, 19], sec- these problem-solving technologies also raises questions toral systems of innovation [20, 21] and technological about their efficiency, validity, reliability and sustainability innovation system [22–24] did not pay much attention (social, economic and environmental)."
2,"civilian unmanned to sustainability (economic, social and environmental)."
2,"ri, aerial vehicle (uav) as one of such emerging technology however, focusses on the aspect of sustainability by tak- is being deployed in india agriculture for the insurance ing into account the risks involved in the deployment and business."
2,"the operation and management of civilian uavs ensuring care while adopting new and emerging technol- have created multiple issues for its monitoring, regulating ogy like civilian uav."
2,"therefore, ri has been adopted as and controlling by authorities."
2,this emerging technology the theoretical framework for this study.
2,"the definition possesses security and safety concerns among users, resi- of ri proposed by singh and kroesen [25] is reproduced dents, government authorities and civil societies."
