page,p
1,"catena 201 (2021) 105190 contents lists available at sciencedirect catena journal homepage: www.elsevier.com/locate/catena characterization of field-scale soil variation using a stepwise multi-sensor fusion approach and a cost-benefit analysis sumanta chatterjee a, b, alfred e."
1,"hartemink a, john triantafilis c, ankur r."
1,"desai d, doug soldat a, jun zhu e, philip a."
1,"townsend f, yakun zhang a, jingyi huang a, * a department of soil science, university of wisconsin-madison, madison, wi 53706, usa b icar-national rice research institute, cuttack 753006, india c school of biological, earth and environmental sciences, unsw sydney, kensington, nsw 2033, australia d department of atmospheric and oceanic sciences, university of wisconsin-madison, madison, wi 53706, usa e departments of statistics and entomology, university of wisconsin-madison, madison, wi 53706, usa f department of forest and wildlife ecology, university of wisconsin-madison, madison, wi 53706, usa a r t i c l e i n f o a b s t r a c t keywords: the potential of a stepwise fusion of proximally sensed portable x-ray fluorescence (pxrf) spectra and elec­ digital soil mapping tromagnetic induction (emi) with remote sentinel-2 bands and a digital elevation model (dem) was investigated pxrf spectroscopy for predicting soil physicochemical properties in pedons and across a heterogeneous 80-ha crop field in wis­ electromagnetic induction consin, usa."
1,"we found that pxrf spectra with partial least squares regression (plsr) models can predict sand, sentinel-2 management zones total nitrogen (tn), organic carbon (oc), silt contents, and clay with validation r2 of 0.81, 0.74, 0.73, 0.68, and plsr 0.64 at the pedon scale but performed less well for soil ph (r2 = 0.51)."
1,"a combination of emi, sentinel-2, and dem data showed promise in mapping sand, silt contents, and tn at two depths and ap horizon thickness and soil depth across the field."
1,a clustering analysis using combinations of mapped soil properties or proximal and remote sensing data suggested that data fusion improved the characterization of field-scale variability of soil properties.
1,the cost-benefit analysis showed that the most accurate management zones (mzs) for topsoil can be generated only using estimated soil property maps while it was the most costly as compared to other data sources.
1,"for an intermediate-high (for topsoil) and high (subsoil) accuracy and a moderate economic budget, the combination of sensors (proximal + remote sensing + dem) might be a better approach for effective mzs generation than collecting soil samples for laboratory analysis while the latter produced the most accurate maps for topsoil."
1,"it can be concluded that pxrf spectra can be useful for predicting key soil properties (e.g., sand, tn, oc, silt, clay) at different soil depths, and a combination of proximal and remote sensing provides an effective way to delineate soil mzs that are useful for decision-making."
1,"introduction bhaduri et al., 2018; zhang and hartemink, 2019)."
1,"traditionally, soil mapping relies on labor-intensive field surveys understanding the spatial variability of soil is a prerequisite for and, time-consuming, costly laboratory analyses (minasny and effective management of agricultural resources and environmental mcbratney, 2016)."
1,"the polygon-based soil maps can provide qualitative monitoring (minasny and mcbratney, 2016)."
1,"among all the physi­ information at a coarse-scale but are not suitable for location-specific ochemical properties, soil organic carbon (soc), salinity, clay, sand, nutrients and water management (castaldi et al., 2016)."
1,"in addition, bulk density, cation exchange capacity (cec), ph, nitrogen (n), phos­ regional and national legacy soil survey maps such as soil survey phorus (p), potassium (k), soil moisture (sm), depths of soil and ap geographic database (ssurgo) often consist of artificial boundaries horizon are essential, as they control plant growth and water and that do not account for continuous variation of soil properties nutrient movement (chatterjee et al., 2017, 2018; chen et al., 2018; (mcbratney et al., 2003)."
1,"gholizadeh et al., 2018; mohanty et al., 2011; pradhan et al., 2017; recent progress in proximal soil sensing and remote sensing * corresponding author at: university of wisconsin-madison, department of soil science, 1525 observatory drive, madison, wi 53706, usa."
1,e-mail address: jhuang426@wisc.edu (j.
1,huang). https://doi.org/10.1016/j.catena.2021.105190 received 20 july 2020; received in revised form 15 january 2021; accepted 18 january 2021 available online 7 february 2021 0341-8162/© 2021 elsevier b.v.
1,all rights reserved.
2,chatterjee et al.
2,"catena 201 (2021) 105190 technologies has proven to be an effective way for predictive mapping of et al., 2018; loiseau et al., 2019; paul et al., 2020)."
2,"hyperspectral different soil physicochemical properties with high accuracies at a finer remote sensing data (e.g., hyperion sensor onboard the eo-1 satellite) resolution (mcbratney et al., 2003; hartemink and minasny, 2014; was used to estimate soil moisture, lulc, soc, clay, and soil texture heung et al., 2016; liang et al., 2019)."
2,"the development of soil and plant (folkman et al., 2001; gomez et al., 2008; gholizadeh et al., 2018; sensors and machine learning tools along with increased availability of castaldi et al., 2016)."
2,"microwave backscatter data from sentinel-1 and spatial geo-referenced data and computing power had steered the suc­ smap mission have been used for estimating soil moisture dynamics cess of digital soil mapping in recent decades (minasny and mcbratney, (das et al., 2019; chatterjee et al., 2019, 2020)."
2,"besides, high-resolution 2016; ma et al., 2019). digital elevation models (dems) have been created recently using light a brief description of different proximal and remote sensing sensors detection and ranging (lidar) sensor data (fink and drohan, 2016) are described in table 1."
2,"different proximal soil sensing techniques, such that provide useful topographic information about soil variations. as visible near-infrared (vis-nir, 350–2500 nm), portable x-ray fluo­ advances in machine learning and sensor data fusion in recent de­ rescence (pxrf) spectroscopy, and electromagnetic induction imaging cades have facilitated a better understanding of the dynamics and pre­ (emi) are increasingly being used to predict soil properties and to build diction of different soil properties in space by merging information from digital soil maps at the field scale (viscarra rossel et al., 2016). vis–nir environmental covariates and predictions from different predictive soil reflectance spectra can be useful for characterizing many soil models (errico et al., 2015; chatterjee et al., 2020)."
2,"sensor fusion theory physicochemical and mineralogical properties such as soc, clay, sand, makes use of complementary information from different sensors which bulk density, total nitrogen (tn), cec, ph, carbonate content, and soil can improve the prediction accuracy of the predictive models and esti­ horizon delineation (stenberg et al., 2010; viscarra rosel et al., 2016; mate soil properties at depths (mouazen et al., 2014; xu et al., 2019)."
2,"minasny and mcbratney, 2016; padarian et al., 2019; zhang and har­ except for a few studies that combine proximal and remote sensing to temink, 2019; xu et al., 2020)."
2,"the pxrf spectroscopy is related to the map soil salinity (huang et al., 2017) and moisture (babaeian et al., energy status of the elements and has been used to detect soil heavy 2019) at multiple depths, few studies have shown the potential to metals (mclaren et al., 2012; minasny and mcbratney, 2016; stockman combine proximal and remote sensing to map key soil physiochemical et al., 2016) and to predict several soil physicochemical properties (e.g., properties at a high spatial resolution (e.g. < 30 m). sand, silt, and clay content, ph, cec and base saturation percentage, soil physicochemical properties vary at the field scale, creating dif­ soc) due to the correlation of pxrf spectra or elemental data with these ficulty in allocating crucial inputs for precision agriculture management soil properties (zhu et al., 2011; sharma et al., 2015; wang et al., 2015; (goovaerts, 1998; brejda et al., 2000; ferguson et al., 2002)."
2,"delineation weindorf et al., 2016; chakraborty et al., 2015; rawal et al., 2019; of soil management zones (mzs) proved as one of the most promising zhang and hartemink, 2019)."
2,"the non-invasive emi instruments, approaches to address the spatial heterogeneity within a field by designed to measure soil apparent electrical conductivity (eca), are dividing the field into different zones having homogeneous physico­ increasingly being used to map soil moisture, exchangeable sodium chemical and terrain features (moral et al., 2010)."
2,"previously, re­ percentage (esp), clay content, and salinity (corwin et al., 2003; tri­ searchers used crop yield (vrindts et al., 2005), soil survey and antafilis and monteiro santos, 2010; doolittle and brevik, 2014)."
2,"to topographic maps (fraisse et al., 2001; franzen et al., 2002), and soil summarize, vis-nir and pxrf technologies are often used to estimate properties (oldoni et al., 2019) with clustering methods (cambouris soil properties from individual soil samples collected at the profile scale et al., 2006) and fuzzy logic techniques (molin and castro, 2008) for at different depths while emi can delineate depth-specific variations in creating mzs."
2,"however, only a few studies have used a combination of soil properties and map soil properties across the field (huang et al., proximally and remotely sensed data in delimiting mzs at the field scale 2014; zare et al., 2015). (e.g."
2,"zare et al., 2018)."
2,"furthermore, little research has evaluated the compared to proximal soil sensing that can be used to map soil cost-benefit of combining multiple sensor datasets for creating the mzs. properties at the profile to field scale, remote sensing data from different in this study, laboratory-measured soil properties, proximally sensed satellites have been mainly utilized for characterizing surface soil pxrf soil spectra and emi data from a dualem-1hs sensor, remotely physicochemical properties across large spatial extents (field to global sensed dem and sentinel-2 bands were combined to map several key soil scales)."
2,optical band sensors such as landsat 8 and sentinel-2 have been physicochemical properties across an 80-ha crop field at different depths widely used for land use and land cover (lulc) mapping and recently be using a stepwise multi-sensor fusion technique.
