page,p
1,"received 25 august 2023, accepted 20 september 2023, date of publication 26 september 2023, date of current version 3 october 2023."
1,digital object identifier 10.1109/access.2023.3319453 ground level lidar as a contributing indicator in an environmental protection application ciprian m.
1,"coman 1,2 , bogdan c."
1,"toma1 , mihai a."
1,"constantin1 , and adriana florescu2 , (senior member, ieee) 1 tesagon international srl, 100029 ploieşti, romania 2 faculty of electronics, telecommunications and information technology, politehnica university of bucharest, 060042 bucharest, romania corresponding author: ciprian m."
1,"coman (ciprian@tesagon.com) this work was supported in part by the european commission through the asociación de empresas tecnológicas innovalia under horizon 2020 research and innovation framework programme under grant dih-world, and in part by tesagon international srl through the project ‘‘monitoring environmental parameters and human influence in forest areas (mephifa).’’"
1,"abstract the value attributed to the forests in developed countries has shifted from commercial wood production towards carbon reduction, habitat for wildlife, scenery and recreation."
1,with the increasing perceived benefits came more concern and effort towards better forest management.
1,"there are many research and development initiatives aimed at effectively using the latest technologies to monitor forest environment, forest wildlife, forest incidents such as fires, illegal logging, poaching etc."
1,"this paper presents an expert system that we designed, developed and tested for forest environmental protection applications."
1,the system includes remote sensing hubs and a central cloud server with several capabilities that are briefly presented.
1,we detail a new approach of using laser imaging detection and ranging (lidar) sensors placed at ground level to acquire useful data from forest environments.
1,implementation details and considerations are presented together with test results obtained in a forest environment.
1,"index terms lidar, wireless sensor network, iot, forest monitoring, real-time sensing."
1,introduction production [1].
1,"at the same time, deforestation continues at forest exploitation is an activity as old as tools develop- alarming rates in some areas on the globe [2]. ment in human history."
1,"with the increase of the population to protect forests from various threats such as fires or ille- across the globe, sustainability and responsible logging have gal deforestation, various detection systems such as infrared become more and more important."
1,"however, the forest areas thermal cameras, lidar and synthetic aperture radar are very large and difficult to monitor and protect from (sar), sensors have been implemented globally [3]."
1,an early fraudulent activities.
1,"recent technological advances present detection solution with a surface fire detection system based new opportunities for effective environmental monitoring and on a radio acoustic sound system (raas) is a more recent protection applications. approach for forest fire detecting using iot, as presented in sustainable forestry, or sustainable forest management, [4] and [5]."
1,"the widespread problem of illegal logging in is the practice of managing forests to meet current needs romania’s forests motivated us to work on a technical solu- and desires of society regarding forest resources, without tion, using existing technology in an innovative, integrated compromising the availability of these for future gener- system."
1,"we designed, developed and tested an expert system ations."
1,new understanding of forests benefits in highly for forest environmental protection applications.
1,"while the developed countries, such as atmospheric carbon reduction, system includes several sensor types, in this paper we focus water yield, habitat for wildlife, scenery, recreation, and other on our new approach of using lidar sensors placed at values, have greater societal interest than commercial wood ground level to acquire useful data from forest environments and use it together with signals from the other sensors to the associate editor coordinating the review of this manuscript and identify undesirable situations in the forest."
1,using a distance approving it for publication was francesco piccialli. mapping sensor was identified as a more feasible alternative this work is licensed under a creative commons attribution-noncommercial-noderivatives 4.0 license.
1,"volume 11, 2023 for more information, see https://creativecommons.org/licenses/by-nc-nd/4.0/ 106277"
2,"coman et al.: ground level lidar as a contributing indicator to using a video camera with infrared and image processing sensor, temperature sensor, and a gas sensor [12]."
2,"the motion in the case of application with limitations such as compute sensor is used to prevent the destruction of the system from power, available energy and network bandwidth."
2,another wildlife.
2,"the other two environmental sensors are configured option considered is the use of ultrasonic sensors, having the to detect temperature value and gas concentration. advantages of being cheaper and faster, but at the same time a different approach to forest monitoring is based on having disadvantages such as lower precision and accuracy, using arial vehicles."
2,small drones are increasingly being used shorter range and higher power consumption.
2,"in the case of by timber companies and government forestry agencies for our application, ultrasonic also suffers from the low reflective applications such as tree crown/gap mapping, forest stand properties of the wood. mapping, volume estimation, wind blow assessment, pest the current paper is organized as follows."
2,"section ii con- monitoring, and harvest planning."
2,"additionally, conservation tinues with a comprehensive review of the state of the art. non-governmental organizations (ngos) and staff of pro- section iii presents the expert system prototype that we tected areas worldwide are becoming interested in using small designed and developed to monitor activities in forest areas, drones for conservation-related tasks, such as: surveillance of and details the sensor hub hardware and software, as well wildlife, monitoring of land-use change and illegal activities as the central hub architecture and implementation in the within reserves such as poaching and illegal game hunting cloud."
2,"in section iv we present the tests carried out in a real and forest fire prevention [13], [14], [15], [16], [17], [18]. forest environment, the problems encountered and applied drone systems are disputed when it comes to forest protec- solutions."
2,section v concludes the paper with discussion and tion.
2,in the following paragraphs we present the advantages suggestions for future research. and disadvantages.
2,among the advantages we can list the followings: ii.
2,"related work - extremely high spatial resolution: the altitude at which in [6], the authors have developed a type of wireless sensor small drones can be operated is usually in the range of 50- network to prevent illegal deforestation using the evaluation 300m, an altitude that allows the acquisition of images with of the acoustic signal and the network principles of node extremely high spatial resolution."
2,"at this spatial resolution, communication."
2,their main objectives were low energy con- the forest can be easily monitored in detail.
2,"at this level sumption and system reliability but this approach has been of detail, the processes of loss, degradation and regrowth of studied only at the conceptual level, not being implemented forests could be accurately detected and monitored [19]."
2,"it is and tested under real operating conditions [7]. possible to identify individual tree species, detect pests and one solution for detecting illegal deforestation is called identify different stages of forest regeneration or degradation, forest guardian [8]."
2,this system detects the sound produced all of which are fundamental to assessing the health of forests. by deforestation activities using acoustic signal evaluation the use of small drones would also allow detailed mapping and network node communication principles.
2,"the architec- over much larger areas than ground surveys. ture of the system is modular, which means that the system - insensitivity to cloud cover: the fact that small drones fly functionality can be extended by adding new modules, but it at a height of about 50-100m is a significant advantage over mainly used a set of sensors to record environmental sounds. conventional remote sensing platforms from high altitudes."
2,"forest guardian instantly sends a notification (e-mail, sms, - relatively low price of drone imagery: the cost of etc.) to those responsible so that they can intervene to stop the acquiring, operating, and maintaining a small drone is much illegal deforestation in the case of detection of deforestation lower than the cost of deploying manned aircraft missions or activities in the monitored area."
2,"all areas in danger can be acquiring images from any of the available high-resolution accessed on a map via a web application. space satellites (e.g., ikonos, quickbird, rapideye)."
2,"for an implementation of the forest guardian system is rain- instance, [20] used a self-made conservation drone for trop- forest connection, or rfcx as presented in [9]."
2,"it uses mobile ical forest monitoring at an estimated cost of us$2,000, and phones as network nodes and solar panels to charge the are currently developing and testing cheaper models [18]. battery."
2,"the nodes are individually mounted on the shafts and - enhanced monitoring of illegal activities: illegal defor- their position is set to allow superposition for detection and estation could be monitored with these systems not only by communication purposes. monitoring the change in forest cover with time series pho- another method to protect forest from threats is presented tographs, but also by locating extraction routes and regularly in [10]."
2,the authors propose a method to identify areas monitoring the boundaries in real time using videography suspected of forest fires occurrence.
2,the proposed method [21].
2,"fire, illegal deforestation and wildlife poaching could uses artificial intelligence, namely the neurofuzzy interface, also be monitored in a timely manner [20]. for classification in two classes, forest fire and non-fire."
2,"listed below are a number of disadvantages of the uav furthermore, cloud computing can be used for processing approach to forest monitoring: time critical data [11]. - sensitivity to atmospheric conditions: the wind speed another forest fire detection system is composed of a should not be higher than 15-25km/h, for a good image raspberry pi processing unit and three sensors: motion accuracy."
2,"106278 volume 11, 2023"
3,"coman et al.: ground level lidar as a contributing indicator - short flight endurance: small drones have a fairly small can be improved in several ways such as adding a solar panel, battery size, so flight time may not be enough for larger converter and battery. forests."
3,"the use of the solar panel with a lead-acid battery is - possibility of collisions: in the case of small drones, common, but there are also other options to consider."
