page,p
1,system modelling of very low earth orbit satellites for earth observation n.h.
1,"crispa,∗, p.c.e."
1,"robertsa , f."
1,"romanod , k.l."
1,"smitha , v.t.a."
1,"oikoa , v."
1,"sulliotti-linnerb , v."
1,"hanessianc , g.h."
1,"herdrichd , d."
1,"garcı́a-almiñanae , d."
1,"katariaf , s."
1,"seminarig a the university of manchester, oxford road, manchester, m13 9pl, united kingdom b elecnor deimos satellite systems, calle francia 9, 13500 puertollano, spain c gomspace a/s, langagervej 6, 9220 aalborg east, denmark d institute of space systems (irs), university of stuttgart, pfaffenwaldring 29, 70569 stuttgart, germany e upc-barcelonatech, carrer de colom 11, 08222 terrassa, barcelona, spain f mullard space science laboratory, university college london, holmbury st."
1,"mary, dorking, rh5 6nt, united kingdom g euroconsult, 86 boulevard de sébastopol, 75003 paris, france arxiv:2108.01945v2 [physics.space-ph] 5 aug 2021 abstract the operation of satellites in very low earth orbit (vleo) has been linked to a variety of benefits to both the spacecraft platform and mission design."
1,"critically, for earth observation (eo) missions a reduction in altitude can enable smaller and less powerful payloads to achieve the same performance as larger instruments or sensors at higher altitude, with significant benefits to the spacecraft design."
1,"as a result, renewed interest in the exploitation of these orbits has spurred the development of new technologies that have the potential to enable sustainable operations in this lower altitude range."
1,"in this paper, system models are developed for (i) novel materials that improve aerodynamic performance enabling reduced drag or increased lift production and resistance to atomic oxygen erosion and (ii) atmosphere-breathing electric propulsion (abep) for sustained drag compensation or mitigation in vleo."
1,attitude and orbit control methods that can take advantage of the aerodynamic forces and torques in vleo are also discussed.
1,these system models are integrated into a framework for concept-level satellite design and this approach is used to explore the system-level trade-offs for future eo spacecraft enabled by these new technologies.
1,a case-study presented for an optical very-high resolution spacecraft demonstrates the significant potential of reducing orbital altitude using these technologies and indicates possible savings of up to 75 % in system mass and over 50 % in development and manufacturing costs in comparison to current state-of-the-art missions.
1,"for a synthetic aperture radar (sar) satellite, the reduction in mass and cost with altitude were shown to be smaller, though it was noted that currently available cost models do not capture recent commercial advancements in this segment."
1,these results account for the additional propulsive and power requirements needed to sustain operations in vleo and indicate that future eo missions could benefit significantly by operating in this altitude range.
1,"furthermore, it is shown that only modest advancements in technologies already under development may begin to enable exploitation of this lower altitude range."
1,"in addition to the upstream benefits of reduced capital expense and a faster return on investment, lower costs and increased access to high quality observational data may also be passed to the downstream eo industry, with impact across a wide range of commercial, societal, and environmental application areas."
1,keywords: very low earth orbit (vleo); atmosphere-breathing electric propulsion (abep); aerodynamic control; very-high resolution; synthetic aperture radar (sar); earth observation (eo).
1,"introduction food security, and disaster management and response [1]."
1,"the commercial market for satellite-based eo data prod- satellite-based earth observation (eo) and remote sens- ucts has also grown considerably, principally serving sec- ing has evolved considerably in the six decades since its tors such as defence and security, infrastructure monitor- introduction and has become increasingly important as a ing, land management and precision agriculture, and man- field with global scientific significance, economic impact, agement of energy and mining activities."
1,revenue from and commercial value.
1,"in addition to improving our un- these products is projected to increase from $1.5 billion to derstanding of the earth and its natural systems, key ap- $2.4 billion in the decade to 2028 with increasing demand plications with societal and environmental impact include for higher resolution imagery [2]."
1,"constellations of smaller climate change and ecological monitoring, agriculture and satellites for eo have recently enabled and global coverage and more frequent revisit, contributing to increased avail- ∗ corresponding author. ability and a reduction in price of medium and high reso- email address: nicholas.crisp@manchester.ac.uk lution satellite imagery and resulting in significant growth (n.h."
1,crisp) preprint submitted to acta astronautica
2,©2020.
2,"this manuscript version is made available under the cc-by-nc-nd 4.0 license http://creativecommons.org/licenses/by-nc-nd/4.0/ in downstream value-added services and analytics market international space station (iss), scientific satellites (e.g. segments."
2,"further economic upside has been projected goce and grace), and small educational and technology based on the development and growth of new application development satellites (e.g."
2,cubesats).
2,"early satellites areas, for example in change-detection analytics serving of the planet labs flock and spire lemur constellations the financial sector and the development of new location- were also deployed into the vleo altitude range from the based services [2]."
2,"however, more recent operations have generally seen operating satellites at lower orbital altitude has been replacements launched into higher altitude orbits."
2,"the proposed as a means to support the growth in this mar- reason for this sparse usage of vleo, particularly for com- ket by reducing both the cost of satellite development and mercial operations, is largely due to the challenges of the launch and through the generation of higher resolution im- environment that can significantly reduce the mission per- agery [3–6]."
2,reducing orbital altitude below those conven- formance.
2,"principally, the increased atmospheric density tionally used offers a number of individual benefits that increases aerodynamic drag and causes a significant reduc- together can significantly improve the design and perfor- tion in orbital lifetime without the use of propulsion."
2,"the mance of satellites, particularly for remote sensing and eo presence of atomic oxygen further reduces aerodynamic applications."
2,these benefits can be summarised as follows performance and can erode and damage the external sur- [7]: faces of spacecraft.
