page,p
1,"chapter 9 challenges and opportunities of digital technology in soil quality and land management research vincent de paul obade, charles gaya, and paul thomas obade abstract soil being a unique life elixir determines ecosystem health and success of sustainable practices."
1,"however, despite available suite of indicators, sustainable practices are constrained by unreliable yet conflicting information attributed to model abstraction, scale mismatch and non replicability."
1,"besides, stale scientific evidence precludes its relevance to management or policy."
1,it remains a non-trivial task to determine a universal soil quality metric applicable in diverse ecosystems because of the difficulty in modeling soil multifunctionality and complexity across scale and time.
1,"the advent of digital technology which incorporate high perfor- mance computing systems with cellular communication devices, coupled with agile earth observation systems, creates new prospects for monitoring, demistifying and unravelling the specific drivers of soil quality dynamics."
1,"it is increasingly feasible to integrate multiple (i.e., qualitative and quantitative) datasets to inform site specific application of inputs thereby reducing costs, and simultaneously communicating scientific knowledge in real-time to stakeholders."
1,"however, fully operationalizing such initiatives remains elusive due to anticipated uncertainity in complex modeling systems."
1,"here, the value addition presented by digital technology in soil and land management research are explicated."
1,"the “whole to part” mapping template to guide sustainable land management is revisited, and scientific techniques discussed include multi-criteria analysis intended to: (i) screen-out sensitive variables to any complex-problem, (ii) hierarchically rank significant variables, (iii) investigate the interrelationships of the facets, and (iv) synthesize information at various scales to explore viable solutions."
1,"v. de paul obade () bioresource and agricultural engineering department, cal poly san luis obispo, san luis obispo, ca, usa e-mail: vobade@calpoly.edu c."
1,"gaya department of geomatic engineering and geospatial information systems, jomo kenyatta university of agriculture and technology, juja, kenya p."
1,"obade department of environmental science, kenyatta university, nairobi, kenya © springer nature switzerland ag 2022 285 c."
1,"galanakis (ed.), environment and climate-smart food production, https://doi.org/10.1007/978-3-030-71571-7_9"
2,286 v. de paul obade et al.
2,"keywords diagnostics · land and soil quality · digital technology · resource management 9.1 introduction land not only remains a vital engine for economic development but is also integral towards addressing twenty-first century challenges such as food, water, energy, security, or lessening ramifications of abrupt climate change (de paul obade 2019; kamilaris et al."
2,2017; lal 2019).
2,"climate change generally attributed to anthropogenic actions, entails permanent shifts over say 30 years on weather variables (e.g., temperature, humidity, precipitation wind, or atmospheric pressure) from the average, a situation that triggers extreme events, such as drought, floods, storms, and strong winds."
2,"alternately, climate variability refers to the short-term fluctuations over time scales ranging from months to decades, falling between the extremes of daily weather and the long-term trends (lal 2004, 2009c; lal et al."
2,2012).
2,climate change exacerbates the frequency and magnitudes of adverse repercussions that trigger migration and conflict.
2,approximately 12% of global population are malnourished.
2,"it remains a daunt- ing task to strategically increase food production by the estimated 75% for the approximately 11 billion people expected on earth by 2050 (lal 2013, 2018, 2019)."
2,"apart from global resource depletion, dwindling arable land and changing lifestyles driven by the spiraling population and affluence, other synergistic effects related to resource overexploitation include land degradation and erosion, deteriorating infrastructure, pollution, biodiversity decline, outbreak of epidemics and pandemics (lal 2019)."
2,"however, it is not exactly known whether covid-19 disease could be directly transmitted or spread through contact with soil, or by water intake."
2,"besides, no study has been conducted to link the soil quality, diet, or even organic agriculture in developing countries (e.g., africa) with the prevalence and fatalities of covid-19, although data (https://www.worldometers.info/coronavirus/) shows that developing countries have been least affected by this pandemic (i.e., fewer fatalities)."
2,"soils which are critical to ecosystem health are occasionally under threat of being degraded by a complex array of stressors varying in intensity, space and time, with anticipated deadly consequences if unchecked (lal 2009b, c, 2013; lal et al."
2,2012).
2,"thus, scientific techniques are required that generate early warning information to support environmental regulation and prioritization of counter measures against the driving forces causing degradation."
2,"digital or data driven technologies holds sway not only in synthesizing complex variables, but also in lessening the nuance or subjectivity of existing monitoring efforts and disseminating timely information to support proactive management (boubin et al."
2,2019; herrick et al.
2,2017; kamilaris et al.
2,2017; u.n.
2,2019; weersink et al. 2018a).
2,"oftentimes subjective opinions based on expert judgement take root when assessing soil or land quality, thereby enhancing the risk of feigned diagnoses and incorrect conclusions."
2,"technological advancements, create pathways to designing"
3,9 challenges and opportunities of digital technology in soil quality ...
