page,p
1,"the current issue and full text archive of this journal is available on emerald insight at: https://www.emerald.com/insight/1985-9899.htm agjsr 42,3 applying bag of words approach to determine remote sensing technology acceptance among 904 smallholder plantations received 13 february 2023 shinta rahma diana revised 25 may 2023 accepted 22 june 2023 deputy for research and innovation policy, national research and innovation agency republic of indonesia, jakarta, indonesia, and farida farida faculty of economic and business, persada indonesia university yai, central jakarta, indonesia abstract purpose – technology acceptance is a measure of that technology’s usefulness."
1,"oil palm is one of the biggest contributors to indonesia’s revenues, thus fueling its economy."
1,using remote sensing would allow a plantation to monitor and forecast its production and the amount of fertilizer used.
1,this review aims to provide a policy recommendation in the form of a strategy to improve the added value of indonesia’s oil palm and support the government in increasing oil palm production.
1,"this recommendation needs to be formulated by determining the users’ acceptance of remote sensing technology (state-owned plantations, private plantation companies and smallholder plantations)."
1,design/methodology/approach – this review’s methodology used sentiment analysis through text mining (bag of words model).
1,"the study’s primary data were from focus group discussions (fgds), questionnaires, observations on participants, audio-visual documentation and focused discussions based on group category."
1,the results of interviews and fgds were transcribed into text and analyzed to 1) find words that can represent the content of the document; 2) classify and determine the frequency (word cloud); and finally 3) analyze the sentiment.
1,"findings – the result showed that private plantation companies and state-owned plantations had extremely high positive sentiments toward using remote sensing in their oil palm plantations, whereas smallholders had a 60% resistance."
1,"however, there is still a possibility for this technology’s adoption by smallholders, provided it is free and easily applied."
1,"research limitations/implications – basically, technology is applied to make work easier."
1,"however, not everyone is tech-savvy, especially the older generations."
1,one dimension of technology acceptance is user/ customer retention.
1,"new technology would not be immediately accepted, but there would be user perceptions about its uses and ease."
1,"at first, people might be reluctant to accept a new technology due to the perception that it is useless and difficult."
1,technology acceptance is the gauge of how useful technology is in making work easier compared to conventional ways.
1,"practical implications – therefore, technology acceptance needs to be improved among smallholders by intensively socializing the policies, and through dissemination and dedication by academics and the government."
1,"social implications – the social implications of using technology are reducing the workforce, but the company will be more profitable and efficient."
1,© shinta rahma diana and farida farida.
1,published in arab gulf journal of scientific research.
1,published by emerald publishing limited.
1,this article is published under the creative commons attribution (cc by 4.0) licence.
1,"anyone may reproduce, distribute, translate and create derivative works of this article (for both commercial and non-commercial purposes), subject to full attribution to the arab gulf journal of scientific research original publication and authors."
1,the full terms of this licence may be seen at http://creativecommons.
1,"42 no. 3, 2024 org/licences/by/4.0/legalcode pp."
1,"904-919 emerald publishing limited the authors thank to ministry of research, technology, and higher education of indonesia; center e-issn: 2536-0051 for aerospace policy studies, lapan; brin; indonesian palm oil research institute (mr."
1,"dhimas p-issn: 1985-9899 doi 10.1108/agjsr-02-2023-0056 wiratmoko), pt."
1,"perkebunan nusantara iv, north sumatra, who contributed to this research."
2,"originality/value – remote sensing is one of the topics that people have not taken up in a large way, especially users’ sentiment analysis."
2,acceptance of technology that utilizes remote sensing for plantations is very useful and efficient.
2,"in the end, company profits can be allocated more toward empowering the community and the environment. acceptance of keywords sentiment analysis, technology acceptance, oil palm, remote sensing remote sensing paper type research paper technology 1."
2,"introduction 905 oil palm is one of indonesia’s greatest revenue contributors and yields the highest revenue to the nation’s economy (ulfiah et al., 2018)."
2,"indonesia’s biggest crude palm oil (cpo) importers are india and china, each at us$4.57bn and us$4.39bn, respectively (bps, 2021)."
2,oil palm export value exceeds those of the oil-and-gas and non-oil-and-gas sectors; this sector’s export value (excluding oleochemicals and biodiesel) reached us$15.57bn or around rp220tn.
