page,p
1,"climate services 23 (2021) 100247 contents lists available at sciencedirect climate services journal homepage: www.elsevier.com/locate/cliser climate data for the european forestry sector: from end-user needs to opportunities for climate resilience cecilia fraccaroli a, valentino marini govigli b, c, *, siebe briers b, nieves peña cerezo d, jorge paz jiménez d, e, maria romero f, marcus lindner a, inazio martínez de arano b a european forest institute, platz der vereinten nationen 7, 53113 bonn, germany b european forest institute - mediterranean facility (efimed), st."
1,"antoni maria claret, 167, 08025 barcelona, spain c department of agri-food sciences and technologies, university of bologna, via fanin 50, bologna 40127, italy d tecnalia, basque research and technology alliance (brta), parque tecnológico de bizkaia, e-48160 derio, bizkaia, spain e comillas pontifical university, mechanical engineering department, icai, alberto aguilera 25, 28015 madrid, spain f el cubo verde, plaza santa maría soledad torres acosta, 2, 28004 madrid, spain a r t i c l e i n f o a b s t r a c t keywords: the aim of this study is to assess the potential of earth observation and climate data for the forestry sector climate services focusing on the copernicus climate change service (c3s)."
1,"although forestry researchers recognize the impor­ forest risk management tance of earth observation and climate data, forestry practitioners currently work mainly with land cover in­ user-driven requirements formation, largely neglecting climate data."
1,"understanding its potential for the forestry sector becomes thus copernicus europe important, as to align the vast offer of climate services in europe to different forestry users and stakeholders’ swot necessities."
1,"interviews, surveys, and dedicated workshops were used to collect a series of forestry end-users’ needs and requirements regarding climate data."
1,"end-user’s requirements were categorized through a swot analysis, which allowed to identify perceived internal strengths and weaknesses, external opportunities and threats to the increased use of the c3s."
1,"results indicate that improved climate services for the forestry sector based on c3s data would benefit from enhanced training on the use of climate data, improved provision of services integrating climate with non-climate data, the provision of new variables and indicators, and the integration of machine learning techniques for developing data and information in support of the deployment of climate services."
1,these findings are relevant to close the gap between demand and supply of climate services for the forestry sector and provide a basis for further exploring the value of climate data in serving a wide array of forestry stakeholders.
1,"going forward, increased knowledge on user requirements from both forest practitioners and policy-makers can be beneficial to develop accessible tailored services. transformation of the forestry sector, introducing innovative tools practical implications at the service of scientists and practitioners."
1,"when seeking pre­ paredness and adaptation to risks linked to climate variability, past and future climate conditions are fundamental variables for improving forest planning or guiding forest disturbances risk the forestry sector plays a paramount role in achieving a climate management."
1,although climate data are commonly used by sci­ neutral economy based on sustainability and resilience.
1,"in europe, entists, forestry practitioners still make a limited use of such data. policies addressing environmental sustainability, biodiversity loss, and climate action place forests as a central pillar for the integration of climate data in forestry decision-making pro­ strengthening biodiversity preservation, achieving carbon cesses can lead to targeted and more accurate services which can sequestration and ensuring the provision of multiple ecosystem contribute to the ecological resilience of european forests at the services."
1,"at the same time, countries are pushing for a digital local and national scale."
1,"seasonal forecasts can inform forest * corresponding author at: university of bologna, via fanin 50, bologna 40127, italy."
1,e-mail addresses: cecilia.fraccaroli@efi.int (c.
1,"fraccaroli), valentino.marinigovigli@unibo.it (v."
1,"marini govigli), siebe.briers@efi.int (s."
1,"briers), nieves.pena@ tecnalia.com (n."
1,"peña cerezo), jorge.paz@tecnalia.com (j."
1,"paz jiménez), maria.romero@elcuboverde.es (m."
1,"romero), marcus.lindner@efi.int (m."
1,"lindner), inazio.martinez@efi.int (i."
1,martínez de arano). https://doi.org/10.1016/j.cliser.2021.100247 received 9 june 2021; received in revised form 2 august 2021; accepted 11 august 2021 available online 3 september 2021 2405-8807/© 2021 the authors.
1,published by elsevier b.v.
1,this is an open access article under the cc by-nc-nd license (http://creativecommons.org/licenses/by-nc-nd/4.0/).
2,fraccaroli et al.
2,"climate services 23 (2021) 100247 managers in their routine practices anticipating or postponing the and diversified body of european actors, and the european forest planting or the harvesting operations based on the frost period. sector creating new job opportunities and enhancing the climate firefighters can also be better prepared to manage forest fire risk resilience and adaptation to climate change within the sector."
2,we through climate services providing local fire projections.
2,"climate consider that the lessons learned in this study can assist re­ information can also support forest policy-makers in defining searchers in the field of climate service research, and forestry practice-oriented adaptation strategies and targets."
2,"however, to practitioners interested in applying climate services."
2,"this paper provide accessible and accurate climate services, their demand in provides insights into how new governance regimes and the the forestry sector needs to be understood."
2,"a close interaction development of new integrated climate services can be of crucial between users and providers for building integrated climate ser­ importance to further extend the uptake of c3s in the forestry vices is crucial, as it enhances user engagement in the service sector. delivering process."
2,the presented study aims at identifying user requirements to assess the potential of earth observation and climate data for the forestry sector focusing on the copernicus climate change ser­ introduction vices (c3s).
2,the c3s is run by the european center for medium- range weather forecast (ecmwf) on behalf of the european impact of climate change on forest ecosystems is an important commission.
2,"exploring its potential for forestry-related operations contemporary concern (dyderski et al., 2018; lindner et al., 2014). and planning become thus relevant for developing tailor-made besides affecting forest productivity, observed effects of climate change services for forestry based on historical climate data, seasonal on forest ecosystems include changes in tree growth patterns, drought forecasts and/or long-term projections."
2,"through an online survey, induced mortality and species distribution shifts (lindner et al., 2014), semi-structured interviews, and workshops with forestry end- as well as additional effects on water availability, increasing pests and users, we collected users’ requirements on c3s data."
2,"end-user’s diseases, and the rise of detrimental effects of natural disasters (e.g., requirements were categorized through a swot analysis."
2,"strengths, weaknesses, opportunities, and threats of the currently mega-fires) (adams, 2013)."
2,"recent extreme events such as the most provided c3s were discussed to identify the main user needs from extreme drought and heat wave on record in central europe (brun et al., the forestry sector as to align them to the vast offer of climate 2020; buras et al., 2020) led to widespread tree decline and decreased services in europe. productivity (bastos et al., 2020)."
2,"climate observations indicate that such extremes have substantially increased over the past decades (lor­ through this assessment, the article introduces the main features demanded by the forestry sector to ensure the accessibility to high enz et al., 2019)."
2,despite being dramatically impacted by climate quality climate information in a user-friendly manner.
2,"training on change, forests also play a major role in mitigating its detrimental ef­ the use of climate data is crucial to raise awareness of the potential fects."
2,"forests are important carbon reservoirs and harbour most terres­ of climate data among practitioners, scientists and policy-makers. trial biodiversity (fao and unep, 2020)."
2,"moreover, they provide a wide training sessions can guide the selection, application, and inter­ array of ecosystem services like production of goods, recreation, and soil pretation of climate data and scenarios, besides improving the and water protection (duncker et al., 2012; maes et al., 2020). connection between demand and supply of climate data."
2,"there is for all the above-mentioned points, the forestry sector plays a also a demand for alternative pricing models of the climate ser­ paramount role in achieving a modern, competitive, and climate-neutral vices, to ensure data accessibility by small and medium enterprises economy by 2050, as recommended by the european commission in its and to foster the cooperation between private and public entities."
2,"“a clean planet for all” vision (european commission, 2018)."
2,"when among the opportunities that foresee a positive engagement of users in using climate services, the integration of climate with ensuring sustainability and resilience in the forestry sector, the non-climate data (land, atmosphere, ground, soil, and socio- deployment of a new circular bioeconomy can be enhanced, focusing on economic data) is largely demanded by forestry end-users."
2,"inter­ resilient and healthy forest ecosystems, and positively contributing to mediate climate services providers can thus be guided in the overall european economy."
2,"the eu green deal provides the main improving and developing climate services targeted to the forestry guidance to the european commission’s legislative work for the period sector, such as projected future species distribution maps, emer­ 2019–2024 (european commission, 2019b)."
2,"climate change mitigation gency risk management platforms and predictions on bioenergy and adaptation are central in this policy line, as to increase the effort consumption, services identified in this study."
2,"for instance, the towards carbon neutrality by 2050. information collected in this study was used by purveyors to among the key actions to achieve carbon neutrality, the european develop a prototype of tree species distribution map providing digested and user-friendly information to business owners and commission explicitly mentions that a european-wide digital trans­ technical staff about the effects of climate change on forests. formation must be supported as “a key enabler for reaching the green deal objectives” (european commission, 2019b)."
2,"both the agenda of the eu­ additionally, the findings of this research present the main in­ ropean forest-based sector 2030 (european technology platform, 2020) ternal and external barriers in the usage of climate information. and the vision of the eu forest-based industries for 2050 (cepi, 2019) the low temporal and spatial resolution is one of the main limi­ tations identified by users when using climate data for their work. indicate the key role of earth observation (eo) for reaching their targets."
2,"however, this requirement can be fulfilled only through higher although forestry researchers recognize the importance of eo and computational power and improvements of the downscaling climate data for forest planning and management, forestry practitioners models."
2,"subseasonal-to-seasonal (s2s) predictions are also currently work with mainly land cover information, largely neglecting becoming key, especially in the development of rapid detection climate data (bruno soares et al., 2018)."
2,"land cover data is used to map services, for fire management as well as insect outbreaks and wind forest area, assess canopy health, and execute forest inventories, among throw risk."
2,"moreover, the low specialisation of non-technical other uses (european commission, 2018, 2019b)."
2,"climate data is forest staff can lead to misinterpreted data when consulting deemed necessary by forestry researchers, advocating its use in forest climate services."
2,"a user learning service tailor-made to the simulation modelling and forestry impact assessment for developing forestry sector can thus be developed to increase the knowledge on the use of climate data. climate scenarios (fontes et al., 2011; reyer et al., 2020)."
2,"therefore, coupling eo and climate data has a huge potential for the forestry sector, finally, this study contributes to the alignment of service provi­ as to integrate climate change effects into forestry decision-making sion with user engagement to support the generation of techno­ processes and thus improving the ecological resilience of forests. logically sound and user-centered services."
2,"this increased forest scientists use eo and climate data in assessing the habitat integration would support win-win solutions for both the c3s, through increasing the uptake of its data repositories by a growing suitability of different tree species and give an insight on ecosystem services like climate regulation, flood protection, and water and air 2"
3,fraccaroli et al.
3,"climate services 23 (2021) 100247 table 1 purification, which have important indirect economic implications."
3,"overview of the forest end-users participating to semi-structured interviews (n climate data are also useful when coupled with phenological data to = 9) and workshops (n = 3). understand the duration of the growing season and how tree species semi-structured interviews distribution are affected by minimum temperatures (kramer, 1994; no."
3,"organisation country sector interest in climate data menzel & fabian, 1999)."
3,"besides, eo and climate data are important to type inform managers and practitioners when responding to increased droughts, frosts and pests (allen et al., 2010, 2015; vitasse et al., 2019)."
3,"1 association spain forest interests in climate data productivity to improve forest as forest productivity is expected to shift with climate variation, the and bioenergy management and to provision of climate change projections to this sector is valuable for know, in advance, long-term decisions on planting strategies and exploitation plans bioenergy demands for (keenan, 2012)."
3,"in the case of wildfires, climate data supports wildfires heating systems."
3,"2 private spain private forest interest in climate data projections, climate-fire models and the influences of fuel load/struc­ company manager for forest ture, essential for the prevention of forest fires (dupuy et al., 2020). productivity projections medium-term decisions as harvest operations, postponed/anticipated and risk prevention planting, soil treatment methods, timber transportation etc., can also be regarding extreme winds informed by seasonal forecasts (e.g. 1 to 6 months) (jönsson & and droughts."
3,"3 public na1 ecosystem interest in climate data lagergren, 2017)."
3,"forest managers need to predict heavy precipitation research centre services for forecasting mushroom and unfrozen soil before the harvesting operations to avoid the use of provision productivity in forest heavy machineries, which can increase soil compaction and erosion (mushrooms stands."
3,"(cambi et al., 2015; stone, 2002)."
3,"finally, the increasing frequency and and truffles) 4 public italy disaster interest in climate data intensity of extreme events like wildfires, heat waves, and extreme research centre management for building integrated precipitation (ipcc, 2014), require forestry stakeholders to anticipate (fires, floods) wildfire forecasting their detrimental effects as to improve the resilience of forestry opera­ models. tions."
3,"climate data is thus critical for both researchers and practitioners 5 private finland integrated interest in climate data allowing to map tree species vulnerability, guide risk management and company forest for (i) integrated wildfire management, forecasting models, (ii) plan accurate long-term forest restoration and conservation strategies remote sensing developing land use (fremout et al., 2020). monitoring tools."
3,"current to improve the integration of climate data in forestry operations, we user of the c3s. assess the potential of eo and climate data for the forestry sector 6 private spain disaster interest in climate data company management for (i) integrated wildfire focusing on the copernicus climate change services (c3s)."
3,"we do this (fires, volcanic forecasting models, as by conducting interviews and workshops with forestry end-users inter­ eruption) well as (ii) simulating ested to or dealing with c3s data."
3,"a users’ perspective for assessing other natural disasters. evolving climate data requirements is highly relevant, as it improves our current user of the c3s. understanding on how users are employing climate information in their 7 public germany disturbance interest in climate data research centre risk for developing multi- decision-making processes."
3,"this is especially important when end-user management criteria modelling numbers are rising, due to growing demands for climate data in the forecast of disturbances forestry sector and more diversified applications among forest managers (storm). and practitioners."
3,assessing systematically sector specific users needs on 8 private finland forest interest in climate data climate data can support the development of integrated climate services company management for forest management consultant plans and forest extension which can in turn close the gap between the demands of the sector and services. the offer of climate services.
3,our review revolves around the following 9 national slovenia forest genetic interest in climate data research questions: research centre for long-term species distribution modelling.
3,"workshops • what are the strengths, weaknesses, opportunities, and threats of the i forest pan- forest genetics interest in climate data currently provided climate services to the forestry sector?"
3,genetics2 european for monitoring • what are the main user needs of the forestry sector when it comes to conservation units of the integration of climate data with non-climate data?
3,forest genetic resources.
