page,p
1,"remote sensing article multilayer data and artificial intelligence for the delineation of homogeneous management zones in maize cultivation diego josé gallardo-romero 1 , orly enrique apolo-apolo 2 , jorge martínez-guanter 3 and manuel pérez-ruiz 2, * 1 departamento de ingeniería aeroespacial y mecánica de fluidos “área agroforestal”, universidad de sevilla, 41004 sevilla, spain; dgallardo@us.es 2 department of environment, faculty of bioscience engineering, ghent university, coupure links 653, blok b, 1st floor, 9000 gent, belgium; enrique.apoloapolo@ugent.be 3 corteva agriscience, 41309 la rinconada, spain; jorge.martinezguanter@corteva.com * correspondence: manuelperez@us.es abstract: variable rate application (vra) is a crucial tool in precision agriculture, utilizing platforms such as google earth engine (gee) to access vast satellite image datasets and employ machine learning (ml) techniques for data processing."
1,"this research investigates the feasibility of imple- menting supervised ml models (random forest (rf), the support vector machine (svm), gradient boosting trees (gbt), classification and regression trees (cart)) and unsupervised k-means clus- tering in gee to generate accurate management zones (mzs)."
1,"by leveraging sentinel-2 satellite imagery and yielding monitor data, these models calculate vegetation indices to monitor crop health and reveal hidden patterns."
1,"the achieved classification accuracy values (0.67 to 0.99) highlight the potential of gee and ml models for creating precise mzs, enabling subsequent vra implementa- tion."
1,"this leads to enhanced farm profitability, improved natural resource efficiency, and reduced environmental impact."
1,"keywords: variable rate application (vra); google earth engine (gee); sentinel-2; vegetative indices (vi); machine learning (ml); agricultural management zones citation: gallardo-romero, d.j."
1,"; apolo-apolo, o.e."
1,"; martínez-guanter, j."
1,"; pérez-ruiz, m."
1,multilayer data and artificial intelligence for the 1.
1,"introduction delineation of homogeneous the primary production sector, especially agriculture, is pivotal in driving the global management zones in maize economy, mitigating rural depopulation, and fostering economic development."
1,"therefore, cultivation."
1,remote sens.
1,"2023, 15, european sustainability strategies emphasize the importance of digital environments and 3131. https://doi.org/10.3390/ advanced technologies in the agricultural sector, particularly those aimed at reducing rs15123131 inputs through variable applications, ensuring production efficiency, optimizing processes, academic editor: javier j cancela and enhancing overall sustainability [1]."
1,"management zones (mzs) have emerged by applying specific management strategies received: 28 april 2023 using the right amount of input at the right time and place [2], being a promising solution revised: 13 june 2023 to address significant challenges in agriculture, including minimizing inputs via variable accepted: 14 june 2023 application rates, optimizing production efficiency, streamlining processes, and bolster- published: 15 june 2023 ing overall sustainability [1]."
1,"by establishing these zones, farmers can customize their management strategies to cater to the unique requirements of each zone, factoring in the spatial variability present within their fields."
1,"as a result, this targeted approach promotes copyright: © 2023 by the authors. more efficient resource utilization, ultimately supporting farming operations’ long-term licensee mdpi, basel, switzerland. sustainability and profitability."
1,"however, the delimitation of mzs in crop plots remains this article is an open access article challenging due to the multiple factors contributing to spatial and temporal variability in distributed under the terms and the field."
1,"factors such as soil variability (texture, structure, and water content), terrain conditions of the creative commons topography (slope, orientation, and altitude), climatic conditions, crop genetic variability, attribution (cc by) license (https:// or biotic influences contribute to remarkable and temporal variability in the field [3,4]. creativecommons.org/licenses/by/ despite the considerable amount of literature supporting the effectiveness of these tech- 4.0/). niques [5–7], precision agriculture techniques can present challenges and limitations for remote sens."
1,"2023, 15, 3131. https://doi.org/10.3390/rs15123131 https://www.mdpi.com/journal/remotesensing"
2,"remote sens. 2023, 15, 3131 2 of 18 farmers for reasons such as cultural perception, access to technology, a lack of technical knowledge on the part of farmers themselves, or the high costs of implementing this type of technology [8]."
2,the modernization of the agricultural sector encompasses many cutting-edge technolo- gies beyond installing sensors in the field.
2,these technologies are transforming agriculture by improving the efficiency and precision of farming practices.
2,"within this wide range of technologies, we can highlight the use of remote sensors such as satellites and aerial imagery, artificial intelligence (ai), and big data to analyze large amounts of data, identify patterns, and predict variables."
2,"cloud computing services allow the storage and processing of large volumes of data, providing greater computing capacity."
2,"in addition, nanotech- nology is applied to developing new and improved chemical products."
2,robotics is used to automate tasks.
2,blockchain is used to track and verify the food supply chain.
2,"the crucial role of drones equipped with cameras and sensors for crop data collection, or the internet of things (iot), is to establish a wireless connection between agricultural devices and sensors [9–15]."
2,"these technologies aim to enhance agricultural efficiency and improve sustainability [16,17]."
2,"this is where precision agriculture (pa) comes into play [18], with vegetation indices [19] being a significant contribution to agriculture since the 1970s, as they have provided an efficient and accurate way to assess vegetation health and vigor at different spatial and temporal scales [20]."
2,"in recent decades, remote sensing [21] has experienced significant advancements in sen- sor quality [22,23], leading to increased image resolution and enhanced dataset availability."
2,"this progress can be attributed to various satellite sources such as landsat 8, sentinel 2, or rapideye, proximity remote sensing using rgb, multispectral and hyperspectral cameras, and terrestrial laser scanners (lidar), among many other devices."
2,"in addition, the great relevance of unmanned aerial vehicles (uav) and other aerial platforms such as airplanes or helicopters should be highlighted."
2,"developing new sensors, ai, big data techniques, and cloud computing platforms [24] will propel this trend further."
2,"cloud computing platforms, such as google colab, amazon web services (aws), and google earth engine (gee) [25], offer efficient means for storing, accessing, and analyzing datasets on powerful servers [26]."
2,"on the other hand, machine learning (ml), which is a branch of ai [27], has demonstrated its potential for revolutionizing the agriculture sector [28]."
2,ml algorithms can be broadly categorized into two main types: supervised learning (sl) and unsupervised learning (ul).
2,"sl focuses on predicting dependent variable values from independent variables [29], while ul aims to discover information, structures, or patterns in the data [30]."
2,"however, many agricultural plots lack crop monitoring due to factors such as limited resources, connectivity issues, a shortage of experts, or a lack of time and knowledge on the part of the farmer."
2,"this often results in missing data necessary for precision agriculture, such as yield monitor data and soil and crop moisture data."
2,ml can address the limitations of agricultural plots by employing knowledge transfer models.
2,"these models are trained in accessible areas and then applied to hard-to-reach areas, enabling the application of ml in areas with limited resources or data availability."
2,"another way to implement ml models in this type of plot would be by accessing and analyzing historical data, which could be used as input for model training."
2,"in addition, there would be the possibility to select a representative set of nearby plots with similar characteristics to the plot(s) with access limitations, train the models with these data, and ensure that the results and models apply to the rest of the plots."
2,"consequently, vras on seeding or fertilization could be performed."
