page,p
1,remote sensing article 2d vs.
1,"3d change detection using aerial imagery to support crisis management of large-scale events veronika gstaiger 1, *, jiaojiao tian 1 , ralph kiefl 2 and franz kurz 1 1 remote sensing technology institute, german aerospace center, muenchener str."
1,"20, 82234 wessling, germany; jiaojiao.tian@dlr.de (j.t.); franz.kurz@dlr.de (f.k.)"
1,"2 german remote sensing data center, german aerospace center, muenchener str."
1,"20, 82234 wessling, germany; ralph.kiefl@dlr.de * correspondence: veronika.gstaiger@dlr.de; tel.: +49-8153-28-3179  received: 16 october 2018; accepted: 11 december 2018; published: 17 december 2018  abstract: large-scale events represent a special challenge for crisis management."
1,"to ensure that participants can enjoy an event safely and carefree, it must be comprehensively prepared and attentively monitored."
1,"remote sensing can provide valuable information to identify potential risks and take appropriate measures in order to prevent a disaster, or initiate emergency aid measures as quickly as possible in the event of an emergency."
1,"especially, three-dimensional (3d) information that is derived using photogrammetry can be used to analyze the terrain and map existing structures that are set up at short notice."
1,"using aerial imagery acquired during a german music festival in 2016 and the celebration of the german protestant church assembly of 2017, the authors compare two-dimensional (2d) and novel fusion-based 3d change detection methods, and discuss their suitability for supporting large-scale events during the relevant phases of crisis management."
1,this study serves to find out what added value the use of 3d change information can provide for on-site crisis management.
1,"based on the results, an operational, fully automatic processor for crisis management operations and corresponding products for end users can be developed."
1,keywords: crisis management support; aerial imagery; large-scale event; 2d change detection; 3d change detection 1.
1,"introduction remote sensing data has long been used in various areas of crisis management, be it risk or vulnerability analyses, early warning, or damage assessment [1–3]."
1,"with the increasing availability and quality of remote sensing data, the procedures for the derivation of 3d information are becoming faster; at the same time, they can produce more accurate and reliable results."
1,"as a result, more and more fields of application are opening up for operational use, and civil protection actors also discover potential applications for their work [4–6]."
1,"as with remote sensing data in general, applications for derived 3d information can be found in all of the classical phases of disaster and crisis management [7]."
1,"during the preparation phase, surface and building models can be included in analysis and planning processes."
1,"examples would be the modeling of explosions and their impact and consequences, the assessment of flood risks, and correspondingly adapted evacuation or site planning [6,8,9]."
1,"furthermore, the observation and research of slope movements gives insights for possible early warning systems [10–12]."
1,another aspect is the use of 3d worlds for the preparation and training of task forces [13].
1,"after a disaster has struck or the crisis has begun, rapid relief must be provided."
1,"this requires a common operational picture with accurate, reliable, and up-to-date spatial information [7]."
1,"the situation must be assessed promptly, comprehensively, and in detail so that emergency forces and resources can be deployed efficiently."
1,"damaged structures can be recorded and assessed by experts, damage analyses, remote sens. 2018, 10, 2054; doi:10.3390/rs10122054 www.mdpi.com/journal/remotesensing"
2,"remote sens. 2018, 10, 2054 2 of 19 remote sens. 2018, 10, x for peer review 2 of 19 of debris and possible obstacles on access roads, as well as damages to the infrastructure, which can e.g., after earthquakes, provide information on the degree of debris and possible obstacles on access be used for planning alternative routes [14–16]."
2,"in the aftermath of the event, reconstruction measures roads, as well as damages to the infrastructure, which can be used for planning alternative routes [14–16]. can be accompanied by continuous monitoring and using 3d change detection techniques [17]."
2,"in the aftermath of the event, reconstruction measures can be accompanied by continuous monitoring and using 3d change detection techniques [17]."
2,3d data from optical remote sensing for crisis and event management 1.1.
2,"3d from optical remote datamanagement event can besensing divided crisis forinto and event management comparable main phases: planning, realization and event[18] follow‐up (see figurecan management 1). be ensure the to divided intosafety the participants, of all ofmain comparable phases: planning, great effort is invested realization and both during the planning phase and during the realization of a major follow-up [18] (see figure 1)."
2,"to ensure the safety of all of the participants, great effort is investedevent in order to identify both hazards during the at planning an early phase stage andandduring minimize the risks for the realization majorinvolved, of athose event in orderwhichtoisidentify in linehazards with the at an early stage and minimize the risks for those involved, which is in line with the preparation phase of preparation phase of crisis management."
2,"during the planning phase, indicators such as the height of the terrain, crisis slopes, orduring management. depressions with a possible the planning such as the facilitate risk of waterlogging phase, indicators height ofthe therouting, terrain, as well slopes, as the planningwith or depressions a possible building of necessary and fastening risk of waterlogging materials. facilitate in preparation the routing, as well as missions, forthe planningthe of necessary building and fastening materials."
2,"in preparation for missions, the derivation of atosurface derivation of a surface model shortly before or even during the event would make it possible assess even model temporary shortly before or even on constructions site, and during the help eventemergency would make forces prepare [13]. it possible during to assess eventhetemporary event, it is important constructionsto maintain on site, andan overview help emergencyof the site and prepare forces its utilization capacitythe [13]."
2,during [19].
2,"the capacity event, (number it is important to of persons) is valuable information when it comes to the organization maintain an overview of the site and its utilization capacity [19]."
