page,p
1,"remote sensing article monitoring water-related ecosystems with earth observation data in support of sustainable development goal (sdg) 6 reporting raha hakimdavar 1,2, * , alfred hubbard 1,3 , frederick policelli 1 , amy pickens 4 , matthew hansen 4 , temilola fatoyinbo 1 , david lagomasino 5 , nima pahlevan 1,3 , sushel unninayar 1,6 , argyro kavvada 7 , mark carroll 1 , brandon smith 1,3 , margaret hurwitz 8 , danielle wood 9 and stephanie schollaert uz 1 1 nasa goddard space flight center, 8800 greenbelt rd, greenbelt, md 20771, usa; ahubba16@uncc.edu (a.h.); frederick.s.policelli@nasa.gov (f.p.); lola.fatoyinbo@nasa.gov (t.f.); nima.pahlevan@nasa.gov (n.p.); sushel.unninayar-1@nasa.gov (s.u.); mark.carroll@nasa.gov (m.c.); b.smith@nasa.gov (b.s.); stephanie.uz@nasa.gov (s.s.u.)"
1,"2 usda forest service washington office, 201 14th street sw, washington, dc 20024, usa 3 science systems and applications, inc., 10210 greenbelt road, suite 600 lanham, md 20706, usa 4 department of geographical sciences, university of maryland, college park, md 20742, usa; ahudson2@umd.edu (a.p.); mhansen@umd.edu (m.h.)"
1,"5 department of coastal studies, east carolina university, wanchese, nc 27948, usa; lagomasinod19@ecu.edu 6 school of computer, mathematics & natural sciences, morgan state university, 1700 e cold spring ln, montebello d302, baltimore, md 21251, usa 7 booz allen hamilton, nasa headquarters, 300 e st sw, mail suite: 3s67, washington, dc 20546, usa; argyro.kavvada@nasa.gov 8 noaa national weather service, 1325 east west highway, silver spring, md 20910, usa; margaret.hurwitz@noaa.gov 9 massachusetts institute of technology, 77 massachusetts avenue, cambridge, ma 02139, usa; drwood@media.mit.edu * correspondence: rh2527@columbia.edu; tel.: +1-202-870-2372  received: 2 march 2020; accepted: 12 may 2020; published: 20 may 2020  abstract: lack of national data on water-related ecosystems is a major challenge to achieving the sustainable development goal (sdg) 6 targets by 2030."
1,"monitoring surface water extent, wetlands, and water quality from space can be an important asset for many countries in support of sdg 6 reporting."
1,"we demonstrate the potential for earth observation (eo) data to support country reporting for sdg indicator 6.6.1, ‘change in the extent of water-related ecosystems over time’ and identify important considerations for countries using these data for sdg reporting."
1,"the spatial extent of water-related ecosystems, and the partial quality of water within these ecosystems is investigated for seven countries."
1,"data from the moderate resolution imaging spectroradiometer (modis) and landsat 5, 7, and 8 with shuttle radar topography mission (srtm) are used to measure surface water extent at 250 m and 30 m spatial resolution, respectively, in cambodia, jamaica, peru, the philippines, senegal, uganda, and zambia."
1,"the extent of mangroves is mapped at 30 m spatial resolution using landsat 8 operational land imager (oli), sentinel-1, and srtm data for jamaica, peru, and senegal."
1,"using landsat 8 and sentinel 2a imagery, total suspended solids and chlorophyll-a are mapped over time for a select number of large surface water bodies in peru, senegal, and zambia."
1,all of the eo datasets used are of global coverage and publicly available at no cost.
1,"the temporal consistency and long time-series of many of the datasets enable replicability over time, making reporting of change from baseline values consistent and systematic."
1,"we find that statistical comparisons between different surface water data products can help provide some degree of confidence for countries during their validation process and highlight the need for accuracy assessments when using eo-based land change remote sens. 2020, 12, 1634; doi:10.3390/rs12101634 www.mdpi.com/journal/remotesensing"
2,"remote sens. 2020, 12, 1634 2 of 25 data for sdg reporting."
2,"we also raise concern that eo data in the context of sdg indicator 6.6.1 reporting may be more challenging for some countries, such as small island nations, than others to use in assessing the extent of water-related ecosystems due to scale limitations and climate variability."
2,country-driven validation of the eo data products remains a priority to ensure successful data integration in support of sdg indicator 6.6.1 reporting.
2,multi-country studies such as this one can be valuable tools for helping to guide the evolution of sdg monitoring methodologies and provide a useful resource for countries reporting on water-related ecosystems.
2,the eo data analyses and statistical methods used in this study can be easily replicated for country-driven validation of eo data products in the future.
2,keywords: water-related ecosystems; surface water extent; mangroves; water quality; sustainable development goal 6; indicator 6.6.1 1.
2,"introduction according to the first sustainable development goal (sdg) 6 synthesis report released in 2018, the world is not on track to achieve the sdg 6 targets by 2030."
2,lack of available and reliable national data for sdg 6 reporting is listed among the main reasons for this.
2,nearly 60% of the 193 member states do not have adequate data available to meet the reporting requirements of a majority of the sdg 6 indicators [1].
2,"sdg indicator 6.6.1, ‘change in the extent of water-related ecosystems over time’, is one of the most data limited."
2,"only 20% of countries have submitted data on the spatial extent, quantity, and quality of their water-related ecosystems [1]."
2,"as a cross-cutting indicator, sdg indicator 6.6.1 is integral to assess the health and function of our global water resources and connects sdg 6, the global goal on clean water and sanitation, with the sdg’s on climate action (sdg 13), life below water (sdg 14), and life on land (sdg 15) [2]."
