page,p
1,"estuarine, coastal and shelf science 111 (2012) 151e156 contents lists available at sciverse sciencedirect estuarine, coastal and shelf science journal homepage: www.elsevier.com/locate/ecss short communication comparing the information content of coral reef geomorphological and biological habitat maps, amirantes archipelago (seychelles), western indian ocean s."
1,"hamylton a, b, *, s."
1,"andréfouët c, t."
1,"spencer b a school of earth and environmental sciences, university of wollongong, wollongong, new south wales nsw2522, australia b cambridge coastal research unit, department of geography, university of cambridge, downing place, cambridge cb2 3en, uk c institut de recherche pour le développement (i.r.d.), centre ird, nouméa 101 promenade roger laroque, anse vata, bp a5 e 98848, new caledonia a r t i c l e i n f o a b s t r a c t article history: increasing the use of geomorphological map products in marine spatial planning has the potential to received 24 february 2012 greatly enhance return on mapping investment as they are commonly two orders of magnitude cheaper accepted 2 june 2012 to produce than biologically-focussed maps of benthic communities and shallow substrates."
1,"the efﬁcacy available online 16 june 2012 of geomorphological maps derived from remotely sensed imagery as surrogates for habitat diversity is explored by comparing two map sets of the platform reefs and atolls of the amirantes archipelago keywords: (seychelles), western indian ocean."
1,"one mapping campaign utilised compact airborne spectrographic remote sensing imagery (19 wavebands, 1 m spatial resolution) to classify 11 islands and associated reefs into 25 casi landsat biological habitat classes while the other campaign used landsat 7 þ etm imagery (7 bands, 30 m spatial millennium coral reef mapping project resolution) to generate maps of 14 geomorphic classes."
1,"the maps were compared across a range of cramer’s v statistic characteristics, including habitat richness (number of classes mapped), diversity (shannoneweiner statistic) and thematic content (cramer’s v statistic)."
1,"between maps, a strong relationship was revealed for habitat richness (r2 ¼ 0.76), a moderate relationship for class diversity and evenness (r2 ¼ 0.63) and a variable relationship for thematic content, dependent on site complexity (v range 0.43 e0.93)."
1,geomorphic maps emerged as robust predictors of the habitat richness in the amirantes.
1,such maps therefore demonstrate high potential value for informing coastal management activities and conservation planning by drawing on information beyond their own thematic content and thus maxi- mizing the return on mapping investment.
1,crown copyright ó 2012 published by elsevier ltd.
1,all rights reserved.
1,"introduction applied, which itself depends on the application and the sensor used (andréfouët, 2008)."
1,"hereafter, we use two notions: digital habitat maps of reef systems derived from remotely “geomorphological” and “biological habitats” to refer to different sensed imagery are valuable sources of information for assessing levels of detail contained in a map."
1,"the former describes islands regional biophysical status, comparing status within and between only by reference to geomorphological qualitative units (e.g., regions and monitoring changes in coastlines over time to guide landforms such as reef ﬂat, spur and groove, fore-reef slope)."
1,"the coastal management and decision making (e.g., lourie and vincent, latter uses a combination of qualitative and quantitative informa- 2004; hamel and andréfouët, 2010; wabnitz et al., 2010)."
1,"infor- tion, such as percentage benthic cover, growth form of coral colo- mation contained in habitat maps is particularly useful for marine nies, and reef rugosity indices to characterise “habitats” at, spatial planning and, to this end, marine conservation practitioners generally, a ﬁner spatial scale. are increasingly employing map products to evaluate candidate previous exercises have compared the geomorphological and sites for protection (roberts et al., 2003; dalleau et al., 2010; wilson biological habitat mapping capability of different sensors (capolsini et al., 2011)."
1,"however, such maps offer a wide variety of informa- et al., 2003), the relationship between thematic richness and map tion."
1,"this variation is determined by the classiﬁcation scheme accuracy (mumby and edwards, 2002; andréfouët, 2008) and the relationship between mapped geomorphic richness and species richness (andréfouët and guzman, 2005)."
1,"however, to * corresponding author."
1,"school of earth and environmental sciences, university of wollongong, wollongong, new south wales nsw2522, australia. our knowledge, there have been no quantitative assessments e-mail addresses: shamylto@uow.edu.au, sarah_hamylton@uow.edu.au of the complementarities (or otherwise) between different (s."
1,hamylton). thematic contents of coral reef habitat maps.
1,such assessments are 0272-7714/$ e see front matter crown copyright ó 2012 published by elsevier ltd.
1,all rights reserved. http://dx.doi.org/10.1016/j.ecss.2012.06.001
2,152 s.
2,hamylton et al.
2,"/ estuarine, coastal and shelf science 111 (2012) 151e156 potentially of great value because mapping the geomorphological 1 m  1 m; 19 wavebands)."
2,"after conversion to reﬂectance data, the units of a given coral reef is highly cost-effective, typically two imagery was pre-processed to correct for geometric error and the orders of magnitude less costly than the traditional ecological scattering and absorptive inﬂuence of the atmospheric and water ground survey methods required for biological habitat mapping column layers (lyzenga, 1981)."
2,"thereafter, a maximum likelihood (wilson et al., 2011)."
2,"if it is possible to estimate information on the classiﬁer was applied to assign each image pixel to the most likely biological habitat diversity from a geomorphic layer, one could benthic cover class."
