page,p
1,surveys in geophysics (2019) 40:515–551 https://doi.org/10.1007/s10712-018-9492-0 spaceborne imaging spectroscopy for sustainable agriculture: contributions and challenges tobias b.
1,hank1 · katja berger1 · heike bach2 · jan g.
1,"clevers3 · anatoly gitelson4 · pablo zarco‑tejada5 · wolfram mauser1 received: 16 february 2018 / accepted: 14 july 2018 / published online: 26 july 2018 © the author(s) 2018 abstract agriculture faces the challenge of providing food, fibre and energy from limited land resources to satisfy the changing needs of a growing world population."
1,"global megatrends, e.g., climate change, influence environmental production factors; production and consump- tion thus must be continuously adjusted to maintain the producer–consumer-equilibrium in the global food system."
1,"while, in some parts of the world, smallholder farming still is the dominant form of agricultural production, the use of digital information for the highly efficient cultivation of large areas has become part of agricultural practice in developed countries."
1,"thereby, the use of satellite data to support site-specific management is a major trend."
1,"although the most prominent use of satellite technology in farming still is naviga- tion, earth observation is increasingly applied."
1,"some operational services have been estab- lished, which provide farmers with decision-supporting spatial information."
1,"these ser- vices have mostly been boosted by the increased availability of multispectral imagery from nasa and esa, such as the landsat or copernicus programs, respectively."
1,using mul- tispectral data has arrived in the agricultural commodity chain.
1,"compared to multispec- tral data, spectrally continuous narrow-band sampling, often referred to as hyperspectral sensing, can potentially provide additional information and/or increased sampling accu- racy."
1,"however, due to the lack of hyperspectral satellite systems with high spatial resolu- tion, these advantages mostly are not yet used in practical farming."
1,this paper summa- rizes where hyperspectral data provide additional value and information in an agricultural context.
1,"it lists the variables of interest and highlights the contribution of hyperspectral sensing for information-driven agriculture, preparing the application of future operational spaceborne hyperspectral missions."
1,keywords agriculture · hyperspectral · spaceborne imaging spectroscopy · food security · biophysical and biochemical variables * tobias b.
1,hank tobias.hank@lmu.de extended author information available on the last page of the article 13 vol.:(0123456789)
2,"516 surveys in geophysics (2019) 40:515–551 1 current challenges of the global food system in pre-industrial times, producers and consumers in the food system were identical."
2,"before the late eighteenth and middle of the nineteenth century, the majority of the european country’s population settled in rural areas and was occupied with agricultural activities (goodwin et al."
2,2008).
2,consumption and production of food happened parallel to each other.
2,"nowadays, global large-scale processes like urbanization, which has exponentially increased in the last three decades (chen et al. 2014), have led to a more complex and spa- tially divided manifestation of the commodity flows."
2,"the global food system, whose most prominent flows are sketched in generalized form in fig. 1, is supposed to be in a more or less balanced state between the demand by consumers, who increasingly live in cities, and the supply by the producers, who farm the land in a predominantly rural environment."
2,"sites of food production and consumption have become spatially dislocated (gunasekera and finnigan 2010) and are now connected via a globally operating food industry, which works within food security frameworks that have been established by regional governance systems (danbom 1995)."
2,"the food industry on one side processes agricultural goods and provides food according to the consumer’s needs, values and preferences, while it steers the flow of money back to the farmers on the other hand, thus maintaining farm economy."
2,"profitability is the key of global food production, driving technological and infra- structural investments."
2,"in economic terms, agricultural land use, intensification and land expansion take place, under given regulations, where it is profitable to do so (byerlee et al."
2,2014).
2,market forces increase with the number of farmers connected to the global agri- cultural markets.
2,"thus, economic and regulatory factors, paired with the underlying con- tinued processes of globalization and global environmental change, determine how much food will be produced."
2,"farmers work the land and produce agricultural products with the use of capital, water, energy and technology."
2,"the environment, characterized by soil fig."
2,1 generalization of the most important flows in the global food system [modified after www.shift​ n.com; figure originally developed for the uk government office for science (gos 2011)].
2,"it can be observed that one of the important flows is information, which is partly derived from satellite observations 13"
3,"surveys in geophysics (2019) 40:515–551 517 fertility, temperature conditions and available water resources, is their main production fac- tor."
3,"farmers thereby increasingly use science and technology (machinery, fertilizers and plant protection agents, seeds and information, e.g., from remote sensing) to optimize the use of the naturally available production factors and to improve economic benefit (wal- ter et al."
3,2017).
3,"environmental production factors, on the other hand, are subject to cli- mate change and environmental degradation within unsustainable farming systems (fao 2016)."
3,"at the same time, a growing and increasingly wealthy global population relies on the global food system to satisfy daily food, fibre and energy demands."
3,"the global meg- atrends (climate change, population change, technological change, etc.) gradually cause the supply–demand-balance to shift."
3,"the suppliers, i.e. the farmers, are continuously striving to reinstall the equilibrium by adapting and optimizing agricultural production methods."
3,"given the current demographic development, farmers are forced to increase the yields achieved by cultivating a certain acreage of bioproductive land surface, while at the same time protecting their most important production factor, i.e. the environment, from degra- dation and from emissions (fao 2016)."
3,the threat emanating from emissions thereby is based on two different pathways.
3,"the leaching of ­no3, which has not been taken up by the crop during growth, pollutes groundwater and thus has a direct effect on human health (ritter et al."
3,2002).
3,"at the same time, gaseous emissions of n­ ox enter the atmosphere and lead to the formation of tropospheric ozone, a greenhouse gas pushing climate change, but also potentially harming crops directly (robertson et al."
3,2013).
3,"in addition, emissions from excessive use of plant protection agents contribute to environmental pollution (ritter et al."
3,2002).
3,"one recent trend to mitigate these problems in agricultural production is the appli- cation of organic farming methods, which do not rely on the application of mineral ferti- lizers and plant protection agents (shams et al."
3,2017).
3,"however, organic farming still is a trade-off between increased environmental protection and reduced overall yields and yield security."
3,"besides organic production, site-specific precision farming is another farming perspective (blackmore 1994)."
3,"thereby, all means of production are spatially optimized to prevent unnecessary expenses and unwanted emission at the same time."
3,"precision farming is an important component of smart farming, which aims at an information-driven optimi- zation of all aspects of a farming system (bach et al."
3,2016).
3,"some of the most important applications of smart farming are: • using computer-aided information technology, such as farm management informa- tion systems (fmis), for administration and documentation of work helps the farmer to keep track of expenses on and revenues from individual fields (zhang et al."
3,2002).
3,• using satellite-guided precision navigation prevents overlap between driving lanes and helps optimizing the distribution of different machines on the farm thus saving fuel and person-hours (zhang et al.
3,2002).
3,• using long-term earth observation helps to identify different soil qualities on a farm and thus helps to optimize soil sampling (plant et al.
3,2000).
3,"• using long-term earth observation also helps to identify persistent growth patterns, which indicate the variability of different growth conditions on a farm (e.g., www. talki​ngfie​lds.de/en/base-map/)."
3,"this information can be used for the planning of long- term soil enrichment measures, such as increasing soil organic matter content through ploughing green manure."
3,it also can be applied for site-specific planning of seeding density.
3,"• using real-time earth observation, either from satellites, planes, drones or vehicles, can contribute to site-specific planning of four very important management measures (mulla 2013), as there are (1) fertilization (e.g., cidad et al. 2001), (2) plant protection 13"
4,"518 surveys in geophysics (2019) 40:515–551 (e.g., herwitz et al. 2004), (3) irrigation (e.g., calera et al. 2017), and (4) harvesting (e.g., yang et al."
4,2013).
4,"thereby, so-called map-overlay approaches combining differ- ent data sources, e.g., satellite sensors and ground-based sensors, seem to represent the most promising method (auernhammer et al."
4,1999).
4,precision farming thus holds potential for increasing yields on limited land while at the same time-saving resources and preventing environmental pollution (plant et al.
4,2000).
4,current studies show that increased yield levels not necessarily need to be connected to environmental degradation (see review balafoutis et al.
4,2017).
4,"the so-called green water productivity (kg grain produced per kg water used) has been observed for wheat, rice and maize crops to more or less linearly increase with rising yield levels until an average yield level of 8 tons per hectare is reached (rockström et al."
4,2007).
