page,p
1,perspective perspectives from landscape ecology can improve environmental impact assessment karly j.
1,"harkera, lauren arnoldb, ira j."
1,"sutherlanda, and sarah e."
1,"gergela* a department of forest and conservation sciences, university of british columbia, 2424 main mall, vancouver, bc v6t 1z4, canada; bcentre for environmental assessment research, fipke centre, university of british columbia—okanagan campus, 246, 3427 university way, kelowna, bc v1v 1v7, canada facets downloaded from www.facetsjournal.com by 47.146.66.131 on 11/23/24 *sarah.gergel@ubc.ca abstract the outcomes of environmental impact assessment (eia) influence millions of hectares of land and can be a contentious process."
1,a vital aspect of an eia process is consideration of the accumulation of impacts from multiple activities and stressors through a cumulative effects assessment (cea).
1,an opportunity exists to improve the rigor and utility of cea and eia by incorporating core scientific principles of landscape ecology into eia.
1,"with examples from a canadian context, we explore realistic hypothetical situations demonstrating how integration of core scientific principles could impact eia outcomes."
1,"first, we demonstrate how changing the spatial extent of eia boundaries can misrepresent cumulative impacts via the exclusion or inclusion of surrounding natural resource development open access projects."
1,"second, we use network analysis to show how even a seemingly small, localized development project can disrupt regional habitat connectivity."
1,"lastly, we explore the benefits of using long-term historical remote sensing products."
1,"because these approaches are straightforward to implement using citation: harker kj, arnold l, sutherland ij, publicly available data, they provide sensible opportunities to improve eia and enhance the monitor- and gergel se."
1,perspectives from ing of natural resource development activities in canada and elsewhere. landscape ecology can improve environmental impact assessment.
1,"key words: cumulative effects assessment, habitat connectivity, aerial photography, historical remote facets 6: 358–378. doi:10.1139/facets- 2020-0049 sensing, multiple stressors, open data handling editor: andrea olive received: june 18, 2020 introduction accepted: december 8, 2020 despite the cumulative and often widespread impacts of rapid natural resource development (díaz et al. 2018), management decisions are often made at the level of individual projects."
1,"published: march 18, 2021 environmental impact assessment (eia) is a universally recognized regulatory instrument in environ- note: this paper is part of a collection titled mental management (morgan 2012) and has remained a consistent—if somewhat contentious—part “conservation in canada: identifying and of natural resource development since its inception in 1970 in the united states (cashmore 2004; overcoming barriers”."
1,jay et al.
1,2007; morrison-saunders et al.
1,2014).
1,"individual project-based eias were originally proposed as a regulatory process for identifying, evaluating, and mitigating ecological consequences copyright: © 2021 harker et al."
1,this work is licensed under a creative commons of development or land use activities.
1,"designated activities that may trigger an eia vary by jurisdic- attribution 4.0 international license (cc by tion but span industries such as forestry, mining, and energy development (cashmore 2004; jay et al."
1,"4.0), which permits unrestricted use, 2007)."
1,"eia, in some form, is now practiced in nearly all united nations (un) member countries distribution, and reproduction in any (morgan 2012; jones 2016)."
1,"by the 1980s, the further need for cumulative effects assessment (cea) medium, provided the original author(s) and was recognized because assessing the environmental impact of projects in isolation does not account source are credited. for combined effects of human activities (duinker and greig 2006)."
1,"thus, the introduction of cea published by: canadian science publishing facets | 2021 | 6: 358–378 | doi: 10.1139/facets-2020-0049 358 facetsjournal.com"
2,harker et al. (as a sub-field within eia) expanded eia to account for multiple stressors over time and space (jones 2016).
2,effective application of cea within the milieu of eia has been a persistent challenge.
2,"cea was initially conceived, and is often applied, as an addition to project-based eia."
2,"yet eia is limited in its focus on a specific site and set of actions, often accompanied by significant time and resource constraints (duinker and greig 2006; foley et al."
2,2017; sinclair et al.
2,2017).
2,"thus, this need to consider wider spatial and temporal boundaries has resulted in efforts to apply cea in regional plan- ning and/or strategic level assessments, independent of individual eia processes (harriman and noble 2008; halseth et al."
2,2016).
