page,p
1,"land article formalizing a two-step decision-making process in land use: evidence from controlling forest clearcutting using spatial information chady jabbour 1, * , anis hoayek 2 and jean-michel salles 3 1 cnrs, university of montpellier, uar cpst, ir data terra, 34090 montpellier, france 2 mines saint-etienne, university of clermont auvergne, cnrs, umr 6158 limos, institut henri fayol, 42100 saint-etienne, france 3 cee-m, university of montpellier, cnrs, inra, montpellier supagro, 34960 montpellier, france * correspondence: chadyjabbour@gmail.com; tel.: +33-769192828 abstract: in this paper, we examine a particular case of land use pattern: forest management activities facing an uncertainty related to spatial information signals received."
1,"we investigate the combination of two well-known theoretical approaches, the blackwell theorem and entropy analysis, in providing a decision support framework for decision makers."
1,we examine the uncertainty related to the information signals received within a decision support context and compute the optimal actions.
1,"drawing on satellite imagery as an additional source of information provided by french spatial data infrastructure (sdi), we illustrate our approach through a clear-cutting control case study."
1,the control of clear-cutting is a central issue in forest management.
1,"in order to perform an efficient control operation, uncertainty regarding the decisions to be taken needs to be minimized."
1,reducing uncertainty in a decision-making context related to forest management provides greater opportunities for improving productivity and for saving time and money.
1,the results show that the information structure through the sdi signals has the most significant information power.
1,"moreover, a maximum of two information structures can be compared when applying the blackwell theorem."
1,"however, while using the entropy approach, a comparison of several information structures can be performed."
1,"citation: jabbour, c."
1,"; hoayek, a."
1,"; keywords: blackwell; decision-making; entropy; forest clear-cut; geospatial information; land use; salles, j.-m."
1,formalizing a two-step spatial data infrastructure; sustainable development; value of information decision-making process in land use: evidence from controlling forest clearcutting using spatial information.
1,"land 2023, 12, 15. https://doi.org/10.3390/ 1."
1,"introduction land12010015 the control of clear-cutting occupies a center place in land use, and particularly, forest management activities."
1,"designing sustainable management plans in forest activity academic editor: hossein azadi needs to be coupled with precise inspection control, to be sure that the clear-cuts meet the received: 1 december 2022 standards."
1,"the purpose of this paper is to examine the combination of two well-known revised: 15 december 2022 theoretic concepts, blackwell’s theorem and entropy analysis, in providing a decision accepted: 16 december 2022 support framework for decision makers in forest management activities."
1,we outline published: 21 december 2022 their association in a unified framework.
