page,p
1,"10.2478/jlecol-2019-0015 aaajournal of landscape ecology (2019), vol: 12 / no."
1,a review of approaches for automated habitat mapping and their potential added value for biodiversity monitoring projects rob h.g.
1,"jongman1, caspar a."
1,"mücher1, robert g.h.bunce2, mait lang2 2 and kalev sepp 1 wageningen environmental research, wageningen university and research, po box 47, wageningen 6700, the netherlands 2 estonian university of life sciences, kreutzwaldi 5, 51014 tartu, estonia *corresponding author e-mail: rob.jongman@xs4all.nl received: 9th july 2019, accepted: 5th september 2019 abstract habitats are important indicators of biodiversity in their own right, as well as being linked to species, hence their widespread use in reporting on nature conservation planning and policy."
1,for reporting consistent mapping and monitoring habitat extent and change is important.
1,remote sensing techniques are becoming an important tool for this.
1,in this paper we describe four examples of methods of semi-automated mapping using remote sensing.
1,"because the most effective way of improving the accuracy of the estimation of habitat area is by increasing the sample number, it is important to develop methods for reducing in situ surveys which are expensive."
1,remote sensing has the major advantage of comprehensive coverage and the four examples illustrate the potential of extrapolation from semi-automated habitat classifications.
1,the potential for using these methods at national scales is likely to be limited by the need for validation of the automated images and the subsequent calculation of error terms.
1,"existing major national monitoring programs are described, which still use mainly traditional in situ methods."
1,the selection of relatively small numbers of representative samples from environmental classifications to obtain regional estimates reduces the need for large numbers of in situ survey sites and is therefore discussed.
1,the recent development of the use of drones to acquire detailed imagery to support in situ habitat surveys is also covered.
1,"finally, practical problems linked to the methods described in the paper are considered, as in some cases these will override the theoretical benefits of a particular approach."
1,"it is concluded that automated methods can enhance existing monitoring systems and should be considered in any biodiversity monitoring system as they represent an opportunity for reducing costs, if integrated with an in situ program."
1,"keywords: remote sensing, in situ data, very high resolution satellite imagery, lidar, drones, stratified random samples, extrapolation."
1,"introduction habitats are important as a measure of biodiversity at the landscape level (bunce et al., 2013) and are used as the basis for strategic nature conservation planning in the european union through european biodiversity strategy (european commission, 2011)."
1,the 53
2,"jongman r.h.g. et al. :a review of approaches for automated habitat mapping and their potential added value for biodiversity monitoring projectsaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa interpretation manual (european commission, 2013) of the habitats of the european union as defined in the habitats directive (92/43/eec) includes a range of information mainly on plant species linked to the particular habitat, but also to some fauna, thus indicating the significance of habitats and how they are used for nature conservation objectives."
2,"habitat maps can be the basis for sampling vegetation efficiently at a 1 km square level, as described by jongman et al. (2006), and are also used to report changes in vegetation and plant species e.g. in the great britain countryside survey (gb-cs, norton et al., 2012)."
2,"such maps based on both field observations and remotely sensed information, are valuable in identifying the patterns and trends of biodiversity in larger areas and are essential for determining practical management options in nature reserves and other designated areas (nagendra et al., 2013)."
2,such maps are therefore necessary for obtaining estimates of extent and change in a variety of parameters related to biodiversity.
2,"in recent years new options have been developed for semi-automated mapping of habitats and their integration with existing in-situ field surveys, hence the examples included in the present paper."
2,the need for estimates of habitat extent at regional and national levels is widely recognized (e.g.
2,"scholes et al., 2012)."
2,coordination and harmonization of observation data collection for biodiversity both in situ and remotely sensed will increase its value by allowing more information to be extracted.
2,"the task ahead is to develop, at the lowest possible cost, reliable statistics on stock and change and produce well documented maps from field samples to populate the biodiversity indicators, for example, those requested in the aichi biodiversity target 19 of the convention on biological diversity (geo bon, 2011) and the european biodiversity strategy (european commission, 2011)."
2,currently all the major national monitoring programs in europe use habitats but do not use automated mapping.
2,in this paper we consider how this procedure could be incorporated in existing procedures or alternatively in any new monitoring initiative.
2,therefore we first discuss the principles of the methodology involved in habitat monitoring programs in europe and then provide four examples of enlarging the area of in situ habitat maps using satellite imagery.
2,"finally, the application of drones to reduce the time needed for mapping in the field is covered."
2,in situ approaches terrestrial habitat mapping is done in many countries in europe using various approaches and it is mostly based on phytosociology.
2,in the czech republic the biotope mapping programme is carried out to support the establishment of the natura 2000 network.
2,"habitat mapping was based on the classifications described in the biotopes catalogue of the czech republic (chytrý et al., 2001)."
2,"long-term vegetation mapping is the approach in italy (http://www.vegitaly.it) carried out by the italian society for vegetation science (eea, 2014)."
2,"the main objectives of the hungarian habitat mapping programme known as database and map of hungarian habitats (méta, 2002-2005) were to map the natural vegetation of hungary and build a habitat database (molnár et al., 2007)."
2,"in the netherlands, systematic nationwide biodiversity monitoring programs are carried out, but these are focussing on species and vegetation (http://www.netwerkecologischemonitoring.nl/)."
2,"this program makes use of permanent vegetation quadrats, carried out by volunteer networks on several species groups and is coordinated by the central statistics office (cbs)."
2,vegetation mapping is used in the netherlands for monitoring natura 2000 sites.
2,in 2008 there were about 650 volunteer monitoring projects registered in the database of the fp7 project eumon (http://eumon.ckff.si/index1.php).
2,about 70 % were species monitoring projects 54
3,"aaajournal of landscape ecology (2019), vol: 12 / no. 3 and have been carried out during one to several years."
3,in europe the major ongoing long-term national habitat monitoring programs are: 1.
3,"the countryside survey of great britain, (gb-cs) (www.countrysidesurvey.org.uk)."
3,"this project started in 1978 and has had repeats in 1984, 1990, 1998 and 2007."
3,currently a further exercise has been started.
3,an environmental classification of gb has been used to select representative stratified random dispersed 1 km squares.
3,"a wide range of ecological parameters have been included, for example habitats, vegetation, plant species and freshwater invertebrates."
3,estimates of stock and change have been produced with associated standard errors.
3,"the northern ireland countryside survey (nics, www.doeni.gov.uk/niea/biodiversity/nhresearch/nicountrysidesurvey-2.htm) covers over 200 squares of 0.25 km square in the province, stratified according to an environmental stratification (cooper & mccann, 2000)."
3,"estimates of stock and change have been produced and have been subsequently linked to gb cs to obtain uk figures, because the methods were compatible (haines young et al., 2000)."
3,"the national inventory of landscapes in sweden (nils, http://www.slu.se/en/collaborative-centres-and-projects/nils/)."
3,representative sites of 5x5 km square km were selected from the whole of sweden in which the central 1 km square was used for field inventory.
3,the inventory is a rolling sampling system with a return rate of 5 years of in total 631 squares.
3,the 5x5 km squares were interpreted using infra-red photographs to provide stock and change estimates of habitats.
3,"records were also made of vegetation and landscape features (esseen et al., 2007)."
3,the sispares project in spain covers broad habitats (http://www.sispares.com/eng/). 206 representative 4x4 km square units were selected from an environmental classification of spain and aerial photographs were obtained for five dates.
3,"an analysis of landscape composition and configuration was made based on photographs taken at these dates between 1956 and 2003 (ortega et al., 2008) and most recently in 2018."
3,"biodiversity monitoring switzerland (bdm, http://www.biodiversitymonitoring.ch/en/home.html) surveys the long term development of species diversity in selected plant and animal species linked to habitats."
3,"bdm focuses on trends and developments in the normal landscape of switzerland, inspired by swiss range statistics and the swiss national forest inventory."
3,"bdm chose a systematic sampling grid consisting of three distinct nationwide networks (bdm coordination office, 2014)."
3,"also outside europe most monitoring programmes have a species, vegetation or process oriented approach such as the national ecological observatory network (neon) in the usa (pennisi, 2010)."
3,the objective is to support understanding of ecological change and enables forecasting of future ecological conditions.
3,"neon collects and processes data from fixed field sites located in 20 eco-regions across the continental us, puerto rico and hawaii over a 30-year timeframe (https://www.neonscience.org/about/about/science-design)."
3,"the global observation research initiative for alpine environments (gloria, https://gloria.ac.at/) observes species change in fixed high altitude sites globally (mountain tops) in a standardised way."
