page,p
1,chapter applications of geospatial technologies for precision agriculture 5 mobushir r.
1,"khan1, richard a."
1,"crabbe1, naeem a."
1,"malik2, lachlan o’meara1 1 school of agricultural, environmental and veterinary sciences, charles sturt university, albury, nsw, australia; 2institute of geo-information & earth observation, pmas-arid agriculture university rawalpindi, rawalpindi, punjab, pakistan 5.1 introduction advances in the field of science and technology have greatly improved the global food security situation."
1,norman e.
1,borlaug paved the way to “green revolution” by introducing high-yielding and short-statured disease- and lodging-resistant wheat.
1,"since, then researchers have strived to improve the production of food, fiber, and fodder crops in the fields."
1,"however, increased food production has certain nega- tive impacts on the environment owing to heavy use of chemicals [1]."
1,"these chem- icals are used as fertilizers, herbicides, and insecticides to suppress yield limiting soil constraints, weeds, and insects, respectively."
1,"further, additional land was cleared of other uses such as forests and wetlands to create more farms for food pro- duction."
1,the situation was further exacerbated when we started to use more water for production including surface water as well as groundwater.
1,this has deteriorated the groundwater quantity and quality.
1,the world population is expected to exceed 9.7 billion by 2050 from today’s 8 billion [2].
1,it will continue to exert pressure on scarce natural resources including both the land and water.
1,"as a result, fresh water and arable land are also getting depleted and degraded, respectively."
1,"therefore, agricul- ture remains the most important concern for sustainable livelihood [3]."
1,precision agriculture (pa) offers a sustainable management solution to meet increasingly high demand of food and raw materials associated with it while keeping environ- ment safe.
1,"in 1997, the us house of representatives defined the term pa as farming man- agement philosophy based on integrated information system with the objective to enhance the whole farm’s profitability with optimum inputs and minimum harmful impacts on ecosystems and environment."
1,"among many definitions, pa was simply defined as “the application of right input at right location and at right time” [4]."
1,"pa minimizes the climate change effects through spot applications of chemicals, water conservation while improving the microclimate."
1,"therefore, it helps in achieving sustainable agriculture for improving food security and hence becomes precision agriculture. https://doi.org/10.1016/b978-0-443-18953-1.00004-0 71 copyright © 2023 elsevier inc."
1,all rights reserved.
2,72 chapter 5 applications of geospatial technologies a linchpin of climate smart agriculture [5].
2,"among other benefits, pa has also proved to be an economical and profitable approach in 68% of the cases studied [6]."
2,"moreover, it is argued that the goal of sustainable agriculture can be achieved through the adoption of pa by increasing the ability to interpret farms’ big data and generate knowledge to improve the crop produce [7]."
2,"5.2 management philosophy of pa the management philosophy of pa is based on identifying and managing, within field and seasonal, variabilities of crop limiting factors including soil, weather, wa- ter, crop genetic potential, and management operations."
2,"moreover, the variations of the factors must be structured, of sufficient magnitude, and manageable."
2,it is advised to diagnose and remove the causes of variations and apply uniform input applica- tions.
2,"however, variable rate treatments are recommended if the causes of variation cannot be eliminated."
2,this philosophy can be applied as sequence of operations covering the complete paddock to plate chain.
2,the main aim of pa is to apply inputs as per variations in crop and soil require- ments which was not possible until the development of variable rate technologies in 1980s.
2,pa is referred as a management philosophy and its concepts and objectives were only achievable with the advent of its enabling technologies.
2,"5.3 enabling technologies of pa as agriculture has become information extensive, farmers must overcome the challenges of poor access to knowledge, financial services, markets, and ancil- lary information flows."
2,"farmers need information such as which crop is most suitable for his land and how to grow that crop, amount of water required, which part of his land is performing better, and where to sell his produce and where to buy the required products [8]."
2,"for example, precise information on soil moisture and weather can help farmers in deciding when to sow and irrigate their crops."
2,farm and field level data can be collected with ease using location-based and remote sensors.
2,these can then be integrated through the internet of things (iot) to make agriculture a digital entity.
2,"similarly, remotely sensed imagery can be used for yield prediction and stress monitoring."
2,early crop stress detection and monitoring are essential for achieving higher yields and hence increasing productivity.
2,"the use of smart systems can significantly improve the quality and efficiency of precision agriculture by recognizing stressed area patterns from real-time (satellite and drone) imagery and by real-time data-driven farm operations management (tillage, irrigation, pesticides, and fertilizers applica- tions) [9]."
2,the technologies which allow the implementation of pa management philosophy are discussed below.
3,5.3 enabling technologies of pa 73 5.3.1 geographic information systems development and availability of positioning technologies like global positioning system (gps) and global navigation satellite system (gnss) for civilian uses particularly agriculture have paved the way for large-scale adoption of site-specific management.
3,"these technologies led to development of systems such as auto steer- ing, controlled traffic farming, yield monitors, and variable rate technologies (vrt)."
3,"vrts are comprised of differential global positioning system (dgps), processing unit, variable rate software, and controllers."
3,"these are designed for optimized seed- ing, planting density, and application of fertilizers, weedicide/herbicides, and insect/ pesticides to reduce inputs and environment risks."
3,it was reported by neupane (2019) that variable rate irrigation reduces water use by between 10% and 15% [10].
3,"similarly, with the fabrication of sensors for mapping in situ and on-the-go soil and plant characteristics has led to the development of useful products like yield maps, fertilizer prescription maps."
3,these help in developing optimal management zones at field level.
3,these products provide deep insights for better field manage- ment activities as compared to traditional ways of farming.
3,"for example, sensors for mapping and monitoring of apparent electrical conductivity, soil moisture, and microclimate of plants were readily available."
3,5.3.2 remote sensing (rs) crops undergo biophysical and biochemical changes while reacting to biotic and abiotic stresses.
3,"it is important to know when such changes occur, and it neces- sitates the use of remote sensing in agriculture."
3,"various rs systems ranging from gamma rays to microwave have been used to detect infection symptoms, physi- ological responses, and structural changes in plants [11e13]."
3,"these rs systems for plant diseases were categorized by zhang et al. [14] into four categories, that is, visible and near-infrared (vis-nir) spectral systems, fluorescence and ther- mal systems, synthetic aperture radar (sar), and light detection and ranging (lidar)."
3,airborne and space-borne sensors provide georeferenced information on crop health while recording plant spectral profiles with varying characteristics depending upon the wavelengths at which data is recorded.
3,"among these, sensors mounted on unmanned aerial vehicles (uavs) can provide high spectral, spatial, and temporal resolution imageries for mapping and monitoring of agricultural systems and pro- cesses [15]."
3,it was reported that remote sensors were the most used technology in precision agriculture [16].
3,remote sensors can be classified based on the platform or the source of energy.
3,"platforms can be space, aerial, or ground-based."
3,both active and passive remote sensors are being used in precision agriculture for mapping and monitoring plant biotic and abiotic stresses.
3,"data resolution required for pa is defined by the management objectives, size of the field, and equipment to be used for variable rate application [17]."
4,"74 chapter 5 applications of geospatial technologies imagery from high spatial resolution satellites such as ikonos with 1e4 m was found adequate for mapping of soils, prediction of crop yields, nutrient manage- ment, and evapotranspiration (et) estimation [18e21]."
4,data from pleiades-1a and worldview-3 having spatial resolution less than 2 meters (2 m) can be used for detection of disease and water stress [22e24].
4,availability and flexibility of uavs in acquiring very high spatial resolution (centimeter level) imagery has certainly paved the way for precision agriculture’s development.
4,5.1 presents optimal ranges of the spatial and temporal resolution along with spectral resolution (can be accessed through the platform) needed for precision agriculture and allied disciplines.
4,sophisticated procedures have been and are being developed for transforming georeferenced data recorded by sensors into information that can be used in the decision-making process.
4,"accuracies of these procedures depend upon image reso- lution, atmospheric and crop conditions along with analytical techniques being employed, that is, deep learning, regression-based or simulations [17]."
4,"utilization of remote sensing datasets in pa is limited by huge volume of data as high spectral, spatial, radiometric, and temporal resolution data are required for site-specific management [26]."
4,advanced computational techniques for processing figure 5.1 spatiotemporal characteristics of rs-based system for precision agriculture.
4,modified after jensen jr.
4,introductory digital image processing.
4,a remote sensing perspective.
4,pearson series in geographic information science; 2015.
5,"5.3 enabling technologies of pa 75 remotely sensed big data (huge volume, variety, and velocity of data) are being developed to use crucial information in decision support systems for pa."
5,"pa technologies based on remotely sensed imagery, for example, variable rate fertilizer application in green seeker and crop circles have been already adopted for commercial agriculture [17]."
5,plant water stress can be monitored by utilizing thermal sensors for estimation of temperatures [27].
5,"similarly, microwave sensors are very useful in estimating soil moisture content and water consumption by crops over large areas [28]."
5,although data from microwave sensors is of course resolution but it can be downscaled for pa use.
5,"5.3.3 big data analytics over the last decade, artificial intelligence has been applied in agriculture owing to its capacity to identify complex patterns in the big datasets."
5,the potential of machine learning techniques to monitor crop stresses using digital imagery have been explored to a great extent during past 10 years.
5,"despite the exponential development of remote sensing technologies, the com- mercial use of remotely sensed imageries in pa is limited by lack of readily available imaging solutions, high budgetary requirements, cloud cover limitations, and auto- mated systems for processing and analysis of imageries [29]."
5,"for wider adoption of remote sensing data in pa, more friendly and accurate systems are required [17]."
5,"moreover, more case studies have been carried out to link crop limiting factors with appropriate management actions like sowing, irrigation, fertigation, harvesting, and marketing."
5,"common imaging techniques used for detecting plant stress include digital fluorescence, lidar, thermography, multispectral and hyperspectral tech- niques [30]."
