page,p
1,"the international archives of the photogrammetry, remote sensing and spatial information sciences, volume xli-b7, 2016 xxiii isprs congress, 12–19 july 2016, prague, czech republic supporting management of european refugee streams by earth observation and geoinformation k.-u."
1,"komp a, *, a."
1,müterthies a a eftas – remote sensing transfer of technology.
1,"muenster, germany – klaus.komp@eftas.com, andreas.mueterthies@eftas.com sps 16 - earsel key words: refugee streams, data mining, earth observation, detecting habitation reserves abstract: the sharp increase in refugee numbers arriving in the european union has recently caused major and manifold challenges for the member states and their administrative services."
1,location based situation reports and maps may support the refugee management from local to european level.
1,the first support is mapping of the geographical distribution of migrating people which needs more or less real time data.
1,"the actual data sources are location related observations along the routes of refugees, actual satellite observations and data mining results."
1,these tools and data are used to monitor spatial distributions as well as extrapolate the arrival of refugees for the subsequent weeks.
1,"the second support is the short term update of the location of initial registration facilities and first reception facilities, their capacities, and their occupancy."
1,the third management level is the systematic inquiry for unoccupied housing facilities and for empty places within build-up areas.
1,geo-coded data sets of house numbers have to be cross-referenced with city maps and communal inhabitants address data.
1,the legal aspects of data mining and secured access to personal data are strictly controlled by the administration allowing only limited access and distribution of data and results.
1,"however, the paper will not disclose scientific progress in earth observation and gis, but will actually demonstrate an urgently needed new combination of existing methods to support actual needs."
1,"the societal benefits of eo/gis are no longer just potential possibilities, but actual results in real political, administrative and humanitarian day to day reality."
1,introduction 2.
1,actual challenges in europe the sharp increase in refugee numbers arriving in the european union has recently caused major and manifold challenges for 2.1 monitoring migrating people the member states and their security forces and administrative services.
1,the actual situation of refugees in europe will require the first level of support is the supply of information on the long term collaboration of different member states and in geographical distribution of migrating people which needs more germany the collaboration at all administrative levels and or less real time data to deal with the exceptional circumstances territorial units.
1,location based situation reports and maps may in central europe.
1,therefore a bundle of methods and support the refugee management from local to european level. techniques summarized as geoit1 needs to be applied under special legal frame conditions for access to administrative data persons arriving at the outer borders of the european union and their incorporation into spatial processing.
1,"within the have mostly endured enormous stress and pain during their european union there is a legal basis for the administrative data migration and have dared to leave their home environment exchange established through the inspire directive under because of severe circumstances of famine, natural hazards, which not only the administrative framework but also the political pressure, ethnical or religious conflicts, warlike harmonization of data exchange formats were developed. operations, destruction of infrastructure and housing and various aspects of living in misery."
1,"before making premature 2.1.1 the international relief programme drp: esri judgements on the quality of those reasons for migration, we germany has developed an international relief program: the esri should remember that during the last 250 years the reasons for disaster response program (drp)."
1,"this is a complete geoit emigrating from europe, immigrating to europe and the software which will be granted free of charge to build up an migrations within europe due to different wars were integral information platform reserved to administrative comparable to current reasons. application."
1,"the actual data sources are location related observations from police forces of different member states along the routes of refugees between the mediterranean shores and the northern member states of the eu, from ngos, private 1 geoit comprises the totality of hardware, software, techniques and/or methods for the acquisition, analysis and presentation of geo- graphical data and spatial information in diversified technological pillars like remote sensing, satellite navigation or geo data infrastructures."
1,* corresponding author this contribution has been peer-reviewed. doi:10.5194/isprsarchives-xli-b7-967-2016 967
2,"the international archives of the photogrammetry, remote sensing and spatial information sciences, volume xli-b7, 2016 xxiii isprs congress, 12–19 july 2016, prague, czech republic observations by cellular phones, actual satellite and aerial 2.1.2 migration potentials in the regions of origin: the images and further information from data mining activities. ad hoc reaction on streams of migrating persons between these tools and data are already used to monitor the southern turkey, the maghreb states and europe is only one side of the spatial distributions of refugees as well as extrapolate problem, a closer view on the regions of origin will become impending arrivals in subsequent weeks. more important in the forthcoming years."
2,"the knowledge of actual trends in settlement sprawl and urbanisation, rural land the international organization for migration (iom) was born use and agricultural production in relation to population in 1951 out of the chaos and displacement of people across dynamics, employment, health and educational infrastructure western europe following the second world war under the needs to be intensified urgently and updated regularly."
2,the role name of the “provisional intergovernmental committee for the of earth observation in combination with geo-statistic methods movement of migrants from europe”.
2,today it has the status of and gis techniques has been pointed out intensively with the a worldwide operating agency with 162 member states and an focus on improvement of the living conditions in africa (komp annual budget of 1.3 billion usd (iom 2016).
2,among others et al.
2,2010).
