page,p
1,"chapter 10 open-source satellite data and gis for land resource mapping nirmal kumar, s."
1,"singh, v."
1,"mishra, g."
1,"obi reddy, and r."
1,bajpai abstract the capabilities of satellite data and geographic information system (gis) to assess and monitor land resources are escalating with the technical advancements.
1,"however, the costs of these data and the gis softwares are barrier to their use by broader community, particularly in developing countries."
1,"to maximize the scientiﬁc and societal beneﬁts of the spatial data, open data and softwares are being promoted."
1,"several satellite data from different sources with a wide array of spatial, spectral, temporal, and radiometric resolutions are now being made available free to all categories of users."
1,"to analyze the satellite data of widely differing characteristics and other spatial and nonspatial data from different sources, rapid advancements have been observed in free/open-source software (foss) development in the ﬁeld of gis."
1,this chapter discusses the availability of open spatial data (satellite and vector) and open-source gis softwares (osgs).
1,the viability of adoption of osgs as an alternative to proprietary softwares has also been discussed.
1,"keywords open-source gis · open data · open standards · remote sensing 10.1 introduction remote sensing and gis are undeniably important methodological tools for studies related to inventory, surveying, and monitoring of natural resources (burrough 1986; singh 1989; trotter 1991; brown 2004; miller et al."
1,2013; kumar et al.
1,2015).
1,"the satellite data, with a synoptic view of the earth’s surface, submeter to kilometer spatial resolutions, and hourly to monthly temporal resolutions, has been used as a signiﬁcant information source for these studies (kumar 2013; dowman and reuter 2016)."
1,"data continuity, affordability, and access are three important factors that n."
1,kumar (*) · s.
1,singh · g.
1,"reddy icar-national bureau of soil survey & land use planning, nagpur, india v."
1,mishra · r.
1,"bajpai department of soil science & agricultural chemistry, igkv, raipur, india © springer international publishing ag, part of springer nature 2018 185 g."
1,"reddy, s."
1,"singh (eds.), geospatial technologies in land resources mapping, monitoring and management, geotechnologies and the environment 21, https://doi.org/10.1007/978-3-319-78711-4_10"
2,186 n.
2,kumar et al. signiﬁcantly affect the utility of satellite data (turner et al.
2,2015).
2,data continuity relates to the maintenance of long-term satellite data products.
2,a long-term data allows tracking the causes and spatial pattern of changes in the earth’s surface features.
2,"earth observation programs, with standard imaging speciﬁcations and internationally agreed complementary satellite launches, can ensure data continuity with similar quality images."
2,"data affordability arises from the cost of the imagery, and data access addresses the ability of researchers to discover, retrieve, manipulate, and extract value from satellite imagery as well as integrate with other datasets."
2,gis has become an integral tool for these processes.
2,"it allows integration and analysis of spatial data, collected from various sources (burrough and mcdonnell 1998; worboys and duckham 2004; liu and philippa 2009; kumar 2013)."
2,"the use of gis has produced remarkable changes in the way and rate at which spatial data are generated, updated, analyzed, and disseminated, making production and analysis of geographic information very efﬁcient."
2,"however, the highly priced proprietary softwares and unavailability of public satellite data have signiﬁcant impact on their use, particularly in developing coun- tries."
2,a large number of satellites are currently orbiting the earth.
2,"the vast majority of these are relaying data to the earth, and many are equipped with high-power cameras."
2,but until recently they were available only to those who could pay for them.
2,"nowadays, much satellite earth observation data are open and available for download free of charge, especially at medium to low spatial resolution (abdi 2013; harris and baumann 2015; bakillah and liang 2016; dowman and reuter 2016; rocchini et al."
2,2017).
2,new data policies promoting free and open access to satellite imagery are expanding the use of satellite imagery (miller et al.
2,2013; turner et al.
2,2015; harris and baumann 2015; dowman and reuter 2016).
2,"a detailed study of open data policies of different organizations, which relate in one way or the other to satellite earth observation data, is presented by harris and baumann (2015)."
2,"from late 2008 when the entire archive of landsat imagery, including all new acquisitions, became available online at no cost to september 2012, 9 million scenes were downloaded, with more than 3 million scenes distributed in 2012 alone."
2,"prior to the availability of no cost imagery, the most scenes sold in 1 year totaled 25,000 (miller et al."
2,2013).
2,"the current level of use will likely increase among these users, particularly as it becomes better known that the imagery is available at no cost and as new use cases are identiﬁed."
2,"with rapid developments in the capabilities of gis tools, the use of satellite data is increasing."
2,"however, proprietary gis softwares are highly priced with additional charges for speciﬁc modules."
2,many of such licensed softwares remain unutilized in various institutes and research centers because they require either extensive training or easy availability on multiple locations.
2,these may not be compatible with all operating systems.
2,all these problems can be solved by the use of free/open-source software tools.
2,open-source (os) software is software where the source code is made available under a license that allows the modiﬁcation and redistribution of the software at will.
2,"osgis is free of cost and can be installed on multiple operating systems, such as windows, macos, and linux."
2,"several osgis software packages (grass, qgis, saga, etc.) are available and freely accessible to the users—"
3,"10 open-source satellite data and gis for land resource mapping 187 covering all sectors of geospatial data handling (desktop gis, remote sensing software, gis libraries, spatial database management system, gis servers, and web map server)—some of them having very good capabilities."
3,"the usage of these types of software is increasingly growing because of reasons such as security, open standards, vendor independence."
3,"increasing download rates of open-source gis softwares, their use cases, and ﬁnancial support by government organizations to projects on open-source gis explain their rise in popularity (steiniger and bocher 2009)."
3,this chapter discusses the availability of free satellite data and free/open- source gis softwares.
3,10.2 open satellite data free global satellite image data of spatial resolutions of 1 m to 1 km and spectral resolution and from pan to hyperspectral are available from an increasing number of sources (table 10.1).
3,here are the most important archives and other useful data: 10.2.1 coarse resolution satellite data modis (moderate resolution imaging spectroradiometer) is an extensive program using sensors on two satellites that each provide complete daily coverage of the earth.
3,"the data have a variety of resolutions: spectral, spatial, and temporal."
3,it has 36 bands ranging from visible to thermal region.
3,the spatial resolution varies from 250 m (bands 1–2) to 500 m (bands 3–7) and 1000 m (bands 8–36).
3,"because the modis sensor is carried on both the terra and aqua satellites, it is generally possible to obtain images in the morning (terra) and the afternoon (aqua) for any particular location."
3,nighttime data are also available in the thermal range of the spectrum.
3,"these data are available freely for download from the http://earthexplorer. usgs.gov/, http://glovis.usgs.gov and http://reverb.echo.nasa.gov/reverb."
