page,p
1,"data article earth observation for citizen science validation, or citizen science for earth observation validation?"
1,the role of quality assurance of volunteered observations didier g.
1,"leibovici 1, * id , jamie williams 2 id , julian f."
1,"rosser 1 , crona hodges 3 , colin chapman 4 , chris higgins 5 and mike j."
1,"jackson 1 1 nottingham geospatial science, university of nottingham, nottingham ng7 2tu, uk; julian.rosser@nottingham.ac.uk (j.f.r.); mike.jackson@nottingham.ac.uk (m.j.j.)"
1,"2 environment systems ltd., aberystwyth sy23 3ah, uk; jamie.williams@envsys.co.uk 3 earth observation group, aberystwyth university penglais, aberystwyth sy23 3jg, uk; crona.hodges@geosmartdecisions.co.uk 4 welsh government, aberystwyth sy23 3ur, uk; colin.chapman@wales.gsi.gov.uk 5 edina, university of edinburgh, edinburgh eh3 9dr, uk; chris.higgins@ed.ac.uk * correspondence: didier.leibovici@nottingham.ac.uk received: 28 august 2017; accepted: 19 october 2017; published: 23 october 2017 abstract: environmental policy involving citizen science (cs) is of growing interest."
1,"in support of this open data stream of information, validation or quality assessment of the cs geo-located data to their appropriate usage for evidence-based policy making needs a flexible and easily adaptable data curation process ensuring transparency."
1,"addressing these needs, this paper describes an approach for automatic quality assurance as proposed by the citizen observatory web (cobweb) fp7 project."
1,"this approach is based upon a workflow composition that combines different quality controls, each belonging to seven categories or “pillars”."
1,each pillar focuses on a specific dimension in the types of reasoning algorithms for cs data qualification.
1,these pillars attribute values to a range of quality elements belonging to three complementary quality models.
1,"additional data from various sources, such as earth observation (eo) data, are often included as part of the inputs of quality controls within the pillars."
1,"however, qualified cs data can also contribute to the validation of eo data."
1,"therefore, the question of validation can be considered as “two sides of the same coin”."
1,"based on an invasive species cs study, concerning fallopia japonica (japanese knotweed), the paper discusses the flexibility and usefulness of qualifying cs data, either when using an eo data product for the validation within the quality assurance process, or validating an eo data product that describes the risk of occurrence of the plant."
1,both validation paths are found to be improved by quality assurance of the cs data.
1,"addressing the reliability of cs open data, issues and limitations of the role of quality assurance for validation, due to the quality of secondary data used within the automatic workflow, are described, e.g., error propagation, paving the route to improvements in the approach."
1,keywords: citizen science; volunteered geographical information; metadata; data quality; quality assurance; scientific workflow; provenance; metaquality; open data 1.
1,"introduction robust and fit-for-purpose evidence is at the heart of environmental policy and decision making in the uk government, as shown by the department for environment, food and rural affairs (defra) in their evidence strategy [1]."
1,"exploring the combined use of innovative technologies, such as earth observation (eo) and citizen science (cs), for supporting various environmental policy areas [1], data 2017, 2, 35; doi:10.3390/data2040035 www.mdpi.com/journal/data"
2,"data 2017, 2, 35 2 of 20 is a consequence of this momentum."
2,"one example of this is detecting, mapping and monitoring the spread of invasive non-native species (inns), such as fallopia japonica (japanese knotweed)."
