page,p
1,"remote sens. 2013, 5, 3057-3081; doi:10.3390/rs5063057 open access remote sensing issn 2072-4292 www.mdpi.com/journal/remotesensing article potential of npp-viirs nighttime light imagery for modeling the regional economy of china xi li 1,*, huimin xu 2, xiaoling chen 1 and chang li 3 1 state key laboratory of information engineering in surveying, mapping and remote sensing, wuhan university, wuhan 430079, china; e-mail: cxl@lmars.whu.edu.cn 2 school of economics, zhongnan university of economics and law, wuhan 430060, china; e-mail: xuhuimin1985_2008@163.com 3 college of urban and environmental science, central china normal university, wuhan 430079, china; e-mail: lcshaka@126.com * author to whom correspondence should be addressed; e-mail: li_rs@163.com; tel.: +86-27-6877-8141."
1,"received: 18 april 2013; in revised form: 7 june 2013 / accepted: 13 june 2013 / published: 19 june 2013 abstract: historically, the defense meteorological satellite program’s operational linescan system (dmsp-ols) was the unique satellite sensor used to collect the nighttime light, which is an efficient means to map the global economic activities."
1,"since it was launched in october 2011, the visible infrared imaging radiometer suite (viirs) sensor on the suomi national polar-orbiting partnership (npp) satellite has become a new satellite used to monitor nighttime light."
1,"this study performed the first evaluation on the npp-viirs nighttime light imagery in modeling economy, analyzing 31 provincial regions and 393 county regions in china."
1,"for each region, the total nighttime light (tnl) and gross regional product (grp) around the year of 2010 were derived, and a linear regression model was applied on the data."
1,"through the regression, the tnl from npp-viirs were found to exhibit r2 values of 0.8699 and 0.8544 with the provincial grp and county grp, respectively, which are significantly stronger than the relationship between the tnl from dmsp-ols (f16 and f18 satellites) and grp."
1,"using the regression models, the grp was predicted from the tnl for each region, and we found that the npp-viirs data is more predictable for the grp than those of the dmsp-ols data."
1,this study demonstrates that the recently released npp-viirs nighttime light imagery has a stronger capacity in modeling regional economy than those of the dmsp-ols data.
1,these findings provide a foundation
2,"remote sens. 2013, 5 3058 to model the global and regional economy with the recently availability of the npp-viirs data, especially in the regions where economic census data is difficult to access."
2,keywords: nighttime light; gross regional product; visible infrared imaging radiometer suite; linear regression 1.
2,"introduction regional and global economic data is important to understanding the developing world, and performing an economic census plays a major role in collecting such data."
2,"however, the economic census data is sometimes difficult to acquire at both the regional and global scales."
2,"in addition, the economic census data is always coarse in the spatial dimension, because the data in the basic administrative regions is inaccessible in many countries."
2,"therefore, surveying the world economy in spatial dimensions using technical approaches as alternatives to the traditional economic census is an important and challenging task for the academic community [1,2]."
2,"compared to the high cost of performing a traditional economic census, a remote sensing technique provides an efficient approach to survey the economy."
2,"a typical example is using remotely sensed optical imagery for mapping the urban land use distribution, which is an important indicator of the economic status of a country [3–5]."
2,"in addition, remote sensing can also be used to investigate agriculture [6,7], fishery [8,9] and forestry [10], which are important components of a country’s economy."
2,"among the various sources of remote sensing data, nighttime light imagery has played a direct and unique role in investigating economic activities, because the artificial nighttime light can reflect the use of public lighting and commercial lighting, which are strongly associated with the state of the economy."
2,"a number of studies have indicated that the nighttime light has a very high correlation with the national and regional economic volume [11,12]."
2,"compared to the census approach, the mapping of nighttime light can help to investigate the economics on a large scale with very low cost; thus, the nighttime light imagery has been used to investigate the regional economics in many countries [13–17]."
2,"traditionally, the nighttime light data is acquired by the defense meteorological satellite program’s operational linescan system (dmsp-ols) sensors, which is owned by the u.s."
2,air force and archived by national oceanic and atmospheric administration (noaa) of the united states.
2,"the first dmsp satellite was launched in 1972, and the digital format of the imagery has been recorded since the year of 1992."
2,"from 1992 to the present, there were a series of dmsp satellites (e.g., f10–f18) imaging nighttime light."
