page,p
1,"applied sciences article comparative analysis of machine learning algorithms in automatic identification and extraction of water boundaries aimin li 1, * , meng fan 2 , guangduo qin 2 , youcheng xu 2 and hailong wang 2 1 school of geo-science and technology, zhengzhou university, zhengzhou 450001, china 2 school of water conservancy engineering, zhengzhou university, zhengzhou 450001, china; fanm15755409160@163.com (m.f.); gd13223022138@163.com (g.q.); chengyouxu1998@163.com (y.x.); whl18307065356@163.com (h.w.)"
1,* correspondence: aiminli@zzu.edu.cn abstract: monitoring open water bodies accurately is important for assessing the role of ecosystem services in the context of human survival and climate change.
1,"there are many methods available for water body extraction based on remote sensing images, such as the normalized difference water index (ndwi), modified ndwi (mndwi), and machine learning algorithms."
1,"based on landsat-8 remote sensing images, this study focuses on the effects of six machine learning algorithms and three threshold methods used to extract water bodies, evaluates the transfer performance of models applied to remote sensing images in different periods, and compares the differences among these models."
1,the results are as follows.
1,(1) various algorithms require different numbers of samples to reach their optimal consequence.
1,the logistic regression algorithm requires a minimum of 110 samples.
1,"as the number of samples increases, the order of the optimal model is support vector   machine, neural network, random forest, decision tree, and xgboost."
1,(2) the accuracy evaluation performance of each machine learning on the test set cannot represent the local area performance.
1,"citation: li, a."
1,"; fan, m."
1,"; qin, g."
1,"; xu, (3) when these models are directly applied to remote sensing images in different periods, the auc y."
1,"; wang, h."
1,"comparative analysis of machine learning algorithms in indicators of each machine learning algorithm for three regions all show a significant decline, with a automatic identification and decrease range of 0.33–66.52%, and the differences among the different algorithm performances in extraction of water boundaries."
1,appl. the three areas are obvious.
1,"generally, the decision tree algorithm has good transfer performance sci."
1,"2021, 11, 10062. https://doi.org/ among the machine learning algorithms with area under curve (auc) indexes of 0.790, 0.518, and 10.3390/app112110062 0.697 in the three areas, respectively, and the average value is 0.668."
1,"the otsu threshold algorithm is the optimal among threshold methods, with auc indexes of 0.970, 0.617, and 0.908 in the three academic editors: dimitrios regions respectively and an average auc of 0.832."
1,paraforos and anselme muzirafuti keywords: water extraction; modified normalized difference water index (mndwi); remote sensing; received: 31 august 2021 machine learning algorithm accepted: 25 october 2021 published: 27 october 2021 publisher’s note: mdpi stays neutral 1.
1,"introduction with regard to jurisdictional claims in published maps and institutional affil- water is the source of life: the earth’s surface open water body accounts for about iations. 74% of the total earth area, it is an important resource for all life survival, and it is also the most important component of living organisms [1,2]."
1,"in china, the distribution of water resources is quite uneven, and the pollution situation is serious."
1,"so, how to identify water bodies efficiently and accurately has become a severe issue [3,4]."
1,copyright: © 2021 by the authors.
1,"with the rapid development of aviation and aerospace technology, remote sensing licensee mdpi, basel, switzerland. technology has provided advanced support for many fields, including resource survey, this article is an open access article environmental monitoring, mapping, and geography [5,6]. distributed under the terms and the development of remote sensing technology makes it possible to extract water conditions of the creative commons information quickly and accurately, which is substantially different from conventional field attribution (cc by) license (https:// survey methods employed in the past [7–10]. creativecommons.org/licenses/by/ monitoring open water bodies accurately is an important and basic application in 4.0/). remote sensing."
1,various water body mapping approaches have been developed to extract appl.
1,"2021, 11, 10062. https://doi.org/10.3390/app112110062 https://www.mdpi.com/journal/applsci"
2,"sci. 2021, 11, 10062 2 of 20 water bodies from multispectral images [11–13]."
2,"using remote sensing images to monitor a water body is mainly based on spectral bands and each image’s spatial feature, so the identification methods can be categorized into three types from different perspectives."
2,"(1) water body index method: this method is based on the spectral curves of wa- ter bodies, and thresholds are utilized to effectively distinguish water bodies from the background [14]."
2,different water indexes have already been proposed in the past few decades.
2,"specifically, in 1996, mcfeeters [15] introduced the normalized difference water index (ndwi) model to extract water bodies."
2,"however, this model is unable to distinguish between dark shadow and water bodies."
2,"to overcome the shortcomings of ndwi, in 2006, xu [16] proposed the modification of normalized difference water index (mndwi) to enhance open water features in remotely sensed imagery, and this model has better results for urban water bodies extraction."
2,"the water body index method has the characteristics of high precision and low computational cost, which has been widely used in practical applications."
2,"in the last few decades, the mndwi of xu is one of the most widely used water indices for various fields, including surface water mapping, land use/cover change analyses, and ecological research [17–20]."
2,"(2) machine learning methods: these methods feature pixel-based pattern recogni- tion analysis, mainly including supervised and unsupervised classification techniques."
2,"the supervised methods mainly include neural network [21–25], support vector machine (svm) [26–28], logistic regression [29,30], and random forest [31–33], and the unsupervised classification methods mainly include k-means clustering [34] and isodata cluster- ing [35,36] methods."
2,the machine learning algorithm has been widely used in remote sensing water extraction due to its high accuracy.
2,"(3) object-based image analysis methods (obia): due to the limitations of pixel-based classification methods, such as the salt and pepper phenomenon in classification results, object-based classification techniques have been increasingly applied in remote sensing classification in recent years [37,38]."
2,many successful cases of water body extraction using obia methods have been reported [39–43].
2,"given that urban functional zones (ufzs) are composed of diverse geographic objects, du et al. [44] presented a novel object-based ufz mapping method using very-high-resolution (vhr) remote sensing images."
2,"based on object-oriented analysis technology and multi-source data, guo et al. [45] proposed a multi-level classification scheme based on goals and rules to study the changes of glacier environments."
2,"in addition, some studies also have used synthetic aperture radar (sar) data to monitor the surface dynamics, because these data are insensitive to clouds [14,46,47]; the area of surface water can be extracted from sar data based on textural analysis [48], change detection [49], automatic segmentation [50], and classification [51]."
2,"at present, machine learning algorithms to extract water bodies mainly include neural networks, support vector machines, and random forest algorithms."
2,the studies carried out in the past have identified the best performing classification algorithm by comparing different classification algorithms.
2,"however, none of them provides a comprehensive comparative analysis of some popular classification algorithms [37,52]."
2,there are few studies on the evaluation of the transfer performance of each machine learning algorithm applied to remote sensing images in different periods.
