page,p
1,"chapter 16 digitalization and agricultural development: evidence from morocco hayat lionboui, abdelghani boudhar, youssef lebrini, abdelaziz htitiou, fouad elame, rachid hadria, and tarik benabdelouahab abstract the agricultural sector plays a major role in the socio-economic develop- ment of several countries around the world, including african countries."
1,advances induced by digital innovation have positively impacted this sector and could have a considerable impact by reducing the risk of food insecurity.
1,"in this chapter, applied research experiences conducted in morocco have been reported to highlight some of the opportunities that digital transformation can offer in agriculture."
1,"first, agricultural land management was approached through remote monitoring of agricultural land and mapping of cropland using satellite imageries and machine learning."
1,"then, the question of what digital can offer for the management of agricultural water resources was discussed through two examples: the first deals with the use of remote sensing and modeling to support irrigation water management; and the second is related to another aspect of multi-year bioeconomic modeling for predicting changes in water management indicators."
1,"finally, experiences on the importance of digital transfor- mation in risk management were discussed in order to analyze the risks in a more informed way and to relate aspects that could not be connected before in the past, in an efficient and relevant manner."
1,"indeed, an experiment on the evaluation of spatial variability of wheat yield has been reported and an example of the spatial analysis of risk related to losses in production value using satellite data was discussed."
1,with h.
1,lionboui (b) · y.
1,lebrini · a.
1,htitiou · f.
1,elame · r.
1,hadria · t.
1,"benabdelouahab national institute of agronomic research (inra), rabat, morocco e-mail: hayat.lionboui@inra.ma f."
1,elame e-mail: fouad.elame@inra.ma r.
1,hadria e-mail: rachid.hadria@inra.ma t.
1,benabdelouahab e-mail: tarik.benabdelouahab@inra.ma a.
1,boudhar · y.
1,lebrini · a.
1,"htitiou faculty of sciences and techniques, sultan moulay slimane university, beni mellal, morocco a."
1,"boudhar center for remote sensing applications (crsa), mohammed vi polytechnic university, ben guerir, morocco © the author(s), under exclusive license to springer nature switzerland ag 2022 321 m."
1,"behnassi et al. (eds.), food security and climate-smart food systems, https://doi.org/10.1007/978-3-030-92738-7_16"
2,322 h.
2,"lionboui et al. steps added or substituted compared to the research presented in this chapter, digital innovation allows precise monitoring of agricultural land and offers socio-economic conditions that are more advantageous for farmers."
2,"overall, all of the experiences cited on the use of digital innovation in the agriculture sector can be extended to other contexts, particularly in africa where sustainable agricultural development remains the ultimate goal."
2,keywords agricultural land · agricultural risks · agriculture · development · digital transformation · food security · morocco · risk management · water resources 1 digital transformation in agriculture digital has become an essential part of the sustainable development strategy of many countries.
2,it would facilitate the participation of stakeholders in an eco- responsible strategy that meets sustainable development goals (sdgs) (elmassah and mohieldin 2020).
2,"in agriculture, in order to make informed and sustainable decisions, unmanned aerial vehicles or drones (uavs), for example, can allow farmers to better map fields and thus get to know precisely which places need water or nitrogen (talaviya et al."
2,2020).
2,"likewise, software uses data on the climate, crop control, seasonal forecasts and local specifics to achieve better yields in a sustainable manner (peng et al."
2,2018).
2,"in general, ‘digitization of agriculture’ refers to the use of information and commu- nication technologies (ict) in addition to new digital technologies (el bilali and allahyari 2018)."
2,"these include, for example, videos, radio, television, internet, remote detection, digital broadcasting, the use of smartphones (mobile agriculture, also called m-agri), artificial intelligence, etc."
2,"all these technologies make it possible to not only access, store, transfer and manipulate information, but also to analyze it and give it a meaning, in order to transform agriculture into a more modern, profitable, and sustainable sector."
2,"nevertheless, the massive introduction of digiti- zation has significantly impacted the organization of work and jobs (dorn 2017)."
