page,p
1,"surveys in geophysics (2020) 41:1391–1435 https://doi.org/10.1007/s10712-020-09609-1 remote sensing for assessing landslides and associated hazards candide lissak1 · annett bartsch2,3 · marcello de michele4 · christopher gomez5,6 · olivier maquaire1 · daniel raucoules4 · thomas roulland1 received: 6 december 2019 / accepted: 6 august 2020 / published online: 3 september 2020 © springer nature b.v."
1,"2020 abstract multi-platform remote sensing using space-, airborne and ground-based sensors has become essential tools for landslide assessment and disaster-risk prevention."
1,"over the last 30 years, the multiplicity of earth observation satellites mission ensures uninterrupted optical and radar imagery archives."
1,"with the popularization of unmanned aerial vehicles, free optical and radar imagery with high revisiting time, ground and aerial possibilities to perform high-resolution 3d point clouds and derived digital elevation models, it can make it difficult to choose the appropriate method for risk assessment."
1,"the aim of this paper is to review the mainstream remote-sensing methods commonly employed for land- slide assessment, as well as processing."
1,the purpose is to understand how remote-sensing techniques can be useful for landslide hazard detection and monitoring taking into consid- eration several constraints such as field location or costs of surveys.
1,"first we focus on the suitability of terrestrial, aerial and spaceborne systems that have been widely used for land- slide assessment to underline their benefits and drawbacks for data acquisition, processing and interpretation."
1,"several examples of application are presented such as interferometry synthetic aperture radar (insar), lasergrammetry, terrestrial optical photogrammetry."
1,"some of these techniques are unsuitable for slow moving landslides, others limited to large areas and others to local investigations."
1,it can be complicated to select the most appropri- ate system.
1,"today, the key for understanding landslides is the complementarity of methods and the automation of the data processing."
1,"all the mentioned approaches can be coupled (from field monitoring to satellite images analysis) to improve risk management, and the real challenge is to improve automatic solution for landslide recognition and monitoring for the implementation of near real-time emergency systems."
1,keywords landslide · remote sensing · machine learning · monitoring · inventory * candide lissak candide.lissak@unicaen.fr extended author information available on the last page of the article 13 vol.:(0123456789)
2,"1392 surveys in geophysics (2020) 41:1391–1435 1 introduction despite several decades of research, landslide detection is still a challenging task due to the wide variety of sizes, shapes and morphologies that those events can take and due to the variability of the area they trigger."
2,"consequently, a broad array of methods has been tested in remote-sensing with lately combinations of those at different-scales using multi-plat- form methodologies."
2,"for decades, remote-sensing techniques are thus widely employed for landslides studies (e.g., petley et al."
2,2002; delacourt et al.
2,2007; jaboyedoff et al.
2,"2012, 2019; tofani et al."
2,2013; casagli et al.
2,2017; huang and zhao 2018).
